run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,300,0.0,1,False,False,0.8172,0.9804,0.9882,0.8261,0.7976,0.7952,1408.5929,1408.5929,1408.5929,29.0000,29.0000,29.0000
1,433,2,0.27,300,0.0009765625,1,False,False,1.1452,1.1774,1.1919,0.7820,0.7723,0.7718,411.0095,411.0095,411.0095,29.0000,29.0000,29.0000
2,310,5,0.5,300,0.0011782270808598852,2,False,False,1.2958,1.3147,1.3311,0.7599,0.7508,0.7507,337.8403,337.8403,337.8403,29.0000,29.0000,29.0000
3,300,1,0.44,300,0.001421536311369323,2,False,False,1.3130,1.3294,1.3464,0.7571,0.7491,0.7492,315.8137,315.8137,315.8137,29.0000,29.0000,29.0000
4,1009,2,0.1,300,0.0017150900003645502,3,False,False,1.2527,1.2716,1.2880,0.7652,0.7582,0.7576,318.7990,318.7990,318.7990,29.0000,29.0000,29.0000
5,657,3,0.5,300,0.0020692638561704995,3,False,False,1.4674,1.4753,1.4929,0.7308,0.7250,0.7234,248.7091,248.7091,248.7091,29.0000,29.0000,29.0000
6,455,2,0.49,300,0.0024965762178914648,4,False,False,1.5366,1.5415,1.5591,0.7199,0.7142,0.7128,222.0182,222.0182,222.0182,29.0000,29.0000,29.0000
7,103,1,0.44,300,0.0030121305183748843,5,False,False,1.5962,1.5986,1.6160,0.7115,0.7073,0.7047,199.6986,199.6986,199.6986,29.0000,29.0000,29.0000
8,203,4,0.05,300,0.003634149117781824,5,False,False,1.5710,1.5726,1.5891,0.7129,0.7098,0.7079,194.5910,194.5910,194.5910,29.0000,29.0000,29.0000
9,150,4,0.02,300,0.004384617376208487,6,False,False,1.6733,1.6722,1.6877,0.6933,0.6927,0.6905,168.7126,168.7126,168.7126,29.0000,29.0000,29.0000
10,72,3,0.23,300,0.005290060730222237,6,False,False,1.8397,1.8359,1.8510,0.6666,0.6657,0.6636,137.8619,137.8619,137.8619,29.0000,29.0000,29.0000
11,467,3,0.31,300,0.006382482239223045,7,False,False,1.9947,1.9890,2.0045,0.6346,0.6328,0.6297,113.8354,113.8354,113.8354,29.0000,29.0000,29.0000
12,377,0,0.37,300,0.007700493739376462,8,False,False,2.1587,2.1515,2.1673,0.5977,0.5966,0.5926,92.6729,92.6729,92.6729,29.0000,29.0000,29.0000
13,436,2,0.25,300,0.009290680585958758,8,False,False,2.2826,2.2733,2.2896,0.5649,0.5651,0.5609,77.8951,77.8951,77.8951,29.0000,29.0000,29.0000
14,382,2,0.41000000000000003,300,0.011209248221179687,9,False,False,2.4995,2.4874,2.5048,0.5176,0.5199,0.5169,58.5024,58.5024,58.5024,29.0000,29.0000,29.0000
15,326,3,0.09,300,0.013524008765720979,9,False,False,2.5802,2.5656,2.5845,0.4945,0.4972,0.4936,50.8712,50.8712,50.8712,28.0000,28.0000,28.0000
16,326,2,0.02,300,0.01631677785042834,10,False,False,2.7252,2.7089,2.7291,0.4628,0.4681,0.4627,40.9069,40.9069,40.9069,29.0000,29.0000,29.0000
17,247,2,0.15,300,0.01968626640460739,11,False,False,2.8937,2.8767,2.8976,0.4470,0.4514,0.4453,31.8679,31.8679,31.8679,29.0000,29.0000,29.0000
18,179,1,0.01,300,0.02375156961170491,11,False,False,3.0340,3.0158,3.0370,0.4320,0.4377,0.4297,25.0860,25.0860,25.0860,28.0000,28.0000,28.0000
19,137,5,0.3,300,0.028656376350145975,12,False,False,3.2249,3.2071,3.2282,0.3989,0.4038,0.3971,18.3962,18.3962,18.3962,29.0000,29.0000,29.0000
20,786,2,0.24,300,0.03457404790277603,12,False,False,3.3802,3.3627,3.3836,0.3511,0.3544,0.3484,13.3250,13.3250,13.3250,28.0000,28.0000,28.0000
21,410,1,0.49,300,0.04171374544281356,13,False,False,3.5218,3.5056,3.5254,0.3391,0.3413,0.3365,10.0278,10.0278,10.0278,26.0000,26.0000,26.0000
22,388,0,0.48,300,0.050327822873414196,14,False,False,3.5855,3.5698,3.5892,0.3155,0.3167,0.3130,8.5832,8.5832,8.5832,27.0000,27.0000,27.0000
23,38,2,0.4,300,0.06072074632210035,14,False,False,3.6341,3.6189,3.6381,0.3050,0.3058,0.3021,7.6142,7.6142,7.6142,26.0000,26.0000,26.0000
24,467,2,0.11,300,0.07325985555120318,15,False,False,3.6695,3.6547,3.6739,0.2999,0.3012,0.2977,6.9225,6.9225,6.9225,24.0000,24.0000,24.0000
25,176,4,0.05,300,0.08838834764831845,15,False,False,3.7343,3.7204,3.7392,0.2898,0.2892,0.2868,6.1247,6.1247,6.1247,25.0000,25.0000,25.0000
26,57,4,0.0,300,0.10664094190766783,16,False,False,3.8193,3.8066,3.8249,0.2229,0.2238,0.2191,5.2541,5.2541,5.2541,24.0000,24.0000,24.0000
27,968,3,0.22,300,0.12866277958043645,16,False,False,3.9598,3.9491,3.9659,0.1766,0.1781,0.1729,4.0791,4.0791,4.0791,26.0000,26.0000,26.0000
28,268,4,0.37,300,0.15523222650918542,17,False,False,4.1311,4.1227,4.1374,0.1766,0.1781,0.1729,2.9094,2.9094,2.9094,24.0000,24.0000,24.0000
29,270,0,0.04,300,0.18728838460958516,18,False,False,4.2399,4.2329,4.2469,0.1766,0.1781,0.1729,2.2462,2.2462,2.2462,26.0000,26.0000,26.0000
30,596,0,0.43,300,0.22596428459777515,18,False,False,4.3400,4.3342,4.3459,0.1766,0.1781,0.1729,1.7650,1.7650,1.7650,24.0000,24.0000,24.0000
31,694,3,0.18,300,0.2726269331663144,19,False,False,4.4640,4.4597,4.4687,0.1766,0.1781,0.1729,1.2693,1.2693,1.2693,23.0000,23.0000,23.0000
32,837,4,0.09,300,0.32892563008340914,19,False,False,4.6867,4.6849,4.6887,0.1766,0.1781,0.1729,0.5338,0.5338,0.5338,26.0000,26.0000,26.0000
33,487,0,0.14,300,0.39685026299204973,20,False,False,4.8353,4.8350,4.8355,0.1766,0.1781,0.1729,0.1054,0.1054,0.1054,29.0000,29.0000,29.0000
34,418,5,0.37,300,0.47880164034928685,21,False,False,4.8496,4.8495,4.8497,0.1766,0.1781,0.1729,0.0653,0.0653,0.0653,29.0000,29.0000,29.0000
35,407,5,0.35000000000000003,300,0.577676348436136,21,False,False,4.8575,4.8575,4.8575,0.1766,0.1781,0.1729,0.0376,0.0376,0.0376,25.0000,25.0000,25.0000
36,657,2,0.11,300,0.6969691317244994,22,False,False,4.8575,4.8575,4.8575,0.1779,0.1794,0.1744,0.0436,0.0436,0.0436,29.0000,29.0000,29.0000
37,442,1,0.41000000000000003,300,0.8408964152537145,22,False,False,4.8576,4.8576,4.8576,0.1766,0.1781,0.1729,0.0434,0.0434,0.0434,29.0000,29.0000,29.0000
38,398,4,0.23,300,1.0145453349375229,23,False,False,4.8577,4.8577,4.8577,0.1766,0.1781,0.1729,0.0356,0.0356,0.0356,23.0000,23.0000,23.0000
39,369,4,0.29,300,1.2240535433046547,24,False,False,4.8577,4.8577,4.8577,0.2208,0.2224,0.2167,0.0362,0.0362,0.0362,25.0000,25.0000,25.0000
40,75,4,0.33,300,1.4768261459394993,24,False,False,4.8577,4.8577,4.8577,0.2696,0.2717,0.2660,0.0351,0.0351,0.0351,23.0000,23.0000,23.0000
41,179,0,0.02,300,1.7817974362806772,25,False,False,4.8578,4.8578,4.8578,0.1918,0.1936,0.1888,0.0357,0.0357,0.0357,24.0000,24.0000,24.0000
42,442,4,0.19,300,2.149746679841392,25,False,False,4.8578,4.8578,4.8578,0.1867,0.1877,0.1832,0.0350,0.0350,0.0350,22.0000,22.0000,22.0000
43,111,1,0.22,300,2.5936791093020193,26,False,False,4.8579,4.8579,4.8579,0.2085,0.2091,0.2054,0.0362,0.0362,0.0362,24.0000,24.0000,24.0000
44,242,1,0.45,300,3.1292855968155457,27,False,False,4.8578,4.8578,4.8578,0.0812,0.0812,0.0735,0.0355,0.0355,0.0355,28.0000,28.0000,28.0000
