run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,0.3608,1.3080,1.3359,0.9386,0.7344,0.7278,404.0105,404.0105,404.0105,29.0000,29.0000,29.0000
1,433,2,0.27,103,0.0009765625,1,False,False,0.4188,1.3636,1.3873,0.9283,0.7288,0.7203,255.0932,255.0932,255.0932,29.0000,29.0000,29.0000
2,310,5,0.5,113,0.0011782270808598852,2,False,False,0.4225,1.3329,1.3621,0.9258,0.7298,0.7222,238.7448,238.7448,238.7448,29.0000,29.0000,29.0000
3,300,1,0.44,99,0.001421536311369323,2,False,False,0.4374,1.3682,1.3750,0.9247,0.7241,0.7231,219.9795,219.9795,219.9795,29.0000,29.0000,29.0000
4,1009,2,0.1,148,0.0017150900003645502,3,False,False,0.4400,1.3683,1.3824,0.9285,0.7267,0.7256,223.9348,223.9348,223.9348,29.0000,29.0000,29.0000
5,657,3,0.5,165,0.0020692638561704995,3,False,False,0.4392,1.3414,1.3614,0.9280,0.7328,0.7250,202.2714,202.2714,202.2714,29.0000,29.0000,29.0000
6,455,2,0.49,60,0.0024965762178914648,4,False,False,0.4773,1.4097,1.4318,0.9188,0.7188,0.7137,160.5349,160.5349,160.5349,26.0000,26.0000,26.0000
7,103,1,0.44,84,0.0030121305183748843,5,False,False,0.4621,1.3968,1.4207,0.9249,0.7262,0.7172,153.9684,153.9684,153.9684,27.0000,27.0000,27.0000
8,203,4,0.05,238,0.003634149117781824,5,False,False,0.4659,1.4060,1.4296,0.9300,0.7274,0.7206,150.2298,150.2298,150.2298,29.0000,29.0000,29.0000
9,150,4,0.02,122,0.004384617376208487,6,False,False,0.5701,1.4825,1.5116,0.9091,0.7116,0.7055,126.0082,126.0082,126.0082,24.0000,24.0000,24.0000
10,72,3,0.23,144,0.005290060730222237,6,False,False,0.5866,1.4737,1.4925,0.9101,0.7136,0.7072,114.0262,114.0262,114.0262,26.0000,26.0000,26.0000
11,467,3,0.31,79,0.006382482239223045,7,False,False,0.6066,1.5115,1.5394,0.9067,0.7087,0.7021,97.7551,97.7551,97.7551,21.0000,21.0000,21.0000
12,377,0,0.37,159,0.007700493739376462,8,False,False,0.7304,1.5231,1.5615,0.8813,0.7043,0.6940,88.5175,88.5175,88.5175,25.0000,25.0000,25.0000
13,436,2,0.25,154,0.009290680585958758,8,False,False,0.8072,1.5842,1.6135,0.8711,0.6920,0.6846,78.4950,78.4950,78.4950,23.0000,23.0000,23.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,9,False,False,0.9080,1.6438,1.6736,0.8624,0.6899,0.6848,68.4167,68.4167,68.4167,22.0000,22.0000,22.0000
15,326,3,0.09,115,0.013524008765720979,9,False,False,0.9334,1.6910,1.7240,0.8539,0.6849,0.6780,62.2471,62.2471,62.2471,14.0000,14.0000,14.0000
16,326,2,0.02,124,0.01631677785042834,10,False,False,1.0348,1.7805,1.8188,0.8526,0.6856,0.6776,53.5142,53.5142,53.5142,15.0000,15.0000,15.0000
17,247,2,0.15,240,0.01968626640460739,11,False,False,1.1889,1.8526,1.8867,0.8120,0.6687,0.6611,47.4713,47.4713,47.4713,24.0000,24.0000,24.0000
18,179,1,0.01,50,0.02375156961170491,11,False,False,1.2432,1.9353,1.9669,0.8021,0.6407,0.6329,41.7411,41.7411,41.7411,10.0000,10.0000,10.0000
19,137,5,0.3,235,0.028656376350145975,12,False,False,1.5537,2.1426,2.1639,0.7461,0.6043,0.6009,33.7860,33.7860,33.7860,23.0000,23.0000,23.0000
20,786,2,0.24,144,0.03457404790277603,12,False,False,1.4744,2.1068,2.1310,0.7703,0.6281,0.6252,33.2338,33.2338,33.2338,15.0000,15.0000,15.0000
21,410,1,0.49,188,0.04171374544281356,13,False,False,1.7213,2.3270,2.3514,0.7232,0.5886,0.5809,26.2427,26.2427,26.2427,20.0000,20.0000,20.0000
22,388,0,0.48,59,0.050327822873414196,14,False,False,1.9258,2.4841,2.5101,0.6705,0.5598,0.5565,21.9704,21.9704,21.9704,7.0000,7.0000,7.0000
23,38,2,0.4,176,0.06072074632210035,14,False,False,2.2547,2.7263,2.7504,0.5956,0.5141,0.5107,17.1253,17.1253,17.1253,17.0000,17.0000,17.0000
24,467,2,0.11,75,0.07325985555120318,15,False,False,2.4078,2.8620,2.8872,0.5848,0.4994,0.4949,14.6120,14.6120,14.6120,7.0000,7.0000,7.0000
25,176,4,0.05,210,0.08838834764831845,15,False,False,2.5114,2.9748,2.9982,0.5857,0.4998,0.4939,12.9192,12.9192,12.9192,20.0000,20.0000,20.0000
26,57,4,0.0,85,0.10664094190766783,16,False,False,2.6573,3.0981,3.1270,0.4864,0.4264,0.4208,11.1255,11.1255,11.1255,11.0000,11.0000,11.0000
27,968,3,0.22,102,0.12866277958043645,16,False,False,3.0549,3.3359,3.3594,0.4943,0.4049,0.3957,8.0147,8.0147,8.0147,6.0000,6.0000,6.0000
28,268,4,0.37,225,0.15523222650918542,17,False,False,3.8194,3.9261,3.9450,0.2181,0.2189,0.2136,3.5492,3.5492,3.5492,20.0000,20.0000,20.0000
29,270,0,0.04,187,0.18728838460958516,18,False,False,3.9002,3.9991,4.0156,0.2181,0.2188,0.2136,3.0250,3.0250,3.0250,16.0000,16.0000,16.0000
30,596,0,0.43,195,0.22596428459777515,18,False,False,3.9853,4.0841,4.0986,0.2179,0.2186,0.2133,2.5448,2.5448,2.5448,17.0000,17.0000,17.0000
31,694,3,0.18,230,0.2726269331663144,19,False,False,4.0986,4.1854,4.1984,0.2179,0.2185,0.2130,2.0653,2.0653,2.0653,21.0000,21.0000,21.0000
32,837,4,0.09,187,0.32892563008340914,19,False,False,4.8256,4.8253,4.8259,0.1766,0.1781,0.1729,0.1421,0.1421,0.1421,24.0000,24.0000,24.0000
33,487,0,0.14,112,0.39685026299204973,20,False,False,4.8402,4.8400,4.8403,0.1766,0.1781,0.1729,0.1064,0.1064,0.1064,22.0000,22.0000,22.0000
34,418,5,0.37,188,0.47880164034928685,21,False,False,4.8508,4.8507,4.8509,0.1766,0.1781,0.1729,0.0614,0.0614,0.0614,24.0000,24.0000,24.0000
35,407,5,0.35000000000000003,94,0.577676348436136,21,False,False,4.8480,4.8479,4.8481,0.1766,0.1781,0.1729,0.0922,0.0922,0.0922,22.0000,22.0000,22.0000
36,657,2,0.11,182,0.6969691317244994,22,False,False,4.8574,4.8574,4.8574,0.1766,0.1781,0.1729,0.0418,0.0418,0.0418,24.0000,24.0000,24.0000
37,442,1,0.41000000000000003,215,0.8408964152537145,22,False,False,4.8577,4.8577,4.8577,0.1792,0.1817,0.1748,0.0310,0.0310,0.0310,17.0000,17.0000,17.0000
38,398,4,0.23,292,1.0145453349375229,23,False,False,4.8578,4.8578,4.8578,0.1966,0.1952,0.1921,0.0352,0.0352,0.0352,25.0000,25.0000,25.0000
39,369,4,0.29,98,1.2240535433046547,24,False,False,4.8576,4.8576,4.8576,0.1807,0.1833,0.1784,0.0589,0.0589,0.0589,21.0000,21.0000,21.0000
40,75,4,0.33,67,1.4768261459394993,24,False,False,4.8577,4.8577,4.8577,0.0487,0.0511,0.0485,0.0985,0.0985,0.0985,25.0000,25.0000,25.0000
41,179,0,0.02,177,1.7817974362806772,25,False,False,4.8579,4.8579,4.8579,0.1729,0.1763,0.1713,0.0279,0.0279,0.0279,12.0000,12.0000,12.0000
42,442,4,0.19,159,2.149746679841392,25,False,False,4.8579,4.8579,4.8579,0.1766,0.1785,0.1738,0.0270,0.0270,0.0270,9.0000,9.0000,9.0000
43,111,1,0.22,237,2.5936791093020193,26,False,False,4.8578,4.8578,4.8578,0.1378,0.1380,0.1379,0.0319,0.0319,0.0319,20.0000,20.0000,20.0000
44,242,1,0.45,123,3.1292855968155457,27,False,False,4.8579,4.8579,4.8579,0.0525,0.0523,0.0568,0.0233,0.0233,0.0233,5.0000,5.0000,5.0000
45,107,3,0.21,118,3.7754972507267723,27,False,False,4.8579,4.8579,4.8579,0.0789,0.0769,0.0791,0.0259,0.0259,0.0259,10.0000,10.0000,10.0000
46,150,2,0.2,70,4.555154539026766,28,False,False,4.8579,4.8579,4.8579,0.1357,0.1382,0.1321,0.0274,0.0274,0.0274,10.0000,10.0000,10.0000
47,38,1,0.2,128,5.495814589832352,28,False,False,4.8579,4.8579,4.8579,0.0979,0.1001,0.0966,0.0289,0.0289,0.0289,13.0000,13.0000,13.0000
48,248,1,0.49,92,6.6307252030723465,29,False,False,4.8579,4.8579,4.8579,0.0596,0.0574,0.0573,0.0624,0.0624,0.0624,23.0000,23.0000,23.0000
49,670,0,0.45,89,8.0,29,False,False,4.8579,4.8579,4.8579,0.1238,0.1218,0.1196,0.0207,0.0207,0.0207,0.0000,0.0000,0.0000
