run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.4025,0.6508,0.6512,0.9147,0.8653,0.8682,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,False,3.6875,3.6875,3.6875,0.1981,0.1981,0.1981,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,True,3.6878,3.6878,3.6878,0.1979,0.1979,0.1979,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,False,False,0.1433,0.5717,0.5673,0.9749,0.8801,0.8846,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,True,False,1.9767,1.9767,1.9767,0.6962,0.6962,0.6962,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,True,True,1.9310,1.9310,1.9310,0.7123,0.7123,0.7123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,2,False,False,1.1342,1.3780,1.2975,0.7742,0.7578,0.7569,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,2,True,False,3.7994,3.7994,3.7994,0.1879,0.1879,0.1879,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,2,True,True,3.7441,3.7441,3.7441,0.1886,0.1886,0.1886,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,2,False,False,0.2455,0.5817,0.5878,0.9596,0.8747,0.8760,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,2,True,False,3.2013,3.2013,3.2013,0.2983,0.2983,0.2983,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,2,True,True,3.2241,3.2241,3.2241,0.2992,0.2992,0.2992,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,3,False,False,0.2154,0.5900,0.5894,0.9561,0.8765,0.8798,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,3,True,False,0.0061,0.0061,0.0061,0.9987,0.9987,0.9987,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,3,True,True,0.0014,0.0014,0.0014,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,3,False,False,0.1909,0.5706,0.5695,0.9656,0.8816,0.8822,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,3,True,False,2.9976,2.9976,2.9976,0.4406,0.4406,0.4406,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,3,True,True,3.0308,3.0308,3.0308,0.4317,0.4317,0.4317,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
