run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,300,0.0,1,False,False,0.8294,0.9931,1.0133,0.8246,0.7982,0.7966,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,300,0.0,1,True,False,3.8186,3.8186,3.8186,0.1921,0.1921,0.1921,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,300,0.0,1,True,True,,,,,,,,,,,,
1,433,2,0.27,300,0.0009765625,1,False,False,0.3456,0.7466,0.7359,0.9280,0.8404,0.8425,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,300,0.0009765625,1,True,False,2.1833,2.1833,2.1833,0.5842,0.5842,0.5842,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,300,0.0009765625,1,True,True,,,,,,,,,,,,
2,310,5,0.5,300,0.0011782270808598852,2,False,False,1.2758,1.4487,1.3984,0.6961,0.6819,0.6827,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,300,0.0011782270808598852,2,True,False,3.8436,3.8436,3.8436,0.1875,0.1875,0.1875,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,300,0.0011782270808598852,2,True,True,,,,,,,,,,,,
3,300,1,0.44,300,0.001421536311369323,2,False,False,0.5102,0.7863,0.7890,0.8951,0.8356,0.8332,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,300,0.001421536311369323,2,True,False,3.4640,3.4640,3.4640,0.2421,0.2421,0.2421,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,300,0.001421536311369323,2,True,True,,,,,,,,,,,,
4,1009,2,0.1,300,0.0017150900003645502,3,False,False,0.4527,0.7928,0.7967,0.9049,0.8315,0.8318,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,300,0.0017150900003645502,3,True,False,0.7136,0.7136,0.7136,0.8047,0.8047,0.8047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,300,0.0017150900003645502,3,True,True,,,,,,,,,,,,
5,657,3,0.5,300,0.0020692638561704995,3,False,False,0.3825,0.7298,0.7137,0.9123,0.8447,0.8449,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,300,0.0020692638561704995,3,True,False,3.2865,3.2865,3.2865,0.3332,0.3332,0.3332,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,300,0.0020692638561704995,3,True,True,,,,,,,,,,,,
