run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,2.2372,2.4144,2.4518,0.5253,0.4979,0.4894,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,212,0.0,1,True,False,3.8535,3.8535,3.8535,0.1886,0.1886,0.1886,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,212,0.0,1,True,True,,,,,,,,,,,,
1,433,2,0.27,103,0.0009765625,1,False,False,0.8538,1.5997,1.6067,0.8386,0.6651,0.6606,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,103,0.0009765625,1,True,False,3.0511,3.0511,3.0511,0.3642,0.3642,0.3642,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,103,0.0009765625,1,True,True,,,,,,,,,,,,
2,310,5,0.5,113,0.0011782270808598852,2,False,False,2.5670,2.6042,2.6226,0.4349,0.4338,0.4273,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,113,0.0011782270808598852,2,True,False,3.9429,3.9429,3.9429,0.1875,0.1875,0.1875,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,113,0.0011782270808598852,2,True,True,,,,,,,,,,,,
3,300,1,0.44,99,0.001421536311369323,2,False,False,1.8488,2.0069,2.0315,0.6256,0.5900,0.5834,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,99,0.001421536311369323,2,True,False,3.7325,3.7325,3.7325,0.1888,0.1888,0.1888,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,99,0.001421536311369323,2,True,True,,,,,,,,,,,,
4,1009,2,0.1,148,0.0017150900003645502,3,False,False,0.8839,1.7919,1.8278,0.8277,0.6320,0.6243,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,148,0.0017150900003645502,3,True,False,0.6882,0.6882,0.6882,0.8060,0.8060,0.8060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,148,0.0017150900003645502,3,True,True,,,,,,,,,,,,
5,657,3,0.5,165,0.0020692638561704995,3,False,False,1.3576,1.6562,1.6738,0.7120,0.6495,0.6420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,165,0.0020692638561704995,3,True,False,3.5849,3.5849,3.5849,0.2188,0.2188,0.2188,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,165,0.0020692638561704995,3,True,True,,,,,,,,,,,,
