run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,300,0.0,1,False,False,3.3930,3.3937,3.4223,0.1946,0.1944,0.1891,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
1,433,2,0.27,300,0.0009765625,1,False,False,3.4618,3.4547,3.4814,0.1939,0.1941,0.1887,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
2,310,5,0.5,300,0.0011782270808598852,2,False,False,2.5090,2.5010,2.5177,0.4547,0.4545,0.4510,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
3,300,1,0.44,300,0.001421536311369323,2,False,False,2.4682,2.4596,2.4784,0.4648,0.4642,0.4608,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
4,1009,2,0.1,300,0.0017150900003645502,3,False,False,1.7868,1.8082,1.8218,0.6070,0.6040,0.6031,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
5,657,3,0.5,300,0.0020692638561704995,3,False,False,2.0660,2.0667,2.0822,0.5501,0.5485,0.5466,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
6,455,2,0.49,300,0.0024965762178914648,4,False,False,1.7971,1.8024,1.8132,0.6087,0.6079,0.6049,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
7,103,1,0.44,300,0.0030121305183748843,5,False,False,1.6131,1.6213,1.6387,0.6602,0.6626,0.6533,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
8,203,4,0.05,300,0.003634149117781824,5,False,False,1.3486,1.3959,1.4226,0.7203,0.7150,0.7070,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
9,150,4,0.02,300,0.004384617376208487,6,False,False,1.2375,1.3171,1.3385,0.7458,0.7342,0.7313,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
10,72,3,0.23,300,0.005290060730222237,6,False,False,1.3375,1.3759,1.3913,0.7267,0.7205,0.7173,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
11,467,3,0.31,300,0.006382482239223045,7,False,False,1.3131,1.3478,1.3594,0.7310,0.7275,0.7235,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
12,377,0,0.37,300,0.007700493739376462,8,False,False,1.2856,1.3210,1.3399,0.7414,0.7335,0.7320,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
13,436,2,0.25,300,0.009290680585958758,8,False,False,1.2038,1.2536,1.2731,0.7557,0.7461,0.7434,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
14,382,2,0.41000000000000003,300,0.011209248221179687,9,False,False,1.2651,1.3004,1.3202,0.7448,0.7361,0.7331,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
15,326,3,0.09,300,0.013524008765720979,9,False,False,1.1166,1.1949,1.2114,0.7711,0.7582,0.7553,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
16,326,2,0.02,300,0.01631677785042834,10,False,False,1.0389,1.1459,1.1605,0.7870,0.7692,0.7681,0.0000,0.0000,0.0000,10.0000,10.0000,10.0000
17,247,2,0.15,300,0.01968626640460739,11,False,False,1.0658,1.1475,1.1601,0.7827,0.7680,0.7670,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
18,179,1,0.01,300,0.02375156961170491,11,False,False,1.0140,1.1285,1.1392,0.7927,0.7729,0.7709,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
19,137,5,0.3,300,0.028656376350145975,12,False,False,1.1088,1.1720,1.1845,0.7760,0.7614,0.7638,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
20,786,2,0.24,300,0.03457404790277603,12,False,False,1.0784,1.1503,1.1622,0.7810,0.7662,0.7673,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
21,410,1,0.49,300,0.04171374544281356,13,False,False,1.2181,1.2584,1.2776,0.7579,0.7477,0.7474,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
22,388,0,0.48,300,0.050327822873414196,14,False,False,1.1871,1.2309,1.2505,0.7618,0.7519,0.7526,0.0000,0.0000,0.0000,14.0000,14.0000,14.0000
23,38,2,0.4,300,0.06072074632210035,14,False,False,1.1395,1.1911,1.2101,0.7709,0.7606,0.7605,0.0000,0.0000,0.0000,14.0000,14.0000,14.0000
24,467,2,0.11,300,0.07325985555120318,15,False,False,0.9695,1.0701,1.0822,0.8010,0.7832,0.7828,0.0000,0.0000,0.0000,15.0000,15.0000,15.0000
25,176,4,0.05,300,0.08838834764831845,15,False,False,0.9503,1.0639,1.0749,0.8048,0.7843,0.7845,0.0000,0.0000,0.0000,15.0000,15.0000,15.0000
26,57,4,0.0,300,0.10664094190766783,16,False,False,0.9258,1.0618,1.0714,0.8094,0.7872,0.7870,0.0000,0.0000,0.0000,16.0000,16.0000,16.0000
27,968,3,0.22,300,0.12866277958043645,16,False,False,0.9787,1.0705,1.0854,0.7994,0.7833,0.7828,0.0000,0.0000,0.0000,16.0000,16.0000,16.0000
28,268,4,0.37,300,0.15523222650918542,17,False,False,1.0686,1.1315,1.1490,0.7844,0.7704,0.7732,0.0000,0.0000,0.0000,17.0000,17.0000,17.0000
29,270,0,0.04,300,0.18728838460958516,18,False,False,0.9133,1.0375,1.0488,0.8114,0.7890,0.7896,0.0000,0.0000,0.0000,18.0000,18.0000,18.0000
30,596,0,0.43,300,0.22596428459777515,18,False,False,1.0895,1.1470,1.1658,0.7819,0.7701,0.7709,0.0000,0.0000,0.0000,18.0000,18.0000,18.0000
31,694,3,0.18,300,0.2726269331663144,19,False,False,0.9243,1.0296,1.0450,0.8097,0.7901,0.7916,0.0000,0.0000,0.0000,19.0000,19.0000,19.0000
32,837,4,0.09,300,0.32892563008340914,19,False,False,0.9204,1.0328,1.0475,0.8093,0.7879,0.7897,0.0000,0.0000,0.0000,19.0000,19.0000,19.0000
33,487,0,0.14,300,0.39685026299204973,20,False,False,0.9052,1.0208,1.0362,0.8131,0.7920,0.7932,0.0000,0.0000,0.0000,20.0000,20.0000,20.0000
34,418,5,0.37,300,0.47880164034928685,21,False,False,1.0259,1.0966,1.1150,0.7926,0.7779,0.7786,0.0000,0.0000,0.0000,21.0000,21.0000,21.0000
35,407,5,0.35000000000000003,300,0.577676348436136,21,False,False,1.0145,1.0881,1.1064,0.7944,0.7800,0.7799,0.0000,0.0000,0.0000,21.0000,21.0000,21.0000
36,657,2,0.11,300,0.6969691317244994,22,False,False,0.9142,1.0262,1.0434,0.8120,0.7920,0.7907,0.0000,0.0000,0.0000,22.0000,22.0000,22.0000
37,442,1,0.41000000000000003,300,0.8408964152537145,22,False,False,1.0505,1.1151,1.1349,0.7891,0.7764,0.7760,0.0000,0.0000,0.0000,22.0000,22.0000,22.0000
38,398,4,0.23,300,1.0145453349375229,23,False,False,0.9539,1.0469,1.0666,0.8053,0.7879,0.7876,0.0000,0.0000,0.0000,23.0000,23.0000,23.0000
39,369,4,0.29,300,1.2240535433046547,24,False,False,0.9715,1.0566,1.0750,0.8020,0.7860,0.7866,0.0000,0.0000,0.0000,24.0000,24.0000,24.0000
40,75,4,0.33,300,1.4768261459394993,24,False,False,0.9923,1.0710,1.0898,0.7980,0.7836,0.7839,0.0000,0.0000,0.0000,24.0000,24.0000,24.0000
41,179,0,0.02,300,1.7817974362806772,25,False,False,0.8595,1.0087,1.0233,0.8218,0.7952,0.7933,0.0000,0.0000,0.0000,25.0000,25.0000,25.0000
42,442,4,0.19,300,2.149746679841392,25,False,False,0.9227,1.0280,1.0446,0.8108,0.7902,0.7911,0.0000,0.0000,0.0000,25.0000,25.0000,25.0000
43,111,1,0.22,300,2.5936791093020193,26,False,False,0.9331,1.0311,1.0503,0.8084,0.7896,0.7880,0.0000,0.0000,0.0000,26.0000,26.0000,26.0000
44,242,1,0.45,300,3.1292855968155457,27,False,False,1.0514,1.1194,1.1385,0.7897,0.7745,0.7754,0.0000,0.0000,0.0000,27.0000,27.0000,27.0000
45,107,3,0.21,300,3.7754972507267723,27,False,False,0.9251,1.0292,1.0461,0.8098,0.7917,0.7910,0.0000,0.0000,0.0000,27.0000,27.0000,27.0000
46,150,2,0.2,300,4.555154539026766,28,False,False,0.9013,1.0164,1.0329,0.8139,0.7933,0.7934,0.0000,0.0000,0.0000,28.0000,28.0000,28.0000
47,38,1,0.2,300,5.495814589832352,28,False,False,0.9013,1.0164,1.0329,0.8139,0.7933,0.7934,0.0000,0.0000,0.0000,28.0000,28.0000,28.0000
48,248,1,0.49,300,6.6307252030723465,29,False,False,1.1019,1.1583,1.1782,0.7814,0.7678,0.7681,0.0000,0.0000,0.0000,29.0000,29.0000,29.0000
49,670,0,0.45,300,8.0,29,False,False,1.0429,1.1136,1.1341,0.7908,0.7764,0.7753,0.0000,0.0000,0.0000,29.0000,29.0000,29.0000
