run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,2.9444,3.4770,3.5020,0.2182,0.2190,0.2137,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
1,433,2,0.27,103,0.0009765625,1,False,False,3.1869,3.5024,3.5421,0.2345,0.2327,0.2306,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
2,310,5,0.5,113,0.0011782270808598852,2,False,False,1.5447,2.2498,2.3015,0.6597,0.5532,0.5466,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
3,300,1,0.44,99,0.001421536311369323,2,False,False,1.7400,2.4136,2.4515,0.6200,0.5177,0.5142,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
4,1009,2,0.1,148,0.0017150900003645502,3,False,False,1.2229,2.2600,2.2707,0.7585,0.6165,0.6112,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
5,657,3,0.5,165,0.0020692638561704995,3,False,False,1.0592,1.9690,1.9953,0.7863,0.6514,0.6441,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
6,455,2,0.49,60,0.0024965762178914648,4,False,False,0.8828,1.7064,1.7368,0.8355,0.6732,0.6676,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
7,103,1,0.44,84,0.0030121305183748843,5,False,False,0.8337,1.6459,1.6812,0.8330,0.6770,0.6696,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
8,203,4,0.05,238,0.003634149117781824,5,False,False,1.0336,2.1124,2.1734,0.7945,0.6421,0.6337,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
9,150,4,0.02,122,0.004384617376208487,6,False,False,1.3179,2.1845,2.2149,0.7305,0.6140,0.6087,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
10,72,3,0.23,144,0.005290060730222237,6,False,False,0.8207,1.8912,1.8890,0.8340,0.6706,0.6642,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
11,467,3,0.31,79,0.006382482239223045,7,False,False,0.7970,1.7383,1.7585,0.8374,0.6708,0.6667,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
12,377,0,0.37,159,0.007700493739376462,8,False,False,0.6616,1.6202,1.6439,0.8633,0.6919,0.6872,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
13,436,2,0.25,154,0.009290680585958758,8,False,False,0.7632,1.8411,1.8377,0.8454,0.6752,0.6752,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,9,False,False,0.5996,1.5918,1.5889,0.8780,0.6961,0.6950,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
15,326,3,0.09,115,0.013524008765720979,9,False,False,0.9574,1.9633,1.9757,0.7994,0.6564,0.6466,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
16,326,2,0.02,124,0.01631677785042834,10,False,False,1.1046,1.9692,2.0267,0.7729,0.6414,0.6322,0.0000,0.0000,0.0000,10.0000,10.0000,10.0000
17,247,2,0.15,240,0.01968626640460739,11,False,False,0.8882,1.9055,1.9366,0.8164,0.6605,0.6539,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
18,179,1,0.01,50,0.02375156961170491,11,False,False,1.1354,1.9810,2.0113,0.7623,0.6355,0.6251,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
19,137,5,0.3,235,0.028656376350145975,12,False,False,0.6109,1.6740,1.6885,0.8765,0.6941,0.6881,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
20,786,2,0.24,144,0.03457404790277603,12,False,False,0.7591,1.7237,1.7396,0.8434,0.6786,0.6734,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
21,410,1,0.49,188,0.04171374544281356,13,False,False,0.5383,1.4475,1.4782,0.8922,0.7140,0.7058,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
22,388,0,0.48,59,0.050327822873414196,14,False,False,0.5915,1.4749,1.5253,0.8793,0.7062,0.7000,0.0000,0.0000,0.0000,14.0000,14.0000,14.0000
23,38,2,0.4,176,0.06072074632210035,14,False,False,0.6017,1.5392,1.5676,0.8775,0.7063,0.6961,0.0000,0.0000,0.0000,14.0000,14.0000,14.0000
24,467,2,0.11,75,0.07325985555120318,15,False,False,0.9031,1.8349,1.8458,0.8103,0.6603,0.6575,0.0000,0.0000,0.0000,15.0000,15.0000,15.0000
25,176,4,0.05,210,0.08838834764831845,15,False,False,0.9497,1.8703,1.9142,0.8061,0.6565,0.6515,0.0000,0.0000,0.0000,15.0000,15.0000,15.0000
26,57,4,0.0,85,0.10664094190766783,16,False,False,1.0806,1.9503,1.9962,0.7735,0.6403,0.6316,0.0000,0.0000,0.0000,16.0000,16.0000,16.0000
27,968,3,0.22,102,0.12866277958043645,16,False,False,0.7500,1.6831,1.7039,0.8417,0.6791,0.6741,0.0000,0.0000,0.0000,16.0000,16.0000,16.0000
28,268,4,0.37,225,0.15523222650918542,17,False,False,0.5776,1.5489,1.5735,0.8826,0.7039,0.6962,0.0000,0.0000,0.0000,17.0000,17.0000,17.0000
29,270,0,0.04,187,0.18728838460958516,18,False,False,0.9878,1.9298,1.9926,0.7912,0.6514,0.6406,0.0000,0.0000,0.0000,18.0000,18.0000,18.0000
30,596,0,0.43,195,0.22596428459777515,18,False,False,0.5534,1.5068,1.5246,0.8875,0.7053,0.7025,0.0000,0.0000,0.0000,18.0000,18.0000,18.0000
31,694,3,0.18,230,0.2726269331663144,19,False,False,0.6868,1.7393,1.7541,0.8594,0.6862,0.6791,0.0000,0.0000,0.0000,19.0000,19.0000,19.0000
32,837,4,0.09,187,0.32892563008340914,19,False,False,0.8500,1.8639,1.9047,0.8245,0.6598,0.6574,0.0000,0.0000,0.0000,19.0000,19.0000,19.0000
33,487,0,0.14,112,0.39685026299204973,20,False,False,0.8984,1.7918,1.7997,0.8106,0.6632,0.6568,0.0000,0.0000,0.0000,20.0000,20.0000,20.0000
