run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,3.5929,3.5949,3.6215,0.2169,0.2179,0.2124,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
1,433,2,0.27,103,0.0009765625,1,False,False,3.5982,3.5891,3.6105,0.2154,0.2161,0.2107,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
2,310,5,0.5,113,0.0011782270808598852,2,False,False,3.2104,3.2016,3.2158,0.3116,0.3109,0.3058,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
3,300,1,0.44,99,0.001421536311369323,2,False,False,3.1837,3.1709,3.1900,0.3272,0.3257,0.3238,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
4,1009,2,0.1,148,0.0017150900003645502,3,False,False,2.9172,2.9305,2.9429,0.3924,0.3914,0.3856,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
5,657,3,0.5,165,0.0020692638561704995,3,False,False,2.9617,2.9622,2.9806,0.3827,0.3793,0.3740,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
6,455,2,0.49,60,0.0024965762178914648,4,False,False,3.1414,3.1370,3.1483,0.3451,0.3430,0.3400,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
7,103,1,0.44,84,0.0030121305183748843,5,False,False,3.0092,3.0081,3.0228,0.3771,0.3756,0.3731,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
8,203,4,0.05,238,0.003634149117781824,5,False,False,2.6086,2.6566,2.6814,0.4463,0.4399,0.4351,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
9,150,4,0.02,122,0.004384617376208487,6,False,False,2.7294,2.7647,2.7708,0.4259,0.4232,0.4193,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
10,72,3,0.23,144,0.005290060730222237,6,False,False,2.7137,2.7321,2.7456,0.4336,0.4290,0.4237,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
11,467,3,0.31,79,0.006382482239223045,7,False,False,2.9041,2.9141,2.9228,0.3947,0.3935,0.3880,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
12,377,0,0.37,159,0.007700493739376462,8,False,False,2.6410,2.6620,2.6825,0.4392,0.4351,0.4287,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
13,436,2,0.25,154,0.009290680585958758,8,False,False,2.6195,2.6579,2.6647,0.4480,0.4414,0.4396,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,9,False,False,2.6913,2.7159,2.7302,0.4376,0.4340,0.4289,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
15,326,3,0.09,115,0.013524008765720979,9,False,False,2.6635,2.7086,2.7204,0.4355,0.4286,0.4267,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
16,326,2,0.02,124,0.01631677785042834,10,False,False,2.6549,2.7121,2.7327,0.4429,0.4362,0.4301,0.0000,0.0000,0.0000,10.0000,10.0000,10.0000
17,247,2,0.15,240,0.01968626640460739,11,False,False,2.3681,2.4626,2.4651,0.4976,0.4840,0.4808,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
18,179,1,0.01,50,0.02375156961170491,11,False,False,2.9353,2.9481,2.9580,0.3933,0.3922,0.3872,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
19,137,5,0.3,235,0.028656376350145975,12,False,False,2.4077,2.4742,2.4931,0.4930,0.4798,0.4748,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
20,786,2,0.24,144,0.03457404790277603,12,False,False,2.5578,2.6090,2.6181,0.4658,0.4563,0.4514,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
21,410,1,0.49,188,0.04171374544281356,13,False,False,2.5534,2.5895,2.6080,0.4659,0.4608,0.4529,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
22,388,0,0.48,59,0.050327822873414196,14,False,False,2.9318,2.9355,2.9630,0.3969,0.3985,0.3895,0.0000,0.0000,0.0000,14.0000,14.0000,14.0000
23,38,2,0.4,176,0.06072074632210035,14,False,False,2.5152,2.5567,2.5905,0.4726,0.4649,0.4542,0.0000,0.0000,0.0000,14.0000,14.0000,14.0000
24,467,2,0.11,75,0.07325985555120318,15,False,False,2.7591,2.7906,2.8038,0.4250,0.4233,0.4137,0.0000,0.0000,0.0000,15.0000,15.0000,15.0000
25,176,4,0.05,210,0.08838834764831845,15,False,False,2.3685,2.4952,2.5093,0.5005,0.4850,0.4784,0.0000,0.0000,0.0000,15.0000,15.0000,15.0000
26,57,4,0.0,85,0.10664094190766783,16,False,False,2.6799,2.7389,2.7446,0.4380,0.4279,0.4267,0.0000,0.0000,0.0000,16.0000,16.0000,16.0000
27,968,3,0.22,102,0.12866277958043645,16,False,False,2.6553,2.7020,2.7220,0.4472,0.4389,0.4312,0.0000,0.0000,0.0000,16.0000,16.0000,16.0000
28,268,4,0.37,225,0.15523222650918542,17,False,False,2.3547,2.4470,2.4601,0.5031,0.4905,0.4833,0.0000,0.0000,0.0000,17.0000,17.0000,17.0000
29,270,0,0.04,187,0.18728838460958516,18,False,False,2.3512,2.5064,2.5284,0.5026,0.4830,0.4751,0.0000,0.0000,0.0000,18.0000,18.0000,18.0000
30,596,0,0.43,195,0.22596428459777515,18,False,False,2.4424,2.5226,2.5436,0.4920,0.4788,0.4705,0.0000,0.0000,0.0000,18.0000,18.0000,18.0000
31,694,3,0.18,230,0.2726269331663144,19,False,False,2.2781,2.4112,2.4200,0.5203,0.4988,0.4964,0.0000,0.0000,0.0000,19.0000,19.0000,19.0000
32,837,4,0.09,187,0.32892563008340914,19,False,False,2.3501,2.4938,2.5169,0.5036,0.4827,0.4769,0.0000,0.0000,0.0000,19.0000,19.0000,19.0000
33,487,0,0.14,112,0.39685026299204973,20,False,False,2.5531,2.6338,2.6541,0.4690,0.4539,0.4493,0.0000,0.0000,0.0000,20.0000,20.0000,20.0000
34,418,5,0.37,188,0.47880164034928685,21,False,False,2.4116,2.4935,2.5144,0.4952,0.4785,0.4765,0.0000,0.0000,0.0000,21.0000,21.0000,21.0000
35,407,5,0.35000000000000003,94,0.577676348436136,21,False,False,2.6837,2.7282,2.7511,0.4363,0.4277,0.4231,0.0000,0.0000,0.0000,21.0000,21.0000,21.0000
36,657,2,0.11,182,0.6969691317244994,22,False,False,2.3323,2.4839,2.5027,0.5072,0.4897,0.4785,0.0000,0.0000,0.0000,22.0000,22.0000,22.0000
