run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.2298,0.3730,0.3882,0.9532,0.9266,0.9242,3746.2498,3746.2498,3746.2498,48.0000,48.0000,48.0000
1,433,2,0.27,768,0.0009765625,1,False,False,0.7058,0.7602,0.7474,0.8816,0.8716,0.8720,598.8146,598.8146,598.8146,48.0000,48.0000,48.0000
2,310,5,0.5,768,0.0011782270808598852,2,False,False,0.7927,0.8452,0.8315,0.8683,0.8593,0.8595,529.0314,529.0314,529.0314,48.0000,48.0000,48.0000
3,300,1,0.44,768,0.001421536311369323,3,False,False,0.8587,0.9099,0.8976,0.8595,0.8507,0.8519,477.9873,477.9873,477.9873,48.0000,48.0000,48.0000
4,1009,2,0.1,768,0.0017150900003645502,4,False,False,0.9164,0.9668,0.9569,0.8531,0.8460,0.8461,436.7694,436.7694,436.7694,48.0000,48.0000,48.0000
5,657,3,0.5,768,0.0020692638561704995,5,False,False,1.0366,1.0854,1.0736,0.8367,0.8299,0.8292,379.4707,379.4707,379.4707,48.0000,48.0000,48.0000
6,455,2,0.49,768,0.0024965762178914648,6,False,False,1.1340,1.1812,1.1697,0.8249,0.8182,0.8191,337.6559,337.6559,337.6559,48.0000,48.0000,48.0000
7,103,1,0.44,768,0.0030121305183748843,7,False,False,1.2389,1.2842,1.2735,0.8086,0.8017,0.8027,299.6207,299.6207,299.6207,48.0000,48.0000,48.0000
8,203,4,0.05,768,0.003634149117781824,8,False,False,1.3383,1.3826,1.3732,0.7904,0.7848,0.7856,267.6400,267.6400,267.6400,48.0000,48.0000,48.0000
9,150,4,0.02,768,0.004384617376208487,9,False,False,1.4729,1.5154,1.5077,0.7689,0.7639,0.7629,233.7486,233.7486,233.7486,48.0000,48.0000,48.0000
10,72,3,0.23,768,0.005290060730222237,10,False,False,1.6340,1.6733,1.6678,0.7487,0.7432,0.7444,201.0835,201.0835,201.0835,48.0000,48.0000,48.0000
11,467,3,0.31,768,0.006382482239223045,11,False,False,1.8054,1.8409,1.8368,0.7257,0.7218,0.7237,171.9590,171.9590,171.9590,48.0000,48.0000,48.0000
12,377,0,0.37,768,0.007700493739376462,12,False,False,2.0000,2.0299,2.0283,0.6943,0.6904,0.6932,144.5394,144.5394,144.5394,48.0000,48.0000,48.0000
13,436,2,0.25,768,0.009290680585958758,13,False,False,2.1909,2.2160,2.2153,0.6588,0.6592,0.6605,121.9670,121.9670,121.9670,48.0000,48.0000,48.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,14,False,False,2.4161,2.4366,2.4359,0.6247,0.6274,0.6315,100.2723,100.2723,100.2723,48.0000,48.0000,48.0000
15,326,3,0.09,768,0.013524008765720979,15,False,False,2.6394,2.6568,2.6558,0.5841,0.5886,0.5895,81.9728,81.9728,81.9728,48.0000,48.0000,48.0000
16,326,2,0.02,768,0.01631677785042834,16,False,False,2.8869,2.9003,2.8989,0.5292,0.5330,0.5332,65.3066,65.3066,65.3066,48.0000,48.0000,48.0000
17,247,2,0.15,768,0.01968626640460739,17,False,False,3.1395,3.1473,3.1460,0.4470,0.4521,0.4545,51.2330,51.2330,51.2330,48.0000,48.0000,48.0000
