run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.2912,0.4688,0.4640,0.9421,0.9089,0.9132,3997.6531,3997.6531,3997.6531,48.0000,48.0000,48.0000
1,433,2,0.27,768,0.0009765625,1,False,False,0.8895,0.9467,0.9320,0.8588,0.8478,0.8472,715.4732,715.4732,715.4732,48.0000,48.0000,48.0000
2,310,5,0.5,768,0.0011782270808598852,2,False,False,1.0301,1.0835,1.0677,0.8404,0.8308,0.8317,610.8794,610.8794,610.8794,48.0000,48.0000,48.0000
3,300,1,0.44,768,0.001421536311369323,3,False,False,1.1032,1.1550,1.1411,0.8328,0.8249,0.8234,554.5577,554.5577,554.5577,48.0000,48.0000,48.0000
4,1009,2,0.1,768,0.0017150900003645502,4,False,False,1.1475,1.1978,1.1873,0.8292,0.8223,0.8212,517.8018,517.8018,517.8018,48.0000,48.0000,48.0000
5,657,3,0.5,768,0.0020692638561704995,5,False,False,1.3396,1.3857,1.3742,0.8044,0.8003,0.7978,430.0014,430.0014,430.0014,48.0000,48.0000,48.0000
6,455,2,0.49,768,0.0024965762178914648,6,False,False,1.4670,1.5093,1.4996,0.7860,0.7828,0.7817,377.6045,377.6045,377.6045,48.0000,48.0000,48.0000
7,103,1,0.44,768,0.0030121305183748843,7,False,False,1.5985,1.6376,1.6303,0.7652,0.7637,0.7601,331.1869,331.1869,331.1869,48.0000,48.0000,48.0000
8,203,4,0.05,768,0.003634149117781824,8,False,False,1.7031,1.7395,1.7344,0.7494,0.7464,0.7441,297.3574,297.3574,297.3574,48.0000,48.0000,48.0000
9,150,4,0.02,768,0.004384617376208487,9,False,False,1.8839,1.9159,1.9129,0.7220,0.7203,0.7156,252.0248,252.0248,252.0248,48.0000,48.0000,48.0000
10,72,3,0.23,768,0.005290060730222237,10,False,False,2.1054,2.1323,2.1309,0.6916,0.6886,0.6850,206.8151,206.8151,206.8151,48.0000,48.0000,48.0000
11,467,3,0.31,768,0.006382482239223045,11,False,False,2.3353,2.3565,2.3564,0.6443,0.6428,0.6435,168.2150,168.2150,168.2150,48.0000,48.0000,48.0000
12,377,0,0.37,768,0.007700493739376462,12,False,False,2.5742,2.5904,2.5907,0.5957,0.5966,0.5979,134.9523,134.9523,134.9523,48.0000,48.0000,48.0000
13,436,2,0.25,768,0.009290680585958758,13,False,False,2.7911,2.8047,2.8043,0.5421,0.5413,0.5444,109.6597,109.6597,109.6597,48.0000,48.0000,48.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,14,False,False,3.0745,3.0839,3.0839,0.4589,0.4606,0.4611,82.5261,82.5261,82.5261,48.0000,48.0000,48.0000
15,326,3,0.09,768,0.013524008765720979,15,False,False,3.2905,3.2973,3.2978,0.3959,0.4005,0.3993,64.8544,64.8544,64.8544,48.0000,48.0000,48.0000
16,326,2,0.02,768,0.01631677785042834,16,False,False,3.5163,3.5199,3.5220,0.3635,0.3667,0.3646,49.6911,49.6911,49.6911,48.0000,48.0000,48.0000
17,247,2,0.15,768,0.01968626640460739,17,False,False,3.7788,3.7788,3.7826,0.3554,0.3569,0.3566,35.4258,35.4258,35.4258,48.0000,48.0000,48.0000
