run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,300,0.0,1,False,False,1.0620,1.2057,1.1969,0.7735,0.7531,0.7565,2113.4617,2113.4617,2113.4617,48.0000,48.0000,48.0000
1,433,2,0.27,300,0.0009765625,1,False,False,1.4413,1.4868,1.4677,0.7189,0.7114,0.7171,440.6024,440.6024,440.6024,48.0000,48.0000,48.0000
2,310,5,0.5,300,0.0011782270808598852,2,False,False,1.5804,1.6193,1.5989,0.6976,0.6933,0.6999,367.7107,367.7107,367.7107,48.0000,48.0000,48.0000
3,300,1,0.44,300,0.001421536311369323,3,False,False,1.6079,1.6451,1.6269,0.6957,0.6918,0.6974,339.0391,339.0391,339.0391,48.0000,48.0000,48.0000
4,1009,2,0.1,300,0.0017150900003645502,4,False,False,1.5712,1.6078,1.5951,0.7037,0.6993,0.7043,327.5253,327.5253,327.5253,48.0000,48.0000,48.0000
5,657,3,0.5,300,0.0020692638561704995,5,False,False,1.7640,1.7950,1.7786,0.6779,0.6765,0.6812,266.0791,266.0791,266.0791,48.0000,48.0000,48.0000
6,455,2,0.49,300,0.0024965762178914648,6,False,False,1.8326,1.8609,1.8457,0.6698,0.6696,0.6733,238.2794,238.2794,238.2794,48.0000,48.0000,48.0000
7,103,1,0.44,300,0.0030121305183748843,7,False,False,1.8959,1.9215,1.9082,0.6618,0.6626,0.6664,213.6917,213.6917,213.6917,48.0000,48.0000,48.0000
8,203,4,0.05,300,0.003634149117781824,8,False,False,1.8918,1.9164,1.9067,0.6598,0.6611,0.6628,198.7215,198.7215,198.7215,47.0000,47.0000,47.0000
9,150,4,0.02,300,0.004384617376208487,9,False,False,1.9892,2.0119,2.0029,0.6451,0.6464,0.6468,173.7402,173.7402,173.7402,48.0000,48.0000,48.0000
10,72,3,0.23,300,0.005290060730222237,10,False,False,2.1477,2.1668,2.1581,0.6226,0.6247,0.6264,145.9507,145.9507,145.9507,47.0000,47.0000,47.0000
11,467,3,0.31,300,0.006382482239223045,11,False,False,2.2873,2.3046,2.2959,0.6040,0.6058,0.6097,124.4647,124.4647,124.4647,47.0000,47.0000,47.0000
12,377,0,0.37,300,0.007700493739376462,12,False,False,2.4297,2.4448,2.4362,0.5902,0.5912,0.5956,106.1587,106.1587,106.1587,47.0000,47.0000,47.0000
13,436,2,0.25,300,0.009290680585958758,13,False,False,2.5387,2.5513,2.5433,0.5746,0.5771,0.5813,92.2933,92.2933,92.2933,46.0000,46.0000,46.0000
14,382,2,0.41000000000000003,300,0.011209248221179687,14,False,False,2.7487,2.7569,2.7498,0.5370,0.5415,0.5452,74.1544,74.1544,74.1544,47.0000,47.0000,47.0000
15,326,3,0.09,300,0.013524008765720979,15,False,False,2.8380,2.8440,2.8377,0.5173,0.5215,0.5251,64.9124,64.9124,64.9124,46.0000,46.0000,46.0000
16,326,2,0.02,300,0.01631677785042834,16,False,False,2.9859,2.9900,2.9844,0.4900,0.4945,0.4965,54.8833,54.8833,54.8833,46.0000,46.0000,46.0000
17,247,2,0.15,300,0.01968626640460739,17,False,False,3.2021,3.2032,3.1989,0.4378,0.4406,0.4412,43.2292,43.2292,43.2292,46.0000,46.0000,46.0000
18,179,1,0.01,300,0.02375156961170491,18,False,False,3.3792,3.3773,3.3747,0.3890,0.3935,0.3951,34.9391,34.9391,34.9391,45.0000,45.0000,45.0000
19,137,5,0.3,300,0.028656376350145975,19,False,False,3.6423,3.6358,3.6366,0.3416,0.3458,0.3454,25.2916,25.2916,25.2916,43.0000,43.0000,43.0000
20,786,2,0.24,300,0.03457404790277603,20,False,False,3.8400,3.8308,3.8347,0.3049,0.3100,0.3087,19.0583,19.0583,19.0583,44.0000,44.0000,44.0000
21,410,1,0.49,300,0.04171374544281356,21,False,False,4.0146,4.0027,4.0074,0.2954,0.3004,0.2984,14.8117,14.8117,14.8117,43.0000,43.0000,43.0000
22,388,0,0.48,300,0.050327822873414196,22,False,False,4.1578,4.1437,4.1486,0.2741,0.2812,0.2809,11.8750,11.8750,11.8750,44.0000,44.0000,44.0000
23,38,2,0.4,300,0.06072074632210035,23,False,False,4.3227,4.3071,4.3118,0.2431,0.2464,0.2474,9.0197,9.0197,9.0197,42.0000,42.0000,42.0000
24,467,2,0.11,300,0.07325985555120318,24,False,False,4.4448,4.4290,4.4336,0.1633,0.1704,0.1696,7.0688,7.0688,7.0688,42.0000,42.0000,42.0000
25,176,4,0.05,300,0.08838834764831845,25,False,False,4.6044,4.5930,4.5967,0.1229,0.1325,0.1333,5.1308,5.1308,5.1308,39.0000,39.0000,39.0000
26,57,4,0.0,300,0.10664094190766783,26,False,False,4.6688,4.6579,4.6614,0.1229,0.1325,0.1333,4.4086,4.4086,4.4086,40.0000,40.0000,40.0000
27,968,3,0.22,300,0.12866277958043645,27,False,False,4.7323,4.7214,4.7243,0.1229,0.1325,0.1333,3.8674,3.8674,3.8674,39.0000,39.0000,39.0000
28,268,4,0.37,300,0.15523222650918542,28,False,False,4.8134,4.8029,4.8052,0.1229,0.1325,0.1333,3.2964,3.2964,3.2964,42.0000,42.0000,42.0000
29,270,0,0.04,300,0.18728838460958516,29,False,False,4.9173,4.9075,4.9091,0.1229,0.1325,0.1333,2.6901,2.6901,2.6901,40.0000,40.0000,40.0000
30,596,0,0.43,300,0.22596428459777515,30,False,False,5.0685,5.0605,5.0615,0.1229,0.1325,0.1333,1.9579,1.9579,1.9579,40.0000,40.0000,40.0000
31,694,3,0.18,300,0.2726269331663144,31,False,False,5.3008,5.2962,5.2967,0.1229,0.1325,0.1333,1.0303,1.0303,1.0303,41.0000,41.0000,41.0000
32,837,4,0.09,300,0.32892563008340914,32,False,False,5.5502,5.5496,5.5497,0.1229,0.1325,0.1333,0.1853,0.1853,0.1853,47.0000,47.0000,47.0000
33,487,0,0.14,300,0.39685026299204973,33,False,False,5.5726,5.5724,5.5724,0.1229,0.1325,0.1333,0.1125,0.1125,0.1125,48.0000,48.0000,48.0000
34,418,5,0.37,300,0.47880164034928685,34,False,False,5.5845,5.5844,5.5844,0.1229,0.1325,0.1333,0.0624,0.0624,0.0624,38.0000,38.0000,38.0000
35,407,5,0.35000000000000003,300,0.577676348436136,35,False,False,5.5845,5.5845,5.5845,0.1229,0.1325,0.1334,0.0737,0.0737,0.0737,47.0000,47.0000,47.0000
36,657,2,0.11,300,0.6969691317244994,36,False,False,5.5847,5.5847,5.5847,0.2127,0.2207,0.2219,0.0736,0.0736,0.0736,48.0000,48.0000,48.0000
37,442,1,0.41000000000000003,300,0.8408964152537145,37,False,False,5.5846,5.5846,5.5846,0.1229,0.1325,0.1334,0.0738,0.0738,0.0738,47.0000,47.0000,47.0000
38,398,4,0.23,300,1.0145453349375229,38,False,False,5.5846,5.5846,5.5846,0.1299,0.1271,0.1285,0.0641,0.0641,0.0641,40.0000,40.0000,40.0000
39,369,4,0.29,300,1.2240535433046547,39,False,False,5.5848,5.5848,5.5848,0.1689,0.1763,0.1782,0.0608,0.0608,0.0608,38.0000,38.0000,38.0000
40,75,4,0.33,300,1.4768261459394993,40,False,False,5.5848,5.5848,5.5848,0.1270,0.1361,0.1368,0.0613,0.0613,0.0613,39.0000,39.0000,39.0000
41,179,0,0.02,300,1.7817974362806772,41,False,False,5.5848,5.5848,5.5848,0.1465,0.1546,0.1530,0.0739,0.0739,0.0739,48.0000,48.0000,48.0000
42,442,4,0.19,300,2.149746679841392,42,False,False,5.5849,5.5849,5.5849,0.1277,0.1326,0.1295,0.0607,0.0607,0.0607,39.0000,39.0000,39.0000
43,111,1,0.22,300,2.5936791093020193,43,False,False,5.5849,5.5849,5.5849,0.0843,0.0854,0.0878,0.0583,0.0583,0.0583,36.0000,36.0000,36.0000
44,242,1,0.45,300,3.1292855968155457,44,False,False,5.5849,5.5849,5.5849,0.1293,0.1382,0.1393,0.0606,0.0606,0.0606,40.0000,40.0000,40.0000
45,107,3,0.21,300,3.7754972507267723,45,False,False,5.5849,5.5849,5.5849,0.0729,0.0692,0.0700,0.0629,0.0629,0.0629,42.0000,42.0000,42.0000
46,150,2,0.2,300,4.555154539026766,46,False,False,5.5849,5.5849,5.5849,0.1055,0.1156,0.1130,0.0709,0.0709,0.0709,48.0000,48.0000,48.0000
47,38,1,0.2,300,5.495814589832352,47,False,False,5.5849,5.5849,5.5849,0.0757,0.0735,0.0735,0.0606,0.0606,0.0606,48.0000,48.0000,48.0000
48,248,1,0.49,300,6.6307252030723465,48,False,False,5.5849,5.5849,5.5849,0.0409,0.0371,0.0377,0.0602,0.0602,0.0602,40.0000,40.0000,40.0000
