run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,0.6729,1.3140,1.3221,0.8619,0.7340,0.7334,657.0795,657.0795,657.0795,48.0000,48.0000,48.0000
1,433,2,0.27,103,0.0009765625,1,False,False,0.7308,1.3427,1.3543,0.8549,0.7337,0.7286,295.4026,295.4026,295.4026,46.0000,46.0000,46.0000
2,310,5,0.5,113,0.0011782270808598852,2,False,False,0.7238,1.3301,1.3449,0.8573,0.7357,0.7310,259.7323,259.7323,259.7323,46.0000,46.0000,46.0000
3,300,1,0.44,99,0.001421536311369323,3,False,False,0.7645,1.3590,1.3683,0.8506,0.7323,0.7274,239.8312,239.8312,239.8312,44.0000,44.0000,44.0000
4,1009,2,0.1,148,0.0017150900003645502,4,False,False,0.7890,1.3911,1.3920,0.8498,0.7306,0.7252,236.6379,236.6379,236.6379,45.0000,45.0000,45.0000
5,657,3,0.5,165,0.0020692638561704995,5,False,False,0.7808,1.3750,1.3878,0.8527,0.7309,0.7265,200.3332,200.3332,200.3332,45.0000,45.0000,45.0000
6,455,2,0.49,60,0.0024965762178914648,6,False,False,0.8573,1.4287,1.4418,0.8379,0.7225,0.7172,164.7417,164.7417,164.7417,40.0000,40.0000,40.0000
7,103,1,0.44,84,0.0030121305183748843,7,False,False,0.8929,1.4463,1.4660,0.8335,0.7196,0.7135,156.0128,156.0128,156.0128,41.0000,41.0000,41.0000
8,203,4,0.05,238,0.003634149117781824,8,False,False,0.8869,1.4610,1.4736,0.8398,0.7221,0.7154,150.9843,150.9843,150.9843,45.0000,45.0000,45.0000
9,150,4,0.02,122,0.004384617376208487,9,False,False,0.9479,1.4997,1.5217,0.8298,0.7164,0.7088,132.6172,132.6172,132.6172,35.0000,35.0000,35.0000
10,72,3,0.23,144,0.005290060730222237,10,False,False,1.0323,1.5376,1.5473,0.8148,0.7093,0.7017,115.4077,115.4077,115.4077,38.0000,38.0000,38.0000
11,467,3,0.31,79,0.006382482239223045,11,False,False,1.0982,1.5855,1.5975,0.7998,0.6992,0.6924,97.6427,97.6427,97.6427,30.0000,30.0000,30.0000
12,377,0,0.37,159,0.007700493739376462,12,False,False,1.1699,1.6178,1.6326,0.7897,0.6969,0.6903,89.3314,89.3314,89.3314,37.0000,37.0000,37.0000
13,436,2,0.25,154,0.009290680585958758,13,False,False,1.1953,1.6579,1.6735,0.7870,0.6933,0.6855,81.3888,81.3888,81.3888,32.0000,32.0000,32.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,14,False,False,1.3746,1.7328,1.7509,0.7621,0.6831,0.6754,70.2667,70.2667,70.2667,33.0000,33.0000,33.0000
15,326,3,0.09,115,0.013524008765720979,15,False,False,1.3568,1.7680,1.7833,0.7641,0.6802,0.6718,66.7684,66.7684,66.7684,23.0000,23.0000,23.0000
16,326,2,0.02,124,0.01631677785042834,16,False,False,1.4625,1.8391,1.8489,0.7524,0.6707,0.6671,58.3503,58.3503,58.3503,23.0000,23.0000,23.0000
17,247,2,0.15,240,0.01968626640460739,17,False,False,1.5764,1.9343,1.9443,0.7376,0.6621,0.6582,50.9614,50.9614,50.9614,35.0000,35.0000,35.0000
18,179,1,0.01,50,0.02375156961170491,18,False,False,1.6265,1.9937,2.0040,0.7368,0.6621,0.6557,48.5075,48.5075,48.5075,19.0000,19.0000,19.0000
19,137,5,0.3,235,0.028656376350145975,19,False,False,1.7935,2.1161,2.1222,0.7020,0.6470,0.6463,41.1258,41.1258,41.1258,35.0000,35.0000,35.0000
20,786,2,0.24,144,0.03457404790277603,20,False,False,2.0611,2.3714,2.3814,0.6561,0.6032,0.5988,33.9878,33.9878,33.9878,22.0000,22.0000,22.0000
21,410,1,0.49,188,0.04171374544281356,21,False,False,2.2686,2.5439,2.5473,0.6344,0.5818,0.5808,28.8873,28.8873,28.8873,30.0000,30.0000,30.0000
22,388,0,0.48,59,0.050327822873414196,22,False,False,2.6513,2.8474,2.8519,0.5535,0.5207,0.5178,22.1875,22.1875,22.1875,17.0000,17.0000,17.0000
23,38,2,0.4,176,0.06072074632210035,23,False,False,2.8418,3.0144,3.0153,0.4552,0.4451,0.4490,19.1969,19.1969,19.1969,27.0000,27.0000,27.0000
24,467,2,0.11,75,0.07325985555120318,24,False,False,3.0154,3.1872,3.1878,0.4491,0.4422,0.4389,16.2736,16.2736,16.2736,15.0000,15.0000,15.0000
25,176,4,0.05,210,0.08838834764831845,25,False,False,3.1839,3.3351,3.3368,0.4126,0.4080,0.4040,14.1701,14.1701,14.1701,38.0000,38.0000,38.0000
26,57,4,0.0,85,0.10664094190766783,26,False,False,3.4029,3.5413,3.5426,0.4027,0.3932,0.3902,11.8516,11.8516,11.8516,12.0000,12.0000,12.0000
27,968,3,0.22,102,0.12866277958043645,27,False,False,4.3998,4.4421,4.4422,0.1572,0.1656,0.1652,4.5817,4.5817,4.5817,14.0000,14.0000,14.0000
28,268,4,0.37,225,0.15523222650918542,28,False,False,4.4908,4.5230,4.5230,0.1594,0.1685,0.1675,3.9793,3.9793,3.9793,34.0000,34.0000,34.0000
29,270,0,0.04,187,0.18728838460958516,29,False,False,4.5877,4.6142,4.6139,0.1544,0.1607,0.1650,3.4020,3.4020,3.4020,26.0000,26.0000,26.0000
30,596,0,0.43,195,0.22596428459777515,30,False,False,4.7348,4.7537,4.7544,0.1528,0.1582,0.1624,2.7295,2.7295,2.7295,26.0000,26.0000,26.0000
31,694,3,0.18,230,0.2726269331663144,31,False,False,4.8824,4.9008,4.9014,0.1536,0.1582,0.1633,2.1061,2.1061,2.1061,32.0000,32.0000,32.0000
32,837,4,0.09,187,0.32892563008340914,32,False,False,5.5581,5.5576,5.5577,0.1229,0.1325,0.1333,0.1628,0.1628,0.1628,40.0000,40.0000,40.0000
33,487,0,0.14,112,0.39685026299204973,33,False,False,5.5730,5.5727,5.5727,0.1229,0.1325,0.1333,0.1244,0.1244,0.1244,35.0000,35.0000,35.0000
34,418,5,0.37,188,0.47880164034928685,34,False,False,5.5846,5.5846,5.5846,0.1502,0.1545,0.1566,0.0515,0.0515,0.0515,28.0000,28.0000,28.0000
35,407,5,0.35000000000000003,94,0.577676348436136,35,False,False,5.5843,5.5843,5.5843,0.1034,0.0992,0.1030,0.1012,0.1012,0.1012,37.0000,37.0000,37.0000
36,657,2,0.11,182,0.6969691317244994,36,False,False,5.5847,5.5846,5.5847,0.1244,0.1338,0.1361,0.0687,0.0687,0.0687,38.0000,38.0000,38.0000
37,442,1,0.41000000000000003,215,0.8408964152537145,37,False,False,5.5847,5.5847,5.5847,0.1229,0.1324,0.1332,0.0692,0.0692,0.0692,42.0000,42.0000,42.0000
