run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.2285,0.3820,0.3999,0.9528,0.9247,0.9224,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,False,4.3225,4.3225,4.3225,0.1315,0.1315,0.1315,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,True,4.3315,4.3315,4.3315,0.1302,0.1302,0.1302,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,False,False,0.0900,0.3239,0.3326,0.9823,0.9362,0.9333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,True,False,3.5048,3.5048,3.5048,0.3315,0.3315,0.3315,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,True,True,3.7866,3.7866,3.7866,0.2523,0.2523,0.2523,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,2,False,False,0.8263,1.0832,0.9949,0.8433,0.8318,0.8337,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,2,True,False,4.3977,4.3977,4.3977,0.1263,0.1263,0.1263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,2,True,True,4.4439,4.4439,4.4439,0.1263,0.1263,0.1263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,3,False,False,0.1564,0.3408,0.3476,0.9683,0.9321,0.9276,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,3,True,False,4.1625,4.1625,4.1625,0.1677,0.1677,0.1677,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,3,True,True,4.2288,4.2288,4.2288,0.1601,0.1601,0.1601,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,4,False,False,0.1817,0.3436,0.3512,0.9624,0.9310,0.9288,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,4,True,False,0.2982,0.2982,0.2982,0.9594,0.9594,0.9594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,4,True,True,0.8719,0.8719,0.8719,0.8824,0.8824,0.8824,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,5,False,False,0.1608,0.3371,0.3557,0.9636,0.9336,0.9301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,5,True,False,4.2907,4.2907,4.2907,0.1397,0.1397,0.1397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,5,True,True,4.3336,4.3336,4.3336,0.1404,0.1404,0.1404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,6,False,False,0.1703,0.3330,0.3449,0.9641,0.9332,0.9287,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,6,True,False,4.2060,4.2060,4.2060,0.1639,0.1639,0.1639,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,6,True,True,4.2880,4.2880,4.2880,0.1543,0.1543,0.1543,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,7,False,False,0.2665,0.3862,0.3884,0.9442,0.9236,0.9198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,7,True,False,4.3675,4.3675,4.3675,0.1383,0.1383,0.1383,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,7,True,True,4.3915,4.3915,4.3915,0.1339,0.1339,0.1339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,768,0.003634149117781824,8,False,False,0.1899,0.3925,0.3999,0.9622,0.9267,0.9249,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,768,0.003634149117781824,8,True,False,3.4322,3.4322,3.4322,0.2993,0.2993,0.2993,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,768,0.003634149117781824,8,True,True,3.5864,3.5864,3.5864,0.2637,0.2637,0.2637,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,768,0.004384617376208487,9,False,False,0.1881,0.4044,0.4064,0.9624,0.9254,0.9246,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,768,0.004384617376208487,9,True,False,3.4122,3.4122,3.4122,0.2950,0.2950,0.2950,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,768,0.004384617376208487,9,True,True,3.7258,3.7258,3.7258,0.2363,0.2363,0.2363,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,768,0.005290060730222237,10,False,False,0.2927,0.4780,0.4632,0.9437,0.9173,0.9157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,768,0.005290060730222237,10,True,False,4.3469,4.3469,4.3469,0.1277,0.1277,0.1277,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,768,0.005290060730222237,10,True,True,4.3854,4.3854,4.3854,0.1284,0.1284,0.1284,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,768,0.006382482239223045,11,False,False,0.0908,0.3363,0.3506,0.9807,0.9369,0.9333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,768,0.006382482239223045,11,True,False,3.8140,3.8140,3.8140,0.2723,0.2723,0.2723,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,768,0.006382482239223045,11,True,True,3.9976,3.9976,3.9976,0.2173,0.2173,0.2173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,768,0.007700493739376462,12,False,False,0.2543,0.3938,0.4094,0.9456,0.9238,0.9196,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,768,0.007700493739376462,12,True,False,4.3692,4.3692,4.3692,0.1270,0.1270,0.1270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,768,0.007700493739376462,12,True,True,4.3865,4.3865,4.3865,0.1282,0.1282,0.1282,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,768,0.009290680585958758,13,False,False,0.1117,0.3236,0.3381,0.9773,0.9352,0.9330,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,768,0.009290680585958758,13,True,False,3.4321,3.4321,3.4321,0.3471,0.3471,0.3471,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,768,0.009290680585958758,13,True,True,3.7626,3.7626,3.7626,0.2554,0.2554,0.2554,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,14,False,False,0.1244,0.3216,0.3339,0.9741,0.9374,0.9346,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,14,True,False,4.1320,4.1320,4.1320,0.1762,0.1762,0.1762,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,14,True,True,4.2324,4.2324,4.2324,0.1574,0.1574,0.1574,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,768,0.013524008765720979,15,False,False,0.1337,0.3430,0.3611,0.9727,0.9332,0.9303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,768,0.013524008765720979,15,True,False,2.9852,2.9852,2.9852,0.4316,0.4316,0.4316,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,768,0.013524008765720979,15,True,True,3.3550,3.3550,3.3550,0.3393,0.3393,0.3393,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,326,2,0.02,768,0.01631677785042834,16,False,False,0.1574,0.3561,0.3804,0.9680,0.9313,0.9289,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,326,2,0.02,768,0.01631677785042834,16,True,False,1.5329,1.5329,1.5329,0.7036,0.7036,0.7036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,326,2,0.02,768,0.01631677785042834,16,True,True,2.4224,2.4224,2.4224,0.5168,0.5168,0.5168,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,247,2,0.15,768,0.01968626640460739,17,False,False,0.1168,0.3332,0.3433,0.9759,0.9360,0.9329,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,247,2,0.15,768,0.01968626640460739,17,True,False,3.6174,3.6174,3.6174,0.2891,0.2891,0.2891,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,247,2,0.15,768,0.01968626640460739,17,True,True,3.8135,3.8135,3.8135,0.2399,0.2399,0.2399,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,179,1,0.01,768,0.02375156961170491,18,False,False,0.1917,0.3589,0.3807,0.9616,0.9272,0.9248,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,179,1,0.01,768,0.02375156961170491,18,True,False,3.2159,3.2159,3.2159,0.3342,0.3342,0.3342,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,179,1,0.01,768,0.02375156961170491,18,True,True,3.5145,3.5145,3.5145,0.2733,0.2733,0.2733,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,137,5,0.3,768,0.028656376350145975,19,False,False,0.7840,1.0742,0.9858,0.8551,0.8398,0.8377,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,137,5,0.3,768,0.028656376350145975,19,True,False,4.3769,4.3769,4.3769,0.1263,0.1263,0.1263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,137,5,0.3,768,0.028656376350145975,19,True,True,4.4290,4.4290,4.4290,0.1263,0.1263,0.1263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,786,2,0.24,768,0.03457404790277603,20,False,False,0.1224,0.3189,0.3385,0.9752,0.9360,0.9315,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
