run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.2843,0.4714,0.4681,0.9427,0.9079,0.9120,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,False,4.3149,4.3149,4.3149,0.1325,0.1325,0.1325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,True,4.3145,4.3145,4.3145,0.1323,0.1323,0.1323,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,False,False,0.1181,0.3904,0.3825,0.9779,0.9237,0.9258,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,True,False,3.5542,3.5542,3.5542,0.3082,0.3082,0.3082,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,True,True,3.5865,3.5865,3.5865,0.3092,0.3092,0.3092,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,2,False,False,1.0157,1.1586,1.1251,0.8033,0.7947,0.7897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,2,True,False,4.3963,4.3963,4.3963,0.1263,0.1263,0.1263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,2,True,True,4.3952,4.3952,4.3952,0.1263,0.1263,0.1263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,3,False,False,0.2586,0.4330,0.4317,0.9513,0.9147,0.9139,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,3,True,False,4.1290,4.1290,4.1290,0.1677,0.1677,0.1677,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,3,True,True,4.1279,4.1279,4.1279,0.1704,0.1704,0.1704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,4,False,False,0.1950,0.4130,0.4042,0.9620,0.9196,0.9216,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,4,True,False,0.2395,0.2395,0.2395,0.9693,0.9693,0.9693,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,4,True,True,0.2326,0.2326,0.2326,0.9864,0.9864,0.9864,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,5,False,False,0.2075,0.4145,0.4028,0.9568,0.9199,0.9194,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,5,True,False,4.2106,4.2106,4.2106,0.1611,0.1611,0.1611,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,5,True,True,4.1835,4.1835,4.1835,0.1712,0.1712,0.1712,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,6,False,False,0.2113,0.4017,0.3949,0.9560,0.9202,0.9211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,6,True,False,4.2013,4.2013,4.2013,0.1632,0.1632,0.1632,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,6,True,True,4.1733,4.1733,4.1733,0.1799,0.1799,0.1799,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,7,False,False,0.4062,0.5247,0.5096,0.9186,0.8971,0.8967,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,7,True,False,4.3497,4.3497,4.3497,0.1359,0.1359,0.1359,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,7,True,True,4.3450,4.3450,4.3450,0.1375,0.1375,0.1375,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,768,0.003634149117781824,8,False,False,0.1734,0.4853,0.4673,0.9670,0.9118,0.9129,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,768,0.003634149117781824,8,True,False,3.4864,3.4864,3.4864,0.2700,0.2700,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,768,0.003634149117781824,8,True,True,3.5434,3.5434,3.5434,0.2601,0.2601,0.2601,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,768,0.004384617376208487,9,False,False,0.2537,0.5040,0.4891,0.9502,0.9048,0.9036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,768,0.004384617376208487,9,True,False,3.5572,3.5572,3.5572,0.2600,0.2600,0.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,768,0.004384617376208487,9,True,True,3.5791,3.5791,3.5791,0.2581,0.2581,0.2581,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,768,0.005290060730222237,10,False,False,0.4625,0.6201,0.5898,0.9134,0.8897,0.8915,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,768,0.005290060730222237,10,True,False,4.3489,4.3489,4.3489,0.1278,0.1278,0.1278,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,768,0.005290060730222237,10,True,True,4.3540,4.3540,4.3540,0.1284,0.1284,0.1284,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,768,0.006382482239223045,11,False,False,0.1486,0.4076,0.4023,0.9693,0.9224,0.9221,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,768,0.006382482239223045,11,True,False,3.8472,3.8472,3.8472,0.2526,0.2526,0.2526,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,768,0.006382482239223045,11,True,True,3.8516,3.8516,3.8516,0.2504,0.2504,0.2504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,768,0.007700493739376462,12,False,False,0.3526,0.5059,0.4972,0.9284,0.9024,0.9047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,768,0.007700493739376462,12,True,False,4.3663,4.3663,4.3663,0.1295,0.1295,0.1295,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,768,0.007700493739376462,12,True,True,4.3627,4.3627,4.3627,0.1295,0.1295,0.1295,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,768,0.009290680585958758,13,False,False,0.1645,0.3923,0.3898,0.9676,0.9217,0.9228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,768,0.009290680585958758,13,True,False,3.4653,3.4653,3.4653,0.3355,0.3355,0.3355,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,768,0.009290680585958758,13,True,True,3.5136,3.5136,3.5136,0.3243,0.3243,0.3243,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,14,False,False,0.1852,0.4010,0.3896,0.9625,0.9208,0.9216,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,14,True,False,4.0744,4.0744,4.0744,0.1883,0.1883,0.1883,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,14,True,True,4.1023,4.1023,4.1023,0.1795,0.1795,0.1795,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,768,0.013524008765720979,15,False,False,0.1944,0.4262,0.4179,0.9608,0.9176,0.9197,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,768,0.013524008765720979,15,True,False,3.0191,3.0191,3.0191,0.4162,0.4162,0.4162,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,768,0.013524008765720979,15,True,True,2.9932,2.9932,2.9932,0.4293,0.4293,0.4293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,326,2,0.02,768,0.01631677785042834,16,False,False,0.1948,0.4268,0.4287,0.9619,0.9169,0.9187,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,326,2,0.02,768,0.01631677785042834,16,True,False,1.8475,1.8475,1.8475,0.6370,0.6370,0.6370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,326,2,0.02,768,0.01631677785042834,16,True,True,1.8777,1.8777,1.8777,0.6337,0.6337,0.6337,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,247,2,0.15,768,0.01968626640460739,17,False,False,0.1364,0.3999,0.4006,0.9728,0.9217,0.9229,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,247,2,0.15,768,0.01968626640460739,17,True,False,3.6637,3.6637,3.6637,0.2757,0.2757,0.2757,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,247,2,0.15,768,0.01968626640460739,17,True,True,3.7037,3.7037,3.7037,0.2634,0.2634,0.2634,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,179,1,0.01,768,0.02375156961170491,18,False,False,0.2071,0.4508,0.4433,0.9595,0.9129,0.9152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,179,1,0.01,768,0.02375156961170491,18,True,False,3.3244,3.3244,3.3244,0.3144,0.3144,0.3144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
