run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,0.7439,1.5215,1.5403,0.8399,0.7181,0.7171,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,212,0.0,1,True,False,2.8761,2.8761,2.8761,0.3420,0.3420,0.3420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,212,0.0,1,True,True,,,,,,,,,,,,
1,433,2,0.27,103,0.0009765625,1,False,False,0.7337,1.3715,1.3894,0.8375,0.7263,0.7261,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,103,0.0009765625,1,True,False,2.7386,2.7386,2.7386,0.4739,0.4739,0.4739,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,103,0.0009765625,1,True,True,,,,,,,,,,,,
2,310,5,0.5,113,0.0011782270808598852,2,False,False,1.6980,2.0379,1.9364,0.6425,0.6103,0.6165,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,113,0.0011782270808598852,2,True,False,4.2753,4.2753,4.2753,0.1264,0.1264,0.1264,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,113,0.0011782270808598852,2,True,True,,,,,,,,,,,,
3,300,1,0.44,99,0.001421536311369323,3,False,False,0.7072,1.3310,1.3375,0.8445,0.7333,0.7324,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,99,0.001421536311369323,3,True,False,2.9760,2.9760,2.9760,0.3590,0.3590,0.3590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,99,0.001421536311369323,3,True,True,,,,,,,,,,,,
4,1009,2,0.1,148,0.0017150900003645502,4,False,False,0.8128,1.5394,1.5398,0.8275,0.7003,0.7030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,148,0.0017150900003645502,4,True,False,1.1968,1.1968,1.1968,0.7024,0.7024,0.7024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,148,0.0017150900003645502,4,True,True,,,,,,,,,,,,
5,657,3,0.5,165,0.0020692638561704995,5,False,False,0.8473,1.3534,1.3507,0.8086,0.7272,0.7265,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,165,0.0020692638561704995,5,True,False,3.4093,3.4093,3.4093,0.3175,0.3175,0.3175,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,165,0.0020692638561704995,5,True,True,,,,,,,,,,,,
6,455,2,0.49,60,0.0024965762178914648,6,False,False,0.8029,1.3393,1.3285,0.8169,0.7267,0.7270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,60,0.0024965762178914648,6,True,False,4.4695,4.4695,4.4695,0.1264,0.1264,0.1264,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,60,0.0024965762178914648,6,True,True,,,,,,,,,,,,
7,103,1,0.44,84,0.0030121305183748843,7,False,False,0.8186,1.3540,1.3656,0.8196,0.7278,0.7271,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,84,0.0030121305183748843,7,True,False,3.0888,3.0888,3.0888,0.3321,0.3321,0.3321,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,84,0.0030121305183748843,7,True,True,,,,,,,,,,,,
8,203,4,0.05,238,0.003634149117781824,8,False,False,0.9070,1.6214,1.6471,0.8031,0.6944,0.6938,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,238,0.003634149117781824,8,True,False,1.9337,1.9337,1.9337,0.6044,0.6044,0.6044,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,238,0.003634149117781824,8,True,True,,,,,,,,,,,,
9,150,4,0.02,122,0.004384617376208487,9,False,False,1.1151,1.7005,1.7077,0.7621,0.6784,0.6758,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,122,0.004384617376208487,9,True,False,2.0245,2.0245,2.0245,0.5811,0.5811,0.5811,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
