run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.2574,0.4437,0.4453,0.9488,0.9145,0.9122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,False,4.2759,4.2759,4.2759,0.1365,0.1365,0.1365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,True,4.2828,4.2828,4.2828,0.1366,0.1366,0.1366,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,False,False,0.1743,0.3757,0.3793,0.9649,0.9246,0.9230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,True,False,3.2262,3.2262,3.2262,0.4035,0.4035,0.4035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,True,True,3.3732,3.3732,3.3732,0.3577,0.3577,0.3577,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,2,False,False,0.9679,1.2323,1.1074,0.8237,0.8148,0.8099,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,2,True,False,4.3841,4.3841,4.3841,0.1262,0.1262,0.1262,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,2,True,True,4.3974,4.3974,4.3974,0.1263,0.1263,0.1263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,3,False,False,0.1921,0.3970,0.3991,0.9628,0.9197,0.9174,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,3,True,False,4.0782,4.0782,4.0782,0.1716,0.1716,0.1716,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,3,True,True,4.0667,4.0667,4.0667,0.1814,0.1814,0.1814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,4,False,False,0.1488,0.3935,0.4009,0.9708,0.9243,0.9214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,4,True,False,0.1371,0.1371,0.1371,0.9746,0.9746,0.9746,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,4,True,True,0.0776,0.0776,0.0776,0.9976,0.9976,0.9976,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,5,False,False,0.2142,0.4096,0.4173,0.9539,0.9199,0.9163,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,5,True,False,4.1651,4.1651,4.1651,0.1547,0.1547,0.1547,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,5,True,True,4.1540,4.1540,4.1540,0.1693,0.1693,0.1693,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,6,False,False,0.2014,0.3937,0.3966,0.9556,0.9212,0.9185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,6,True,False,4.0933,4.0933,4.0933,0.1863,0.1863,0.1863,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,6,True,True,4.1330,4.1330,4.1330,0.1765,0.1765,0.1765,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,7,False,False,0.3573,0.4765,0.4714,0.9280,0.9059,0.9042,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
