run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,3.6198,3.6223,3.6104,0.2123,0.2186,0.2176,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
1,433,2,0.27,768,0.0009765625,1,False,False,3.6574,3.6589,3.6486,0.2120,0.2184,0.2171,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
2,310,5,0.5,768,0.0011782270808598852,2,False,False,2.2098,2.2486,2.2453,0.5300,0.5337,0.5304,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
3,300,1,0.44,768,0.001421536311369323,3,False,False,1.2918,1.3775,1.3406,0.7353,0.7243,0.7279,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
4,1009,2,0.1,768,0.0017150900003645502,4,False,False,0.8268,0.9311,0.9001,0.8360,0.8202,0.8222,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
5,657,3,0.5,768,0.0020692638561704995,5,False,False,0.8630,0.9332,0.8967,0.8239,0.8159,0.8169,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
6,455,2,0.49,768,0.0024965762178914648,6,False,False,0.7227,0.7964,0.7649,0.8533,0.8408,0.8439,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
7,103,1,0.44,768,0.0030121305183748843,7,False,False,0.6118,0.6854,0.6597,0.8782,0.8660,0.8666,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
8,203,4,0.05,768,0.003634149117781824,8,False,False,0.3991,0.5338,0.5303,0.9203,0.8966,0.8963,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
9,150,4,0.02,768,0.004384617376208487,9,False,False,0.3649,0.5209,0.5072,0.9274,0.8990,0.9021,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
10,72,3,0.23,768,0.005290060730222237,10,False,False,0.3988,0.4990,0.4969,0.9194,0.9028,0.9038,0.0000,0.0000,0.0000,10.0000,10.0000,10.0000
11,467,3,0.31,768,0.006382482239223045,11,False,False,0.3999,0.4931,0.4887,0.9196,0.9036,0.9025,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
12,377,0,0.37,768,0.007700493739376462,12,False,False,0.3982,0.4888,0.4818,0.9191,0.9043,0.9026,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
13,436,2,0.25,768,0.009290680585958758,13,False,False,0.3430,0.4507,0.4485,0.9301,0.9135,0.9125,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,14,False,False,0.3804,0.4664,0.4650,0.9223,0.9078,0.9055,0.0000,0.0000,0.0000,14.0000,14.0000,14.0000
15,326,3,0.09,768,0.013524008765720979,15,False,False,0.2893,0.4245,0.4272,0.9416,0.9175,0.9152,0.0000,0.0000,0.0000,15.0000,15.0000,15.0000
16,326,2,0.02,768,0.01631677785042834,16,False,False,0.2505,0.4226,0.4248,0.9501,0.9193,0.9188,0.0000,0.0000,0.0000,16.0000,16.0000,16.0000
17,247,2,0.15,768,0.01968626640460739,17,False,False,0.2674,0.4074,0.4185,0.9451,0.9203,0.9175,0.0000,0.0000,0.0000,17.0000,17.0000,17.0000
18,179,1,0.01,768,0.02375156961170491,18,False,False,0.2737,0.4179,0.4272,0.9453,0.9187,0.9164,0.0000,0.0000,0.0000,18.0000,18.0000,18.0000
19,137,5,0.3,768,0.028656376350145975,19,False,False,0.2953,0.4053,0.4142,0.9397,0.9223,0.9188,0.0000,0.0000,0.0000,19.0000,19.0000,19.0000
20,786,2,0.24,768,0.03457404790277603,20,False,False,0.2734,0.3993,0.4146,0.9434,0.9231,0.9190,0.0000,0.0000,0.0000,20.0000,20.0000,20.0000
21,410,1,0.49,768,0.04171374544281356,21,False,False,0.3483,0.4356,0.4358,0.9278,0.9111,0.9117,0.0000,0.0000,0.0000,21.0000,21.0000,21.0000
22,388,0,0.48,768,0.050327822873414196,22,False,False,0.3359,0.4290,0.4327,0.9308,0.9169,0.9143,0.0000,0.0000,0.0000,22.0000,22.0000,22.0000
23,38,2,0.4,768,0.06072074632210035,23,False,False,0.3076,0.4111,0.4157,0.9368,0.9190,0.9162,0.0000,0.0000,0.0000,23.0000,23.0000,23.0000
24,467,2,0.11,768,0.07325985555120318,24,False,False,0.2502,0.3910,0.4019,0.9490,0.9235,0.9228,0.0000,0.0000,0.0000,24.0000,24.0000,24.0000
25,176,4,0.05,768,0.08838834764831845,25,False,False,0.2440,0.3917,0.4012,0.9506,0.9221,0.9218,0.0000,0.0000,0.0000,25.0000,25.0000,25.0000
26,57,4,0.0,768,0.10664094190766783,26,False,False,0.2331,0.3970,0.4024,0.9530,0.9225,0.9232,0.0000,0.0000,0.0000,26.0000,26.0000,26.0000
27,968,3,0.22,768,0.12866277958043645,27,False,False,0.2369,0.3857,0.3984,0.9506,0.9253,0.9230,0.0000,0.0000,0.0000,27.0000,27.0000,27.0000
28,268,4,0.37,768,0.15523222650918542,28,False,False,0.2743,0.3958,0.4053,0.9422,0.9214,0.9198,0.0000,0.0000,0.0000,28.0000,28.0000,28.0000
29,270,0,0.04,768,0.18728838460958516,29,False,False,0.2230,0.3848,0.4057,0.9549,0.9244,0.9223,0.0000,0.0000,0.0000,29.0000,29.0000,29.0000
30,596,0,0.43,768,0.22596428459777515,30,False,False,0.3015,0.4047,0.4127,0.9375,0.9208,0.9162,0.0000,0.0000,0.0000,30.0000,30.0000,30.0000
31,694,3,0.18,768,0.2726269331663144,31,False,False,0.2286,0.3792,0.4001,0.9525,0.9253,0.9230,0.0000,0.0000,0.0000,31.0000,31.0000,31.0000
32,837,4,0.09,768,0.32892563008340914,32,False,False,0.2319,0.3811,0.3956,0.9526,0.9257,0.9235,0.0000,0.0000,0.0000,32.0000,32.0000,32.0000
33,487,0,0.14,768,0.39685026299204973,33,False,False,0.2258,0.3783,0.3951,0.9527,0.9250,0.9247,0.0000,0.0000,0.0000,33.0000,33.0000,33.0000
34,418,5,0.37,768,0.47880164034928685,34,False,False,0.2604,0.3885,0.4067,0.9454,0.9235,0.9204,0.0000,0.0000,0.0000,34.0000,34.0000,34.0000
35,407,5,0.35000000000000003,768,0.577676348436136,35,False,False,0.2662,0.3883,0.3989,0.9438,0.9236,0.9201,0.0000,0.0000,0.0000,35.0000,35.0000,35.0000
36,657,2,0.11,768,0.6969691317244994,36,False,False,0.2262,0.3751,0.3918,0.9537,0.9257,0.9235,0.0000,0.0000,0.0000,36.0000,36.0000,36.0000
37,442,1,0.41000000000000003,768,0.8408964152537145,37,False,False,0.2759,0.3959,0.4156,0.9419,0.9216,0.9190,0.0000,0.0000,0.0000,37.0000,37.0000,37.0000
38,398,4,0.23,768,1.0145453349375229,38,False,False,0.2391,0.3790,0.3925,0.9498,0.9261,0.9225,0.0000,0.0000,0.0000,38.0000,38.0000,38.0000
39,369,4,0.29,768,1.2240535433046547,39,False,False,0.2432,0.3808,0.3950,0.9489,0.9260,0.9241,0.0000,0.0000,0.0000,39.0000,39.0000,39.0000
40,75,4,0.33,768,1.4768261459394993,40,False,False,0.2541,0.3842,0.4007,0.9463,0.9237,0.9193,0.0000,0.0000,0.0000,40.0000,40.0000,40.0000
41,179,0,0.02,768,1.7817974362806772,41,False,False,0.2392,0.3818,0.3982,0.9519,0.9247,0.9233,0.0000,0.0000,0.0000,41.0000,41.0000,41.0000
42,442,4,0.19,768,2.149746679841392,42,False,False,0.2231,0.3755,0.3918,0.9526,0.9271,0.9249,0.0000,0.0000,0.0000,42.0000,42.0000,42.0000
43,111,1,0.22,768,2.5936791093020193,43,False,False,0.2353,0.3765,0.3869,0.9508,0.9254,0.9234,0.0000,0.0000,0.0000,43.0000,43.0000,43.0000
