run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,3.7372,3.7621,3.7595,0.2123,0.2184,0.2170,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
1,433,2,0.27,768,0.0009765625,1,False,False,3.7958,3.8170,3.8156,0.2123,0.2184,0.2173,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
2,310,5,0.5,768,0.0011782270808598852,2,False,False,2.6998,2.7370,2.7399,0.4193,0.4249,0.4263,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
3,300,1,0.44,768,0.001421536311369323,3,False,False,1.8080,1.8803,1.8461,0.6243,0.6213,0.6222,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
4,1009,2,0.1,768,0.0017150900003645502,4,False,False,1.1315,1.2290,1.1999,0.7745,0.7623,0.7609,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
5,657,3,0.5,768,0.0020692638561704995,5,False,False,1.2860,1.3517,1.3272,0.7417,0.7357,0.7375,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
6,455,2,0.49,768,0.0024965762178914648,6,False,False,1.1099,1.1759,1.1479,0.7773,0.7668,0.7694,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
7,103,1,0.44,768,0.0030121305183748843,7,False,False,0.9450,1.0117,0.9823,0.8149,0.8054,0.8088,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
8,203,4,0.05,768,0.003634149117781824,8,False,False,0.5566,0.6963,0.6683,0.8901,0.8667,0.8734,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
9,150,4,0.02,768,0.004384617376208487,9,False,False,0.4877,0.6588,0.6250,0.9035,0.8750,0.8829,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
10,72,3,0.23,768,0.005290060730222237,10,False,False,0.5759,0.6751,0.6519,0.8853,0.8685,0.8728,0.0000,0.0000,0.0000,10.0000,10.0000,10.0000
11,467,3,0.31,768,0.006382482239223045,11,False,False,0.5832,0.6740,0.6537,0.8845,0.8692,0.8718,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
12,377,0,0.37,768,0.007700493739376462,12,False,False,0.5872,0.6735,0.6547,0.8837,0.8691,0.8705,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
13,436,2,0.25,768,0.009290680585958758,13,False,False,0.4846,0.5923,0.5760,0.9030,0.8858,0.8866,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,14,False,False,0.5553,0.6440,0.6218,0.8900,0.8751,0.8778,0.0000,0.0000,0.0000,14.0000,14.0000,14.0000
15,326,3,0.09,768,0.013524008765720979,15,False,False,0.3604,0.5231,0.5115,0.9272,0.8987,0.9005,0.0000,0.0000,0.0000,15.0000,15.0000,15.0000
16,326,2,0.02,768,0.01631677785042834,16,False,False,0.3336,0.5146,0.5080,0.9336,0.9010,0.9017,0.0000,0.0000,0.0000,16.0000,16.0000,16.0000
