run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,300,0.0,1,False,False,4.0530,4.0665,4.0570,0.1237,0.1331,0.1342,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
1,433,2,0.27,300,0.0009765625,1,False,False,4.0830,4.0921,4.0855,0.1229,0.1324,0.1333,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
2,310,5,0.5,300,0.0011782270808598852,2,False,False,3.1331,3.1417,3.1189,0.3716,0.3754,0.3744,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
3,300,1,0.44,300,0.001421536311369323,3,False,False,2.3958,2.4205,2.3993,0.5268,0.5288,0.5345,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
4,1009,2,0.1,300,0.0017150900003645502,4,False,False,1.8257,1.8845,1.8665,0.6298,0.6319,0.6360,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
5,657,3,0.5,300,0.0020692638561704995,5,False,False,2.0309,2.0660,2.0351,0.6000,0.6025,0.6079,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
6,455,2,0.49,300,0.0024965762178914648,6,False,False,1.8893,1.9312,1.9048,0.6296,0.6301,0.6353,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
7,103,1,0.44,300,0.0030121305183748843,7,False,False,1.7513,1.8039,1.7685,0.6510,0.6533,0.6583,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
8,203,4,0.05,300,0.003634149117781824,8,False,False,1.3694,1.4604,1.4463,0.7216,0.7141,0.7131,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
9,150,4,0.02,300,0.004384617376208487,9,False,False,1.2868,1.3946,1.3748,0.7352,0.7233,0.7270,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
10,72,3,0.23,300,0.005290060730222237,10,False,False,1.4188,1.4978,1.4611,0.7161,0.7113,0.7137,0.0000,0.0000,0.0000,10.0000,10.0000,10.0000
11,467,3,0.31,300,0.006382482239223045,11,False,False,1.4477,1.5128,1.4735,0.7126,0.7085,0.7155,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
12,377,0,0.37,300,0.007700493739376462,12,False,False,1.4539,1.5156,1.4783,0.7114,0.7081,0.7126,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
13,436,2,0.25,300,0.009290680585958758,13,False,False,1.3431,1.4264,1.3901,0.7318,0.7251,0.7287,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
14,382,2,0.41000000000000003,300,0.011209248221179687,14,False,False,1.4321,1.4963,1.4564,0.7170,0.7149,0.7183,0.0000,0.0000,0.0000,14.0000,14.0000,14.0000
15,326,3,0.09,300,0.013524008765720979,15,False,False,1.1986,1.3079,1.2791,0.7536,0.7402,0.7457,0.0000,0.0000,0.0000,15.0000,15.0000,15.0000
