run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,3.9553,3.9498,3.9742,0.1996,0.2056,0.2057,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
1,433,2,0.27,103,0.0009765625,1,False,False,4.4024,4.3882,4.3880,0.1916,0.1992,0.1998,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
2,310,5,0.5,113,0.0011782270808598852,2,False,False,3.6869,3.7171,3.7131,0.3122,0.3108,0.3143,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
3,300,1,0.44,99,0.001421536311369323,3,False,False,3.3897,3.4181,3.4309,0.3621,0.3600,0.3577,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
4,1009,2,0.1,148,0.0017150900003645502,4,False,False,2.8888,2.9073,2.9351,0.4616,0.4612,0.4581,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
5,657,3,0.5,165,0.0020692638561704995,5,False,False,2.9248,2.9474,2.9678,0.4521,0.4514,0.4511,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
6,455,2,0.49,60,0.0024965762178914648,6,False,False,3.2905,3.3120,3.3317,0.3819,0.3858,0.3830,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
7,103,1,0.44,84,0.0030121305183748843,7,False,False,3.0610,3.1027,3.1119,0.4241,0.4179,0.4170,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
8,203,4,0.05,238,0.003634149117781824,8,False,False,2.3775,2.4184,2.4402,0.5441,0.5421,0.5415,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
9,150,4,0.02,122,0.004384617376208487,9,False,False,2.6073,2.6270,2.6559,0.5152,0.5145,0.5114,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
10,72,3,0.23,144,0.005290060730222237,10,False,False,2.5376,2.5723,2.5824,0.5131,0.5123,0.5090,0.0000,0.0000,0.0000,10.0000,10.0000,10.0000
11,467,3,0.31,79,0.006382482239223045,11,False,False,2.8986,2.9342,2.9536,0.4624,0.4612,0.4586,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
12,377,0,0.37,159,0.007700493739376462,12,False,False,2.5389,2.5774,2.5924,0.5154,0.5164,0.5163,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
13,436,2,0.25,154,0.009290680585958758,13,False,False,2.4457,2.4745,2.5077,0.5313,0.5340,0.5289,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,14,False,False,2.5284,2.5678,2.5811,0.5173,0.5182,0.5177,0.0000,0.0000,0.0000,14.0000,14.0000,14.0000
15,326,3,0.09,115,0.013524008765720979,15,False,False,2.5382,2.5830,2.5958,0.5220,0.5211,0.5204,0.0000,0.0000,0.0000,15.0000,15.0000,15.0000
16,326,2,0.02,124,0.01631677785042834,16,False,False,2.4486,2.5128,2.5306,0.5348,0.5296,0.5273,0.0000,0.0000,0.0000,16.0000,16.0000,16.0000
17,247,2,0.15,240,0.01968626640460739,17,False,False,2.1561,2.2411,2.2606,0.5749,0.5709,0.5694,0.0000,0.0000,0.0000,17.0000,17.0000,17.0000
18,179,1,0.01,50,0.02375156961170491,18,False,False,2.9333,2.9634,2.9990,0.4732,0.4741,0.4684,0.0000,0.0000,0.0000,18.0000,18.0000,18.0000
19,137,5,0.3,235,0.028656376350145975,19,False,False,2.1971,2.2767,2.2975,0.5678,0.5601,0.5609,0.0000,0.0000,0.0000,19.0000,19.0000,19.0000
20,786,2,0.24,144,0.03457404790277603,20,False,False,2.3762,2.4372,2.4448,0.5410,0.5376,0.5373,0.0000,0.0000,0.0000,20.0000,20.0000,20.0000
21,410,1,0.49,188,0.04171374544281356,21,False,False,2.4079,2.4675,2.4758,0.5364,0.5303,0.5336,0.0000,0.0000,0.0000,21.0000,21.0000,21.0000
22,388,0,0.48,59,0.050327822873414196,22,False,False,3.0035,3.0425,3.0645,0.4396,0.4336,0.4374,0.0000,0.0000,0.0000,22.0000,22.0000,22.0000
