run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,3.7063,3.7263,3.7108,0.2126,0.2186,0.2176,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
1,433,2,0.27,768,0.0009765625,1,False,False,3.7570,3.7671,3.7506,0.2126,0.2187,0.2177,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
2,310,5,0.5,768,0.0011782270808598852,2,False,False,2.5330,2.5670,2.5711,0.4765,0.4779,0.4787,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
3,300,1,0.44,768,0.001421536311369323,3,False,False,1.7646,1.8248,1.8117,0.6433,0.6427,0.6424,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
4,1009,2,0.1,768,0.0017150900003645502,4,False,False,1.0425,1.1477,1.1180,0.7936,0.7789,0.7806,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
5,657,3,0.5,768,0.0020692638561704995,5,False,False,1.1709,1.2399,1.2065,0.7674,0.7617,0.7642,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
6,455,2,0.49,768,0.0024965762178914648,6,False,False,1.0090,1.0939,1.0539,0.8043,0.7915,0.7949,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
7,103,1,0.44,768,0.0030121305183748843,7,False,False,0.8461,0.9301,0.8948,0.8350,0.8220,0.8237,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
8,203,4,0.05,768,0.003634149117781824,8,False,False,0.5246,0.6833,0.6576,0.8978,0.8720,0.8731,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
9,150,4,0.02,768,0.004384617376208487,9,False,False,0.4674,0.6369,0.6154,0.9075,0.8799,0.8815,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
10,72,3,0.23,768,0.005290060730222237,10,False,False,0.5073,0.6234,0.6058,0.8996,0.8814,0.8805,0.0000,0.0000,0.0000,10.0000,10.0000,10.0000
11,467,3,0.31,768,0.006382482239223045,11,False,False,0.5152,0.6248,0.5955,0.8982,0.8801,0.8811,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
12,377,0,0.37,768,0.007700493739376462,12,False,False,0.5112,0.6160,0.5867,0.8989,0.8806,0.8837,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
13,436,2,0.25,768,0.009290680585958758,13,False,False,0.4231,0.5493,0.5265,0.9156,0.8958,0.8956,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,14,False,False,0.4833,0.5863,0.5592,0.9042,0.8875,0.8886,0.0000,0.0000,0.0000,14.0000,14.0000,14.0000
15,326,3,0.09,768,0.013524008765720979,15,False,False,0.3479,0.5114,0.4983,0.9305,0.9028,0.9022,0.0000,0.0000,0.0000,15.0000,15.0000,15.0000
16,326,2,0.02,768,0.01631677785042834,16,False,False,0.3321,0.5031,0.4912,0.9341,0.9032,0.9044,0.0000,0.0000,0.0000,16.0000,16.0000,16.0000
17,247,2,0.15,768,0.01968626640460739,17,False,False,0.3288,0.4871,0.4817,0.9335,0.9072,0.9066,0.0000,0.0000,0.0000,17.0000,17.0000,17.0000
18,179,1,0.01,768,0.02375156961170491,18,False,False,0.3082,0.4871,0.4835,0.9390,0.9060,0.9046,0.0000,0.0000,0.0000,18.0000,18.0000,18.0000
19,137,5,0.3,768,0.028656376350145975,19,False,False,0.3573,0.4908,0.4776,0.9278,0.9044,0.9060,0.0000,0.0000,0.0000,19.0000,19.0000,19.0000
20,786,2,0.24,768,0.03457404790277603,20,False,False,0.3416,0.4838,0.4781,0.9316,0.9073,0.9060,0.0000,0.0000,0.0000,20.0000,20.0000,20.0000
21,410,1,0.49,768,0.04171374544281356,21,False,False,0.4381,0.5414,0.5281,0.9136,0.8961,0.8971,0.0000,0.0000,0.0000,21.0000,21.0000,21.0000
22,388,0,0.48,768,0.050327822873414196,22,False,False,0.4244,0.5322,0.5173,0.9163,0.8965,0.8995,0.0000,0.0000,0.0000,22.0000,22.0000,22.0000
23,38,2,0.4,768,0.06072074632210035,23,False,False,0.3761,0.4979,0.4838,0.9246,0.9029,0.9047,0.0000,0.0000,0.0000,23.0000,23.0000,23.0000
