run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,300,0.0,1,False,False,0.8349,0.9524,0.9632,0.8296,0.8075,0.8100,2254.6353,2254.6353,2254.6353,44.0000,44.0000,44.0000
1,433,2,0.27,300,0.0009765625,1,False,False,1.2576,1.2808,1.2669,0.7663,0.7622,0.7654,484.4158,484.4158,484.4158,44.0000,44.0000,44.0000
2,310,5,0.5,300,0.0011782270808598852,2,False,False,1.4180,1.4331,1.4179,0.7424,0.7404,0.7452,400.5359,400.5359,400.5359,44.0000,44.0000,44.0000
3,300,1,0.44,300,0.001421536311369323,3,False,False,1.4430,1.4569,1.4421,0.7396,0.7386,0.7438,373.2678,373.2678,373.2678,44.0000,44.0000,44.0000
4,1009,2,0.1,300,0.0017150900003645502,4,False,False,1.3951,1.4116,1.3982,0.7474,0.7459,0.7502,372.6632,372.6632,372.6632,44.0000,44.0000,44.0000
5,657,3,0.5,300,0.0020692638561704995,5,False,False,1.6173,1.6264,1.6123,0.7139,0.7134,0.7179,294.8564,294.8564,294.8564,44.0000,44.0000,44.0000
6,455,2,0.49,300,0.0024965762178914648,6,False,False,1.6991,1.7067,1.6935,0.7009,0.7015,0.7054,262.9660,262.9660,262.9660,44.0000,44.0000,44.0000
7,103,1,0.44,300,0.0030121305183748843,7,False,False,1.7743,1.7811,1.7696,0.6883,0.6883,0.6910,235.4767,235.4767,235.4767,44.0000,44.0000,44.0000
8,203,4,0.05,300,0.003634149117781824,8,False,False,1.7671,1.7743,1.7659,0.6888,0.6870,0.6896,227.5013,227.5013,227.5013,44.0000,44.0000,44.0000
9,150,4,0.02,300,0.004384617376208487,9,False,False,1.8861,1.8926,1.8848,0.6663,0.6645,0.6702,197.7777,197.7777,197.7777,44.0000,44.0000,44.0000
10,72,3,0.23,300,0.005290060730222237,9,False,False,2.0765,2.0823,2.0735,0.6370,0.6357,0.6398,160.8165,160.8165,160.8165,43.0000,43.0000,43.0000
11,467,3,0.31,300,0.006382482239223045,10,False,False,2.2598,2.2654,2.2563,0.6083,0.6086,0.6103,131.6517,131.6517,131.6517,44.0000,44.0000,44.0000
12,377,0,0.37,300,0.007700493739376462,11,False,False,2.4514,2.4561,2.4470,0.5761,0.5747,0.5770,106.5001,106.5001,106.5001,43.0000,43.0000,43.0000
13,436,2,0.25,300,0.009290680585958758,12,False,False,2.6063,2.6095,2.6020,0.5482,0.5462,0.5511,88.2543,88.2543,88.2543,44.0000,44.0000,44.0000
14,382,2,0.41000000000000003,300,0.011209248221179687,13,False,False,2.8390,2.8427,2.8343,0.5015,0.4974,0.5018,67.1726,67.1726,67.1726,44.0000,44.0000,44.0000
15,326,3,0.09,300,0.013524008765720979,14,False,False,2.9602,2.9657,2.9576,0.4633,0.4598,0.4636,56.9359,56.9359,56.9359,42.0000,42.0000,42.0000
16,326,2,0.02,300,0.01631677785042834,15,False,False,3.1437,3.1509,3.1405,0.4188,0.4161,0.4175,44.5867,44.5867,44.5867,41.0000,41.0000,41.0000
17,247,2,0.15,300,0.01968626640460739,16,False,False,3.3190,3.3285,3.3156,0.3938,0.3912,0.3902,34.8534,34.8534,34.8534,42.0000,42.0000,42.0000
18,179,1,0.01,300,0.02375156961170491,17,False,False,3.4737,3.4856,3.4710,0.3709,0.3671,0.3656,27.6832,27.6832,27.6832,41.0000,41.0000,41.0000
19,137,5,0.3,300,0.028656376350145975,18,False,False,3.6890,3.7043,3.6864,0.3272,0.3227,0.3228,19.6019,19.6019,19.6019,40.0000,40.0000,40.0000
20,786,2,0.24,300,0.03457404790277603,18,False,False,3.8563,3.8727,3.8550,0.2603,0.2564,0.2528,14.6083,14.6083,14.6083,40.0000,40.0000,40.0000
21,410,1,0.49,300,0.04171374544281356,19,False,False,3.9672,3.9858,3.9670,0.2551,0.2508,0.2477,11.4036,11.4036,11.4036,40.0000,40.0000,40.0000
22,388,0,0.48,300,0.050327822873414196,20,False,False,4.0226,4.0412,4.0226,0.2544,0.2505,0.2472,10.2026,10.2026,10.2026,40.0000,40.0000,40.0000
23,38,2,0.4,300,0.06072074632210035,21,False,False,4.0830,4.1016,4.0834,0.2542,0.2501,0.2471,9.1011,9.1011,9.1011,38.0000,38.0000,38.0000
24,467,2,0.11,300,0.07325985555120318,22,False,False,4.1463,4.1648,4.1471,0.2530,0.2486,0.2464,8.1363,8.1363,8.1363,38.0000,38.0000,38.0000
25,176,4,0.05,300,0.08838834764831845,23,False,False,4.2363,4.2543,4.2369,0.2416,0.2363,0.2355,7.0213,7.0213,7.0213,37.0000,37.0000,37.0000
26,57,4,0.0,300,0.10664094190766783,24,False,False,4.3561,4.3729,4.3564,0.1759,0.1720,0.1754,5.7934,5.7934,5.7934,36.0000,36.0000,36.0000
27,968,3,0.22,300,0.12866277958043645,25,False,False,4.5369,4.5515,4.5364,0.1585,0.1546,0.1596,4.2701,4.2701,4.2701,37.0000,37.0000,37.0000
28,268,4,0.37,300,0.15523222650918542,26,False,False,4.6844,4.6980,4.6835,0.1585,0.1546,0.1596,3.1803,3.1803,3.1803,37.0000,37.0000,37.0000
29,270,0,0.04,300,0.18728838460958516,27,False,False,4.7761,4.7881,4.7754,0.1585,0.1546,0.1596,2.6434,2.6434,2.6434,36.0000,36.0000,36.0000
30,596,0,0.43,300,0.22596428459777515,27,False,False,4.9032,4.9128,4.9026,0.1585,0.1546,0.1596,2.0273,2.0273,2.0273,38.0000,38.0000,38.0000
31,694,3,0.18,300,0.2726269331663144,28,False,False,5.0927,5.0988,5.0922,0.1585,0.1546,0.1596,1.2680,1.2680,1.2680,36.0000,36.0000,36.0000
32,837,4,0.09,300,0.32892563008340914,29,False,False,5.4362,5.4365,5.4362,0.1585,0.1546,0.1596,0.1370,0.1370,0.1370,43.0000,43.0000,43.0000
33,487,0,0.14,300,0.39685026299204973,30,False,False,5.4491,5.4492,5.4491,0.1585,0.1546,0.1596,0.0970,0.0970,0.0970,43.0000,43.0000,43.0000
34,418,5,0.37,300,0.47880164034928685,31,False,False,5.4588,5.4588,5.4588,0.1585,0.1546,0.1596,0.0583,0.0583,0.0583,37.0000,37.0000,37.0000
35,407,5,0.35000000000000003,300,0.577676348436136,32,False,False,5.4589,5.4589,5.4589,0.1585,0.1546,0.1596,0.0667,0.0667,0.0667,43.0000,43.0000,43.0000
36,657,2,0.11,300,0.6969691317244994,33,False,False,5.4590,5.4590,5.4590,0.1588,0.1547,0.1599,0.0673,0.0673,0.0673,44.0000,44.0000,44.0000
37,442,1,0.41000000000000003,300,0.8408964152537145,34,False,False,5.4591,5.4591,5.4591,0.1608,0.1566,0.1620,0.0670,0.0670,0.0670,44.0000,44.0000,44.0000
38,398,4,0.23,300,1.0145453349375229,35,False,False,5.4592,5.4592,5.4592,0.1585,0.1547,0.1596,0.0667,0.0667,0.0667,43.0000,43.0000,43.0000
39,369,4,0.29,300,1.2240535433046547,36,False,False,5.4592,5.4592,5.4592,0.1897,0.1848,0.1887,0.0550,0.0550,0.0550,37.0000,37.0000,37.0000
40,75,4,0.33,300,1.4768261459394993,36,False,False,5.4592,5.4592,5.4592,0.1969,0.1965,0.1965,0.0669,0.0669,0.0669,43.0000,43.0000,43.0000
41,179,0,0.02,300,1.7817974362806772,37,False,False,5.4592,5.4592,5.4592,0.1025,0.1025,0.0956,0.0548,0.0548,0.0548,36.0000,36.0000,36.0000
42,442,4,0.19,300,2.149746679841392,38,False,False,5.4593,5.4593,5.4593,0.1724,0.1714,0.1713,0.0671,0.0671,0.0671,43.0000,43.0000,43.0000
43,111,1,0.22,300,2.5936791093020193,39,False,False,5.4593,5.4593,5.4593,0.0991,0.1010,0.1011,0.0665,0.0665,0.0665,43.0000,43.0000,43.0000
44,242,1,0.45,300,3.1292855968155457,40,False,False,5.4593,5.4593,5.4593,0.1040,0.0987,0.1038,0.0554,0.0554,0.0554,36.0000,36.0000,36.0000
45,107,3,0.21,300,3.7754972507267723,41,False,False,5.4594,5.4594,5.4594,0.0419,0.0374,0.0391,0.0581,0.0581,0.0581,39.0000,39.0000,39.0000
46,150,2,0.2,300,4.555154539026766,42,False,False,5.4593,5.4593,5.4593,0.0401,0.0381,0.0414,0.0551,0.0551,0.0551,44.0000,44.0000,44.0000
47,38,1,0.2,300,5.495814589832352,43,False,False,5.4594,5.4594,5.4594,0.1250,0.1235,0.1283,0.0560,0.0560,0.0560,37.0000,37.0000,37.0000
48,248,1,0.49,300,6.6307252030723465,44,False,False,5.4594,5.4594,5.4594,0.1016,0.1052,0.1059,0.0546,0.0546,0.0546,37.0000,37.0000,37.0000
49,670,0,0.45,300,8.0,44,False,False,5.4594,5.4594,5.4594,0.0577,0.0538,0.0559,0.0552,0.0552,0.0552,38.0000,38.0000,38.0000
