run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,0.3742,1.6943,1.7000,0.9472,0.6707,0.6715,675.3480,675.3480,675.3480,44.0000,44.0000,44.0000
1,433,2,0.27,103,0.0009765625,1,False,False,0.5052,1.7976,1.7692,0.9211,0.6587,0.6637,334.2650,334.2650,334.2650,44.0000,44.0000,44.0000
2,310,5,0.5,113,0.0011782270808598852,2,False,False,0.4673,1.7537,1.7409,0.9264,0.6641,0.6666,305.7237,305.7237,305.7237,44.0000,44.0000,44.0000
3,300,1,0.44,99,0.001421536311369323,3,False,False,0.5390,1.7957,1.7563,0.9141,0.6605,0.6638,275.6197,275.6197,275.6197,43.0000,43.0000,43.0000
4,1009,2,0.1,148,0.0017150900003645502,4,False,False,0.4393,1.7829,1.7764,0.9394,0.6656,0.6691,283.9251,283.9251,283.9251,43.0000,43.0000,43.0000
5,657,3,0.5,165,0.0020692638561704995,5,False,False,0.4412,1.7584,1.7491,0.9390,0.6689,0.6736,246.8782,246.8782,246.8782,43.0000,43.0000,43.0000
6,455,2,0.49,60,0.0024965762178914648,6,False,False,0.4867,1.8462,1.8131,0.9281,0.6540,0.6616,198.1540,198.1540,198.1540,39.0000,39.0000,39.0000
7,103,1,0.44,84,0.0030121305183748843,7,False,False,0.5686,1.8495,1.8407,0.9148,0.6536,0.6549,184.2717,184.2717,184.2717,40.0000,40.0000,40.0000
8,203,4,0.05,238,0.003634149117781824,8,False,False,0.4943,1.8356,1.8135,0.9359,0.6615,0.6660,177.6445,177.6445,177.6445,43.0000,43.0000,43.0000
9,150,4,0.02,122,0.004384617376208487,9,False,False,0.6104,1.8975,1.8759,0.9140,0.6499,0.6549,154.8575,154.8575,154.8575,33.0000,33.0000,33.0000
10,72,3,0.23,144,0.005290060730222237,9,False,False,0.6327,1.9170,1.8917,0.9122,0.6499,0.6556,134.1894,134.1894,134.1894,35.0000,35.0000,35.0000
11,467,3,0.31,79,0.006382482239223045,10,False,False,0.7596,1.9663,1.9375,0.8851,0.6422,0.6458,117.5816,117.5816,117.5816,28.0000,28.0000,28.0000
12,377,0,0.37,159,0.007700493739376462,11,False,False,0.8983,1.9838,1.9615,0.8680,0.6385,0.6394,106.1850,106.1850,106.1850,36.0000,36.0000,36.0000
13,436,2,0.25,154,0.009290680585958758,12,False,False,0.9026,2.0788,2.0434,0.8653,0.6295,0.6333,89.3033,89.3033,89.3033,32.0000,32.0000,32.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,13,False,False,1.1218,2.1247,2.1141,0.8424,0.6138,0.6184,77.8002,77.8002,77.8002,31.0000,31.0000,31.0000
