run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,2.7951,2.9441,2.9051,0.4432,0.4292,0.4349,1186.0466,1186.0466,1186.0466,44.0000,44.0000,44.0000
1,433,2,0.27,103,0.0009765625,1,False,False,3.2691,3.2842,3.2466,0.3806,0.3776,0.3843,169.0149,169.0149,169.0149,43.0000,43.0000,43.0000
2,310,5,0.5,113,0.0011782270808598852,2,False,False,3.3691,3.3802,3.3481,0.3598,0.3601,0.3632,127.4530,127.4530,127.4530,44.0000,44.0000,44.0000
3,300,1,0.44,99,0.001421536311369323,3,False,False,3.3944,3.3935,3.3531,0.3598,0.3584,0.3677,114.9772,114.9772,114.9772,43.0000,43.0000,43.0000
4,1009,2,0.1,148,0.0017150900003645502,4,False,False,3.2427,3.2568,3.2227,0.3848,0.3824,0.3899,157.5984,157.5984,157.5984,42.0000,42.0000,42.0000
5,657,3,0.5,165,0.0020692638561704995,5,False,False,3.3532,3.3555,3.3261,0.3613,0.3618,0.3629,109.3891,109.3891,109.3891,44.0000,44.0000,44.0000
6,455,2,0.49,60,0.0024965762178914648,6,False,False,3.5957,3.5904,3.5597,0.3086,0.3095,0.3127,64.2161,64.2161,64.2161,41.0000,41.0000,41.0000
7,103,1,0.44,84,0.0030121305183748843,7,False,False,3.5532,3.5511,3.5164,0.3243,0.3260,0.3308,68.7410,68.7410,68.7410,41.0000,41.0000,41.0000
8,203,4,0.05,238,0.003634149117781824,8,False,False,3.3836,3.3864,3.3538,0.3588,0.3637,0.3635,90.5160,90.5160,90.5160,43.0000,43.0000,43.0000
9,150,4,0.02,122,0.004384617376208487,9,False,False,3.4894,3.4884,3.4679,0.3407,0.3430,0.3427,71.5435,71.5435,71.5435,37.0000,37.0000,37.0000
10,72,3,0.23,144,0.005290060730222237,9,False,False,3.5452,3.5519,3.5156,0.3340,0.3331,0.3359,59.2010,59.2010,59.2010,38.0000,38.0000,38.0000
11,467,3,0.31,79,0.006382482239223045,10,False,False,3.6497,3.6476,3.6157,0.2977,0.2980,0.3005,45.3116,45.3116,45.3116,32.0000,32.0000,32.0000
12,377,0,0.37,159,0.007700493739376462,11,False,False,3.6718,3.6743,3.6468,0.3087,0.3108,0.3099,42.5759,42.5759,42.5759,37.0000,37.0000,37.0000
13,436,2,0.25,154,0.009290680585958758,12,False,False,3.7017,3.7065,3.6726,0.2892,0.2899,0.2901,36.3901,36.3901,36.3901,33.0000,33.0000,33.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,13,False,False,3.7753,3.7837,3.7524,0.2834,0.2828,0.2842,30.5569,30.5569,30.5569,32.0000,32.0000,32.0000
15,326,3,0.09,115,0.013524008765720979,14,False,False,3.8394,3.8475,3.8190,0.2669,0.2657,0.2641,25.1606,25.1606,25.1606,25.0000,25.0000,25.0000
16,326,2,0.02,124,0.01631677785042834,15,False,False,3.8616,3.8690,3.8449,0.2724,0.2718,0.2701,22.1185,22.1185,22.1185,26.0000,26.0000,26.0000
17,247,2,0.15,240,0.01968626640460739,16,False,False,3.9033,3.9137,3.8867,0.2713,0.2719,0.2695,20.5013,20.5013,20.5013,37.0000,37.0000,37.0000
18,179,1,0.01,50,0.02375156961170491,17,False,False,3.9918,4.0005,3.9831,0.2490,0.2504,0.2475,16.2447,16.2447,16.2447,17.0000,17.0000,17.0000
19,137,5,0.3,235,0.028656376350145975,18,False,False,4.0592,4.0701,4.0499,0.2337,0.2311,0.2306,14.3820,14.3820,14.3820,34.0000,34.0000,34.0000
20,786,2,0.24,144,0.03457404790277603,18,False,False,4.1236,4.1376,4.1159,0.2142,0.2073,0.2119,12.2461,12.2461,12.2461,20.0000,20.0000,20.0000
21,410,1,0.49,188,0.04171374544281356,19,False,False,4.1824,4.1952,4.1765,0.2145,0.2079,0.2095,10.8080,10.8080,10.8080,25.0000,25.0000,25.0000
22,388,0,0.48,59,0.050327822873414196,20,False,False,4.2842,4.2971,4.2808,0.1980,0.1929,0.1975,8.8102,8.8102,8.8102,14.0000,14.0000,14.0000
23,38,2,0.4,176,0.06072074632210035,21,False,False,4.3128,4.3245,4.3073,0.1822,0.1786,0.1871,8.1261,8.1261,8.1261,21.0000,21.0000,21.0000
24,467,2,0.11,75,0.07325985555120318,22,False,False,4.4446,4.4562,4.4412,0.1626,0.1598,0.1639,6.2696,6.2696,6.2696,12.0000,12.0000,12.0000
25,176,4,0.05,210,0.08838834764831845,23,False,False,4.5532,4.5692,4.5529,0.1585,0.1546,0.1596,4.6274,4.6274,4.6274,27.0000,27.0000,27.0000
26,57,4,0.0,85,0.10664094190766783,24,False,False,4.5999,4.6150,4.5997,0.1585,0.1546,0.1596,4.1315,4.1315,4.1315,11.0000,11.0000,11.0000
27,968,3,0.22,102,0.12866277958043645,25,False,False,4.6574,4.6714,4.6574,0.1585,0.1546,0.1596,3.6362,3.6362,3.6362,12.0000,12.0000,12.0000
28,268,4,0.37,225,0.15523222650918542,26,False,False,4.7364,4.7491,4.7366,0.1585,0.1546,0.1596,3.1049,3.1049,3.1049,29.0000,29.0000,29.0000
29,270,0,0.04,187,0.18728838460958516,27,False,False,4.8321,4.8430,4.8323,0.1585,0.1546,0.1596,2.5289,2.5289,2.5289,26.0000,26.0000,26.0000
30,596,0,0.43,195,0.22596428459777515,27,False,False,4.9738,4.9822,4.9741,0.1585,0.1546,0.1596,1.8446,1.8446,1.8446,26.0000,26.0000,26.0000
31,694,3,0.18,230,0.2726269331663144,28,False,False,5.2050,5.2092,5.2050,0.1585,0.1546,0.1596,0.9264,0.9264,0.9264,28.0000,28.0000,28.0000
32,837,4,0.09,187,0.32892563008340914,29,False,False,5.4386,5.4389,5.4386,0.1585,0.1546,0.1596,0.1293,0.1293,0.1293,37.0000,37.0000,37.0000
33,487,0,0.14,112,0.39685026299204973,30,False,False,5.4505,5.4507,5.4505,0.1585,0.1546,0.1596,0.1030,0.1030,0.1030,31.0000,31.0000,31.0000
34,418,5,0.37,188,0.47880164034928685,31,False,False,5.4575,5.4576,5.4575,0.1585,0.1546,0.1596,0.0692,0.0692,0.0692,38.0000,38.0000,38.0000
35,407,5,0.35000000000000003,94,0.577676348436136,32,False,False,5.4527,5.4528,5.4527,0.1585,0.1546,0.1596,0.1125,0.1125,0.1125,34.0000,34.0000,34.0000
36,657,2,0.11,182,0.6969691317244994,33,False,False,5.4588,5.4588,5.4588,0.1585,0.1546,0.1596,0.0644,0.0644,0.0644,37.0000,37.0000,37.0000
37,442,1,0.41000000000000003,215,0.8408964152537145,34,False,False,5.4591,5.4591,5.4591,0.1585,0.1546,0.1596,0.0630,0.0630,0.0630,39.0000,39.0000,39.0000
38,398,4,0.23,292,1.0145453349375229,35,False,False,5.4592,5.4592,5.4592,0.1585,0.1546,0.1596,0.0663,0.0663,0.0663,43.0000,43.0000,43.0000
39,369,4,0.29,98,1.2240535433046547,36,False,False,5.4588,5.4588,5.4588,0.1585,0.1546,0.1596,0.0909,0.0909,0.0909,33.0000,33.0000,33.0000
40,75,4,0.33,67,1.4768261459394993,36,False,False,5.4593,5.4593,5.4593,0.0240,0.0233,0.0221,0.1607,0.1607,0.1607,36.0000,36.0000,36.0000
