run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,300,0.0,1,False,False,0.8728,1.0000,1.0033,0.8247,0.8021,0.8046,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,300,0.0,1,True,False,4.2668,4.2668,4.2668,0.1656,0.1656,0.1656,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,300,0.0,1,True,True,,,,,,,,,,,,
1,433,2,0.27,300,0.0009765625,1,False,False,0.2746,0.6428,0.6732,0.9422,0.8728,0.8675,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,300,0.0009765625,1,True,False,3.4250,3.4250,3.4250,0.3172,0.3172,0.3172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,300,0.0009765625,1,True,True,,,,,,,,,,,,
2,310,5,0.5,300,0.0011782270808598852,2,False,False,1.3685,1.4424,1.4334,0.7472,0.7360,0.7439,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,300,0.0011782270808598852,2,True,False,4.3087,4.3087,4.3087,0.1642,0.1642,0.1642,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,300,0.0011782270808598852,2,True,True,,,,,,,,,,,,
3,300,1,0.44,300,0.001421536311369323,3,False,False,0.5912,0.7431,0.7609,0.8813,0.8499,0.8497,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,300,0.001421536311369323,3,True,False,4.1198,4.1198,4.1198,0.1710,0.1710,0.1710,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,300,0.001421536311369323,3,True,True,,,,,,,,,,,,
4,1009,2,0.1,300,0.0017150900003645502,4,False,False,0.3283,0.6908,0.7206,0.9347,0.8634,0.8605,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,300,0.0017150900003645502,4,True,False,0.8407,0.8407,0.8407,0.8243,0.8243,0.8243,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,300,0.0017150900003645502,4,True,True,,,,,,,,,,,,
5,657,3,0.5,300,0.0020692638561704995,5,False,False,0.5159,0.6695,0.6903,0.8911,0.8607,0.8612,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,300,0.0020692638561704995,5,True,False,4.1115,4.1115,4.1115,0.1734,0.1734,0.1734,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,300,0.0020692638561704995,5,True,True,,,,,,,,,,,,
6,455,2,0.49,300,0.0024965762178914648,6,False,False,0.5184,0.6652,0.6845,0.8893,0.8618,0.8614,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,300,0.0024965762178914648,6,True,False,4.0867,4.0867,4.0867,0.1712,0.1712,0.1712,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,300,0.0024965762178914648,6,True,True,,,,,,,,,,,,
7,103,1,0.44,300,0.0030121305183748843,7,False,False,0.8550,0.9275,0.9282,0.8277,0.8137,0.8147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
