run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,2.7971,2.9460,2.9087,0.4421,0.4268,0.4347,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,212,0.0,1,True,False,4.2942,4.2942,4.2942,0.1644,0.1644,0.1644,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,212,0.0,1,True,True,,,,,,,,,,,,
1,433,2,0.27,103,0.0009765625,1,False,False,1.7786,2.1302,2.0942,0.6434,0.5671,0.5773,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,103,0.0009765625,1,True,False,3.9105,3.9105,3.9105,0.1872,0.1872,0.1872,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,103,0.0009765625,1,True,True,,,,,,,,,,,,
2,310,5,0.5,113,0.0011782270808598852,2,False,False,3.0467,3.0527,3.0294,0.3956,0.3976,0.3992,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,113,0.0011782270808598852,2,True,False,4.3574,4.3574,4.3574,0.1642,0.1642,0.1642,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,113,0.0011782270808598852,2,True,True,,,,,,,,,,,,
3,300,1,0.44,99,0.001421536311369323,3,False,False,2.4993,2.5779,2.5289,0.5113,0.4973,0.5055,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,99,0.001421536311369323,3,True,False,4.2567,4.2567,4.2567,0.1642,0.1642,0.1642,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,99,0.001421536311369323,3,True,True,,,,,,,,,,,,
4,1009,2,0.1,148,0.0017150900003645502,4,False,False,1.3065,2.2657,2.2259,0.7456,0.5636,0.5706,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,148,0.0017150900003645502,4,True,False,0.7929,0.7929,0.7929,0.8582,0.8582,0.8582,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,148,0.0017150900003645502,4,True,True,,,,,,,,,,,,
5,657,3,0.5,165,0.0020692638561704995,5,False,False,2.2495,2.3534,2.3104,0.5367,0.5185,0.5283,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,165,0.0020692638561704995,5,True,False,4.3646,4.3646,4.3646,0.1642,0.1642,0.1642,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,165,0.0020692638561704995,5,True,True,,,,,,,,,,,,
