run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,3.5506,3.5759,3.5389,0.2562,0.2519,0.2508,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
1,433,2,0.27,768,0.0009765625,1,False,False,3.6180,3.6334,3.6001,0.2557,0.2515,0.2506,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
2,310,5,0.5,768,0.0011782270808598852,2,False,False,2.8097,2.8332,2.8039,0.4007,0.3966,0.3946,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
3,300,1,0.44,768,0.001421536311369323,3,False,False,2.1447,2.1751,2.1610,0.5537,0.5464,0.5502,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
4,1009,2,0.1,768,0.0017150900003645502,4,False,False,1.4061,1.4674,1.4423,0.7119,0.7026,0.7054,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
5,657,3,0.5,768,0.0020692638561704995,5,False,False,1.5685,1.5951,1.5846,0.6850,0.6775,0.6855,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
6,455,2,0.49,768,0.0024965762178914648,6,False,False,1.3940,1.4225,1.4057,0.7178,0.7135,0.7158,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
7,103,1,0.44,768,0.0030121305183748843,7,False,False,1.2190,1.2543,1.2380,0.7556,0.7485,0.7552,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
8,203,4,0.05,768,0.003634149117781824,8,False,False,0.8086,0.9148,0.9049,0.8365,0.8173,0.8207,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
9,150,4,0.02,768,0.004384617376208487,9,False,False,0.7138,0.8511,0.8401,0.8538,0.8315,0.8350,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
10,72,3,0.23,768,0.005290060730222237,9,False,False,0.8850,0.9474,0.9408,0.8190,0.8079,0.8101,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
11,467,3,0.31,768,0.006382482239223045,10,False,False,0.8896,0.9434,0.9352,0.8197,0.8080,0.8118,0.0000,0.0000,0.0000,10.0000,10.0000,10.0000
12,377,0,0.37,768,0.007700493739376462,11,False,False,0.8905,0.9442,0.9411,0.8219,0.8094,0.8128,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
13,436,2,0.25,768,0.009290680585958758,12,False,False,0.7628,0.8418,0.8356,0.8450,0.8293,0.8355,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,13,False,False,0.8502,0.9074,0.9003,0.8295,0.8183,0.8202,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
15,326,3,0.09,768,0.013524008765720979,14,False,False,0.5923,0.7277,0.7205,0.8772,0.8512,0.8560,0.0000,0.0000,0.0000,14.0000,14.0000,14.0000
16,326,2,0.02,768,0.01631677785042834,15,False,False,0.5247,0.7210,0.7104,0.8908,0.8586,0.8591,0.0000,0.0000,0.0000,15.0000,15.0000,15.0000
17,247,2,0.15,768,0.01968626640460739,16,False,False,0.6029,0.7231,0.7090,0.8751,0.8518,0.8560,0.0000,0.0000,0.0000,16.0000,16.0000,16.0000
18,179,1,0.01,768,0.02375156961170491,17,False,False,0.4987,0.7018,0.6976,0.8964,0.8598,0.8613,0.0000,0.0000,0.0000,17.0000,17.0000,17.0000
19,137,5,0.3,768,0.028656376350145975,18,False,False,0.6671,0.7539,0.7554,0.8640,0.8449,0.8467,0.0000,0.0000,0.0000,18.0000,18.0000,18.0000
20,786,2,0.24,768,0.03457404790277603,18,False,False,0.6287,0.7281,0.7299,0.8714,0.8502,0.8527,0.0000,0.0000,0.0000,18.0000,18.0000,18.0000
21,410,1,0.49,768,0.04171374544281356,19,False,False,0.7876,0.8478,0.8517,0.8419,0.8287,0.8298,0.0000,0.0000,0.0000,19.0000,19.0000,19.0000
22,388,0,0.48,768,0.050327822873414196,20,False,False,0.7692,0.8353,0.8323,0.8458,0.8320,0.8343,0.0000,0.0000,0.0000,20.0000,20.0000,20.0000
23,38,2,0.4,768,0.06072074632210035,21,False,False,0.6862,0.7692,0.7670,0.8602,0.8431,0.8464,0.0000,0.0000,0.0000,21.0000,21.0000,21.0000
24,467,2,0.11,768,0.07325985555120318,22,False,False,0.4825,0.6589,0.6522,0.8979,0.8657,0.8687,0.0000,0.0000,0.0000,22.0000,22.0000,22.0000
25,176,4,0.05,768,0.08838834764831845,23,False,False,0.4506,0.6550,0.6497,0.9052,0.8672,0.8702,0.0000,0.0000,0.0000,23.0000,23.0000,23.0000
