run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,3.4291,4.0080,3.9564,0.2310,0.2229,0.2332,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
1,433,2,0.27,103,0.0009765625,1,False,False,3.0372,3.7080,3.6786,0.2321,0.2258,0.2365,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
2,310,5,0.5,113,0.0011782270808598852,2,False,False,1.9284,2.7176,2.6952,0.5551,0.4771,0.4848,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
3,300,1,0.44,99,0.001421536311369323,3,False,False,1.5121,2.4651,2.4107,0.6922,0.5539,0.5639,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
4,1009,2,0.1,148,0.0017150900003645502,4,False,False,1.7093,2.8094,2.7686,0.6628,0.5335,0.5444,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
5,657,3,0.5,165,0.0020692638561704995,5,False,False,1.0145,2.1258,2.0699,0.8135,0.6097,0.6180,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
6,455,2,0.49,60,0.0024965762178914648,6,False,False,1.0037,2.0320,2.0084,0.8137,0.6201,0.6267,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
7,103,1,0.44,84,0.0030121305183748843,7,False,False,1.0338,2.0846,2.0655,0.8020,0.6091,0.6147,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
8,203,4,0.05,238,0.003634149117781824,8,False,False,1.4594,2.5544,2.5301,0.7202,0.5689,0.5770,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
9,150,4,0.02,122,0.004384617376208487,9,False,False,1.5313,2.5240,2.4983,0.6940,0.5597,0.5700,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
10,72,3,0.23,144,0.005290060730222237,9,False,False,1.2041,2.2441,2.2062,0.7640,0.5941,0.6015,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
11,467,3,0.31,79,0.006382482239223045,10,False,False,0.9785,2.1447,2.1191,0.8066,0.6111,0.6202,0.0000,0.0000,0.0000,10.0000,10.0000,10.0000
12,377,0,0.37,159,0.007700493739376462,11,False,False,0.8815,2.0676,2.0477,0.8293,0.6213,0.6299,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
13,436,2,0.25,154,0.009290680585958758,12,False,False,1.1380,2.1817,2.1329,0.7696,0.6029,0.6117,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,13,False,False,0.8472,2.0063,1.9720,0.8366,0.6302,0.6359,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
15,326,3,0.09,115,0.013524008765720979,14,False,False,1.4057,2.3645,2.3064,0.7191,0.5745,0.5860,0.0000,0.0000,0.0000,14.0000,14.0000,14.0000
16,326,2,0.02,124,0.01631677785042834,15,False,False,1.4420,2.4190,2.3618,0.7132,0.5727,0.5789,0.0000,0.0000,0.0000,15.0000,15.0000,15.0000
17,247,2,0.15,240,0.01968626640460739,16,False,False,1.1620,2.2415,2.1851,0.7701,0.5961,0.6060,0.0000,0.0000,0.0000,16.0000,16.0000,16.0000
18,179,1,0.01,50,0.02375156961170491,17,False,False,1.6168,2.4700,2.3955,0.6742,0.5550,0.5690,0.0000,0.0000,0.0000,17.0000,17.0000,17.0000
19,137,5,0.3,235,0.028656376350145975,18,False,False,0.8879,2.0871,2.0213,0.8260,0.6245,0.6282,0.0000,0.0000,0.0000,18.0000,18.0000,18.0000
20,786,2,0.24,144,0.03457404790277603,18,False,False,1.0639,2.1477,2.1315,0.7874,0.6058,0.6097,0.0000,0.0000,0.0000,18.0000,18.0000,18.0000
21,410,1,0.49,188,0.04171374544281356,19,False,False,0.6766,1.8757,1.8627,0.8733,0.6458,0.6498,0.0000,0.0000,0.0000,19.0000,19.0000,19.0000
22,388,0,0.48,59,0.050327822873414196,20,False,False,0.8636,1.9385,1.8985,0.8331,0.6292,0.6388,0.0000,0.0000,0.0000,20.0000,20.0000,20.0000
23,38,2,0.4,176,0.06072074632210035,21,False,False,0.8058,1.9696,1.9387,0.8448,0.6362,0.6404,0.0000,0.0000,0.0000,21.0000,21.0000,21.0000
24,467,2,0.11,75,0.07325985555120318,22,False,False,1.3716,2.3021,2.2446,0.7201,0.5811,0.5905,0.0000,0.0000,0.0000,22.0000,22.0000,22.0000
25,176,4,0.05,210,0.08838834764831845,23,False,False,1.4134,2.3672,2.3275,0.7163,0.5735,0.5831,0.0000,0.0000,0.0000,23.0000,23.0000,23.0000
26,57,4,0.0,85,0.10664094190766783,24,False,False,1.5576,2.4433,2.3532,0.6881,0.5634,0.5715,0.0000,0.0000,0.0000,24.0000,24.0000,24.0000
27,968,3,0.22,102,0.12866277958043645,25,False,False,1.0075,2.1938,2.1313,0.7967,0.6082,0.6182,0.0000,0.0000,0.0000,25.0000,25.0000,25.0000
28,268,4,0.37,225,0.15523222650918542,26,False,False,0.8024,2.0005,1.9642,0.8450,0.6288,0.6377,0.0000,0.0000,0.0000,26.0000,26.0000,26.0000
