run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,4.0953,4.1074,4.0905,0.1806,0.1789,0.1840,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
1,433,2,0.27,103,0.0009765625,1,False,False,3.9930,3.9864,3.9825,0.2484,0.2471,0.2441,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
2,310,5,0.5,113,0.0011782270808598852,2,False,False,3.7028,3.7159,3.6907,0.2810,0.2789,0.2788,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
3,300,1,0.44,99,0.001421536311369323,3,False,False,3.5358,3.5341,3.4958,0.3156,0.3155,0.3160,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
4,1009,2,0.1,148,0.0017150900003645502,4,False,False,3.2844,3.2982,3.2842,0.3545,0.3516,0.3577,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
5,657,3,0.5,165,0.0020692638561704995,5,False,False,3.3135,3.3137,3.2904,0.3419,0.3431,0.3434,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
6,455,2,0.49,60,0.0024965762178914648,6,False,False,3.5350,3.5289,3.4978,0.3070,0.3089,0.3103,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
7,103,1,0.44,84,0.0030121305183748843,7,False,False,3.4286,3.4321,3.3951,0.3346,0.3353,0.3435,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
8,203,4,0.05,238,0.003634149117781824,8,False,False,3.0099,3.0508,3.0243,0.4108,0.4083,0.4137,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
9,150,4,0.02,122,0.004384617376208487,9,False,False,3.1694,3.1789,3.1762,0.3822,0.3837,0.3884,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
10,72,3,0.23,144,0.005290060730222237,9,False,False,3.1536,3.1788,3.1462,0.3823,0.3779,0.3870,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
11,467,3,0.31,79,0.006382482239223045,10,False,False,3.3258,3.3323,3.3065,0.3573,0.3575,0.3646,0.0000,0.0000,0.0000,10.0000,10.0000,10.0000
12,377,0,0.37,159,0.007700493739376462,11,False,False,3.1564,3.1728,3.1506,0.3874,0.3861,0.3919,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
13,436,2,0.25,154,0.009290680585958758,12,False,False,3.0912,3.1216,3.0840,0.3984,0.3974,0.4045,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,13,False,False,3.1414,3.1706,3.1405,0.3917,0.3889,0.3982,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
15,326,3,0.09,115,0.013524008765720979,14,False,False,3.1258,3.1636,3.1391,0.3913,0.3863,0.3955,0.0000,0.0000,0.0000,14.0000,14.0000,14.0000
16,326,2,0.02,124,0.01631677785042834,15,False,False,3.0959,3.1404,3.0990,0.3954,0.3921,0.3983,0.0000,0.0000,0.0000,15.0000,15.0000,15.0000
17,247,2,0.15,240,0.01968626640460739,16,False,False,2.8517,2.9205,2.8844,0.4423,0.4357,0.4418,0.0000,0.0000,0.0000,16.0000,16.0000,16.0000
18,179,1,0.01,50,0.02375156961170491,17,False,False,3.3820,3.3751,3.3942,0.3498,0.3516,0.3545,0.0000,0.0000,0.0000,17.0000,17.0000,17.0000
19,137,5,0.3,235,0.028656376350145975,18,False,False,2.8788,2.9354,2.9076,0.4308,0.4236,0.4328,0.0000,0.0000,0.0000,18.0000,18.0000,18.0000
20,786,2,0.24,144,0.03457404790277603,18,False,False,3.0488,3.0970,3.0656,0.4058,0.4001,0.4086,0.0000,0.0000,0.0000,18.0000,18.0000,18.0000
21,410,1,0.49,188,0.04171374544281356,19,False,False,3.0258,3.0687,3.0373,0.4131,0.4104,0.4153,0.0000,0.0000,0.0000,19.0000,19.0000,19.0000
22,388,0,0.48,59,0.050327822873414196,20,False,False,3.4355,3.4418,3.4168,0.3306,0.3323,0.3389,0.0000,0.0000,0.0000,20.0000,20.0000,20.0000
23,38,2,0.4,176,0.06072074632210035,21,False,False,2.9995,3.0490,3.0087,0.4162,0.4095,0.4219,0.0000,0.0000,0.0000,21.0000,21.0000,21.0000
24,467,2,0.11,75,0.07325985555120318,22,False,False,3.2430,3.2731,3.2316,0.3709,0.3660,0.3812,0.0000,0.0000,0.0000,22.0000,22.0000,22.0000
25,176,4,0.05,210,0.08838834764831845,23,False,False,2.8342,2.9451,2.8999,0.4406,0.4309,0.4384,0.0000,0.0000,0.0000,23.0000,23.0000,23.0000
26,57,4,0.0,85,0.10664094190766783,24,False,False,3.1628,3.2204,3.1857,0.3910,0.3840,0.3969,0.0000,0.0000,0.0000,24.0000,24.0000,24.0000
27,968,3,0.22,102,0.12866277958043645,25,False,False,3.1142,3.1490,3.1068,0.3938,0.3900,0.3981,0.0000,0.0000,0.0000,25.0000,25.0000,25.0000
28,268,4,0.37,225,0.15523222650918542,26,False,False,2.8724,2.9368,2.9147,0.4353,0.4294,0.4315,0.0000,0.0000,0.0000,26.0000,26.0000,26.0000
29,270,0,0.04,187,0.18728838460958516,27,False,False,2.8495,2.9569,2.9334,0.4378,0.4276,0.4373,0.0000,0.0000,0.0000,27.0000,27.0000,27.0000
30,596,0,0.43,195,0.22596428459777515,27,False,False,2.9457,3.0047,2.9677,0.4222,0.4165,0.4277,0.0000,0.0000,0.0000,27.0000,27.0000,27.0000
31,694,3,0.18,230,0.2726269331663144,28,False,False,2.8072,2.9104,2.8702,0.4469,0.4350,0.4439,0.0000,0.0000,0.0000,28.0000,28.0000,28.0000
32,837,4,0.09,187,0.32892563008340914,29,False,False,2.8500,2.9524,2.9270,0.4381,0.4290,0.4375,0.0000,0.0000,0.0000,29.0000,29.0000,29.0000
33,487,0,0.14,112,0.39685026299204973,30,False,False,3.0724,3.1181,3.0828,0.3995,0.3991,0.4076,0.0000,0.0000,0.0000,30.0000,30.0000,30.0000
34,418,5,0.37,188,0.47880164034928685,31,False,False,2.9169,2.9965,2.9628,0.4270,0.4194,0.4259,0.0000,0.0000,0.0000,31.0000,31.0000,31.0000
35,407,5,0.35000000000000003,94,0.577676348436136,32,False,False,3.2109,3.2540,3.2151,0.3753,0.3728,0.3807,0.0000,0.0000,0.0000,32.0000,32.0000,32.0000
36,657,2,0.11,182,0.6969691317244994,33,False,False,2.8428,2.9640,2.9160,0.4353,0.4294,0.4329,0.0000,0.0000,0.0000,33.0000,33.0000,33.0000
37,442,1,0.41000000000000003,215,0.8408964152537145,34,False,False,2.8785,2.9677,2.9289,0.4339,0.4247,0.4366,0.0000,0.0000,0.0000,34.0000,34.0000,34.0000
38,398,4,0.23,292,1.0145453349375229,35,False,False,2.6882,2.8451,2.7981,0.4630,0.4528,0.4611,0.0000,0.0000,0.0000,35.0000,35.0000,35.0000
39,369,4,0.29,98,1.2240535433046547,36,False,False,3.1636,3.2093,3.1703,0.3836,0.3797,0.3904,0.0000,0.0000,0.0000,36.0000,36.0000,36.0000
40,75,4,0.33,67,1.4768261459394993,36,False,False,3.3345,3.3585,3.3320,0.3550,0.3556,0.3578,0.0000,0.0000,0.0000,36.0000,36.0000,36.0000
41,179,0,0.02,177,1.7817974362806772,37,False,False,2.8540,2.9735,2.9408,0.4338,0.4233,0.4333,0.0000,0.0000,0.0000,37.0000,37.0000,37.0000
42,442,4,0.19,159,2.149746679841392,38,False,False,2.9514,3.0375,3.0143,0.4182,0.4108,0.4164,0.0000,0.0000,0.0000,38.0000,38.0000,38.0000
43,111,1,0.22,237,2.5936791093020193,39,False,False,2.7643,2.9058,2.8615,0.4477,0.4340,0.4402,0.0000,0.0000,0.0000,39.0000,39.0000,39.0000
44,242,1,0.45,123,3.1292855968155457,40,False,False,3.1183,3.1662,3.1300,0.3922,0.3872,0.3951,0.0000,0.0000,0.0000,40.0000,40.0000,40.0000
45,107,3,0.21,118,3.7754972507267723,41,False,False,3.0396,3.1005,3.0869,0.4041,0.4040,0.4014,0.0000,0.0000,0.0000,41.0000,41.0000,41.0000
46,150,2,0.2,70,4.555154539026766,42,False,False,3.2715,3.3048,3.2745,0.3625,0.3598,0.3688,0.0000,0.0000,0.0000,42.0000,42.0000,42.0000
47,38,1,0.2,128,5.495814589832352,43,False,False,3.0243,3.0962,3.0667,0.4053,0.4026,0.4072,0.0000,0.0000,0.0000,43.0000,43.0000,43.0000
48,248,1,0.49,92,6.6307252030723465,44,False,False,3.2804,3.3031,3.2772,0.3621,0.3601,0.3673,0.0000,0.0000,0.0000,44.0000,44.0000,44.0000
49,670,0,0.45,89,8.0,44,False,False,3.2655,3.3088,3.2754,0.3665,0.3606,0.3702,0.0000,0.0000,0.0000,44.0000,44.0000,44.0000
