run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,300,0.0,1,False,False,0.8002,1.8766,1.7431,0.8643,0.6497,0.7041,1003.1388,1003.1388,1003.1388,39.0000,39.0000,39.0000
1,433,2,0.27,300,0.0009765625,1,False,False,0.9479,1.8422,1.6135,0.8430,0.6523,0.7123,538.5978,538.5978,538.5978,39.0000,39.0000,39.0000
2,310,5,0.5,300,0.0011782270808598852,2,False,False,1.0964,1.8695,1.6101,0.8159,0.6548,0.6959,448.1065,448.1065,448.1065,39.0000,39.0000,39.0000
3,300,1,0.44,300,0.001421536311369323,3,False,False,1.1457,1.8916,1.6171,0.8091,0.6523,0.7014,404.4734,404.4734,404.4734,39.0000,39.0000,39.0000
4,1009,2,0.1,300,0.0017150900003645502,4,False,False,1.1259,1.9074,1.6327,0.8152,0.6472,0.6904,387.4545,387.4545,387.4545,39.0000,39.0000,39.0000
5,657,3,0.5,300,0.0020692638561704995,4,False,False,1.3628,1.9899,1.6681,0.7698,0.6472,0.6932,298.4016,298.4016,298.4016,39.0000,39.0000,39.0000
6,455,2,0.49,300,0.0024965762178914648,5,False,False,1.4653,2.0425,1.7024,0.7504,0.6497,0.6932,257.1804,257.1804,257.1804,39.0000,39.0000,39.0000
7,103,1,0.44,300,0.0030121305183748843,6,False,False,1.5672,2.0964,1.7400,0.7275,0.6294,0.6849,220.2433,220.2433,220.2433,39.0000,39.0000,39.0000
8,203,4,0.05,300,0.003634149117781824,7,False,False,1.5928,2.0987,1.7499,0.7245,0.6269,0.6740,201.2466,201.2466,201.2466,39.0000,39.0000,39.0000
9,150,4,0.02,300,0.004384617376208487,8,False,False,1.7315,2.1724,1.8141,0.7024,0.6269,0.6740,166.3991,166.3991,166.3991,38.0000,38.0000,38.0000
10,72,3,0.23,300,0.005290060730222237,8,False,False,1.9206,2.2920,1.9156,0.6566,0.5888,0.6466,130.4270,130.4270,130.4270,39.0000,39.0000,39.0000
11,467,3,0.31,300,0.006382482239223045,9,False,False,2.0868,2.4095,2.0203,0.6223,0.5609,0.6356,103.7949,103.7949,103.7949,39.0000,39.0000,39.0000
12,377,0,0.37,300,0.007700493739376462,10,False,False,2.2457,2.5255,2.1297,0.5835,0.5431,0.6247,82.5023,82.5023,82.5023,38.0000,38.0000,38.0000
13,436,2,0.25,300,0.009290680585958758,11,False,False,2.3591,2.6030,2.2136,0.5629,0.5305,0.6247,68.4885,68.4885,68.4885,38.0000,38.0000,38.0000
14,382,2,0.41000000000000003,300,0.011209248221179687,12,False,False,2.5137,2.7140,2.3327,0.5316,0.5102,0.5890,54.8117,54.8117,54.8117,38.0000,38.0000,38.0000
15,326,3,0.09,300,0.013524008765720979,12,False,False,2.6039,2.7745,2.4059,0.5156,0.5102,0.5808,46.2247,46.2247,46.2247,38.0000,38.0000,38.0000
16,326,2,0.02,300,0.01631677785042834,13,False,False,2.7335,2.8746,2.5104,0.4931,0.4898,0.5699,37.3453,37.3453,37.3453,37.0000,37.0000,37.0000
17,247,2,0.15,300,0.01968626640460739,14,False,False,2.8621,2.9738,2.6245,0.4478,0.4594,0.4986,30.4379,30.4379,30.4379,37.0000,37.0000,37.0000
18,179,1,0.01,300,0.02375156961170491,15,False,False,2.9689,3.0522,2.7190,0.4249,0.4594,0.4712,25.3486,25.3486,25.3486,36.0000,36.0000,36.0000
19,137,5,0.3,300,0.028656376350145975,16,False,False,3.1024,3.1560,2.8416,0.4013,0.4518,0.4603,20.5686,20.5686,20.5686,37.0000,37.0000,37.0000
20,786,2,0.24,300,0.03457404790277603,16,False,False,3.1868,3.2283,2.9309,0.4002,0.4518,0.4603,17.8240,17.8240,17.8240,36.0000,36.0000,36.0000
21,410,1,0.49,300,0.04171374544281356,17,False,False,3.2856,3.3197,3.0358,0.4002,0.4518,0.4603,15.5373,15.5373,15.5373,36.0000,36.0000,36.0000
22,388,0,0.48,300,0.050327822873414196,18,False,False,3.3791,3.4076,3.1366,0.4002,0.4518,0.4575,13.5154,13.5154,13.5154,35.0000,35.0000,35.0000
23,38,2,0.4,300,0.06072074632210035,19,False,False,3.4846,3.5075,3.2507,0.4002,0.4518,0.4575,11.5761,11.5761,11.5761,35.0000,35.0000,35.0000
24,467,2,0.11,300,0.07325985555120318,20,False,False,3.5978,3.6128,3.3715,0.4002,0.4518,0.4575,9.8059,9.8059,9.8059,35.0000,35.0000,35.0000
