run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,0.5062,2.3426,2.2027,0.9146,0.5863,0.6055,366.3430,366.3430,366.3430,39.0000,39.0000,39.0000
1,433,2,0.27,103,0.0009765625,1,False,False,0.5900,2.4417,2.2257,0.9024,0.5863,0.6110,241.2644,241.2644,241.2644,39.0000,39.0000,39.0000
2,310,5,0.5,113,0.0011782270808598852,2,False,False,0.6610,2.4006,2.1883,0.8910,0.5914,0.6247,222.0776,222.0776,222.0776,39.0000,39.0000,39.0000
3,300,1,0.44,99,0.001421536311369323,3,False,False,0.7177,2.4187,2.1596,0.8864,0.5787,0.6384,202.9397,202.9397,202.9397,38.0000,38.0000,38.0000
4,1009,2,0.1,148,0.0017150900003645502,4,False,False,0.6529,2.4555,2.2167,0.8941,0.5660,0.6247,217.1815,217.1815,217.1815,38.0000,38.0000,38.0000
5,657,3,0.5,165,0.0020692638561704995,4,False,False,0.6476,2.3734,2.1104,0.8929,0.5787,0.6274,206.7725,206.7725,206.7725,39.0000,39.0000,39.0000
6,455,2,0.49,60,0.0024965762178914648,5,False,False,0.7634,2.4840,2.1895,0.8704,0.5584,0.6219,157.8288,157.8288,157.8288,37.0000,37.0000,37.0000
7,103,1,0.44,84,0.0030121305183748843,6,False,False,0.7716,2.4535,2.1995,0.8758,0.5635,0.6274,158.8430,158.8430,158.8430,36.0000,36.0000,36.0000
8,203,4,0.05,238,0.003634149117781824,7,False,False,0.7298,2.3999,2.2270,0.8876,0.5787,0.6219,166.2325,166.2325,166.2325,37.0000,37.0000,37.0000
9,150,4,0.02,122,0.004384617376208487,8,False,False,0.8605,2.4172,2.2211,0.8624,0.5914,0.6192,138.2585,138.2585,138.2585,30.0000,30.0000,30.0000
10,72,3,0.23,144,0.005290060730222237,8,False,False,0.9182,2.4403,2.2309,0.8506,0.5914,0.6137,120.7076,120.7076,120.7076,33.0000,33.0000,33.0000
11,467,3,0.31,79,0.006382482239223045,9,False,False,0.9325,2.3905,2.1976,0.8502,0.5660,0.6027,104.0931,104.0931,104.0931,27.0000,27.0000,27.0000
12,377,0,0.37,159,0.007700493739376462,10,False,False,0.9705,2.4824,2.2583,0.8369,0.5711,0.6027,93.7620,93.7620,93.7620,32.0000,32.0000,32.0000
13,436,2,0.25,154,0.009290680585958758,11,False,False,1.0474,2.4697,2.2359,0.8213,0.5685,0.6137,81.4188,81.4188,81.4188,30.0000,30.0000,30.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,12,False,False,1.2140,2.5656,2.2812,0.7931,0.5533,0.6055,67.3767,67.3767,67.3767,30.0000,30.0000,30.0000
15,326,3,0.09,115,0.013524008765720979,12,False,False,1.3063,2.6166,2.3772,0.7851,0.5431,0.5836,56.9324,56.9324,56.9324,23.0000,23.0000,23.0000
16,326,2,0.02,124,0.01631677785042834,13,False,False,1.3335,2.6715,2.4036,0.7812,0.5381,0.5781,50.8667,50.8667,50.8667,20.0000,20.0000,20.0000
17,247,2,0.15,240,0.01968626640460739,14,False,False,1.5161,2.7236,2.4061,0.7496,0.5457,0.5836,45.1837,45.1837,45.1837,32.0000,32.0000,32.0000
18,179,1,0.01,50,0.02375156961170491,15,False,False,1.6008,2.8079,2.5116,0.7569,0.5355,0.5726,38.1130,38.1130,38.1130,15.0000,15.0000,15.0000
19,137,5,0.3,235,0.028656376350145975,16,False,False,1.7445,2.7393,2.5263,0.7386,0.5584,0.5973,34.0955,34.0955,34.0955,29.0000,29.0000,29.0000
20,786,2,0.24,144,0.03457404790277603,16,False,False,1.8925,2.8234,2.5982,0.6551,0.5279,0.5452,28.4036,28.4036,28.4036,19.0000,19.0000,19.0000
21,410,1,0.49,188,0.04171374544281356,17,False,False,2.2291,2.9410,2.6367,0.5507,0.4848,0.5288,21.2173,21.2173,21.2173,24.0000,24.0000,24.0000
22,388,0,0.48,59,0.050327822873414196,18,False,False,2.3415,3.0435,2.7449,0.5370,0.4822,0.5068,18.2488,18.2488,18.2488,12.0000,12.0000,12.0000
23,38,2,0.4,176,0.06072074632210035,19,False,False,2.5035,3.0888,2.7934,0.4851,0.4569,0.4822,15.9890,15.9890,15.9890,21.0000,21.0000,21.0000
24,467,2,0.11,75,0.07325985555120318,20,False,False,2.6480,3.2108,2.9435,0.4798,0.4772,0.5096,13.8771,13.8771,13.8771,12.0000,12.0000,12.0000
25,176,4,0.05,210,0.08838834764831845,20,False,False,2.7989,3.3183,3.0426,0.4394,0.4492,0.4767,11.9525,11.9525,11.9525,25.0000,25.0000,25.0000
26,57,4,0.0,85,0.10664094190766783,21,False,False,3.1939,3.5432,3.3406,0.3552,0.3376,0.3589,8.6185,8.6185,8.6185,11.0000,11.0000,11.0000
27,968,3,0.22,102,0.12866277958043645,22,False,False,3.1575,3.5576,3.3191,0.4364,0.3883,0.4164,8.2181,8.2181,8.2181,12.0000,12.0000,12.0000
28,268,4,0.37,225,0.15523222650918542,23,False,False,3.8432,4.0712,3.8810,0.2473,0.2766,0.3068,4.1831,4.1831,4.1831,26.0000,26.0000,26.0000
29,270,0,0.04,187,0.18728838460958516,24,False,False,3.9241,4.1260,3.9502,0.2492,0.2665,0.3014,3.7024,3.7024,3.7024,25.0000,25.0000,25.0000
30,596,0,0.43,195,0.22596428459777515,24,False,False,4.0125,4.1928,4.0274,0.2450,0.2665,0.2986,3.2602,3.2602,3.2602,23.0000,23.0000,23.0000
31,694,3,0.18,230,0.2726269331663144,25,False,False,4.1255,4.2883,4.1427,0.2435,0.2665,0.2986,2.8087,2.8087,2.8087,26.0000,26.0000,26.0000
32,837,4,0.09,187,0.32892563008340914,26,False,False,4.2496,4.3973,4.2797,0.2470,0.2665,0.2986,2.3514,2.3514,2.3514,22.0000,22.0000,22.0000
33,487,0,0.14,112,0.39685026299204973,27,False,False,4.4561,4.5690,4.4771,0.2450,0.2665,0.2959,1.7714,1.7714,1.7714,13.0000,13.0000,13.0000
34,418,5,0.37,188,0.47880164034928685,28,False,False,5.2635,5.2627,5.2601,0.2092,0.2487,0.2740,0.1102,0.1102,0.1102,33.0000,33.0000,33.0000
35,407,5,0.35000000000000003,94,0.577676348436136,28,False,False,5.2800,5.2796,5.2791,0.2092,0.2487,0.2740,0.0941,0.0941,0.0941,31.0000,31.0000,31.0000
36,657,2,0.11,182,0.6969691317244994,29,False,False,5.2850,5.2850,5.2849,0.2092,0.2487,0.2740,0.0417,0.0417,0.0417,19.0000,19.0000,19.0000
37,442,1,0.41000000000000003,215,0.8408964152537145,30,False,False,5.2846,5.2845,5.2845,0.2092,0.2487,0.2740,0.0560,0.0560,0.0560,35.0000,35.0000,35.0000
38,398,4,0.23,292,1.0145453349375229,31,False,False,5.2850,5.2850,5.2850,0.2092,0.2487,0.2740,0.0584,0.0584,0.0584,39.0000,39.0000,39.0000
39,369,4,0.29,98,1.2240535433046547,32,False,False,5.2849,5.2849,5.2849,0.2054,0.2310,0.2411,0.0805,0.0805,0.0805,29.0000,29.0000,29.0000
40,75,4,0.33,67,1.4768261459394993,32,False,False,5.2848,5.2848,5.2848,0.1227,0.1015,0.1014,0.1351,0.1351,0.1351,33.0000,33.0000,33.0000
41,179,0,0.02,177,1.7817974362806772,33,False,False,5.2851,5.2851,5.2851,0.2115,0.2487,0.2740,0.0563,0.0563,0.0563,32.0000,32.0000,32.0000
42,442,4,0.19,159,2.149746679841392,34,False,False,5.2851,5.2851,5.2851,0.2092,0.2487,0.2740,0.0441,0.0441,0.0441,21.0000,21.0000,21.0000
43,111,1,0.22,237,2.5936791093020193,35,False,False,5.2852,5.2852,5.2852,0.1364,0.1066,0.1233,0.0563,0.0563,0.0563,35.0000,35.0000,35.0000
44,242,1,0.45,123,3.1292855968155457,36,False,False,5.2853,5.2853,5.2853,0.0488,0.0508,0.0301,0.0649,0.0649,0.0649,28.0000,28.0000,28.0000
45,107,3,0.21,118,3.7754972507267723,36,False,False,5.2853,5.2853,5.2853,0.0949,0.1218,0.1425,0.0652,0.0652,0.0652,29.0000,29.0000,29.0000
46,150,2,0.2,70,4.555154539026766,37,False,False,5.2853,5.2853,5.2853,0.0537,0.0787,0.0822,0.0317,0.0317,0.0317,11.0000,11.0000,11.0000
47,38,1,0.2,128,5.495814589832352,38,False,False,5.2854,5.2853,5.2853,0.0267,0.0203,0.0137,0.0630,0.0630,0.0630,28.0000,28.0000,28.0000
48,248,1,0.49,92,6.6307252030723465,39,False,False,5.2854,5.2853,5.2853,0.0659,0.0964,0.0877,0.0279,0.0279,0.0279,0.0000,0.0000,0.0000
49,670,0,0.45,89,8.0,39,False,False,5.2853,5.2853,5.2853,0.1540,0.1193,0.1315,0.0274,0.0274,0.0274,0.0000,0.0000,0.0000
