run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,1.0643,2.5427,2.3994,0.8243,0.5482,0.5589,702.2248,702.2248,702.2248,39.0000,39.0000,39.0000
1,433,2,0.27,103,0.0009765625,1,False,False,1.4785,2.6872,2.4025,0.7073,0.5482,0.5918,406.4974,406.4974,406.4974,39.0000,39.0000,39.0000
2,310,5,0.5,113,0.0011782270808598852,2,False,False,1.5985,2.5888,2.2842,0.6780,0.5533,0.5890,325.0182,325.0182,325.0182,39.0000,39.0000,39.0000
3,300,1,0.44,99,0.001421536311369323,3,False,False,1.6876,2.6173,2.3853,0.6662,0.5406,0.6027,290.7616,290.7616,290.7616,39.0000,39.0000,39.0000
4,1009,2,0.1,148,0.0017150900003645502,4,False,False,1.5244,2.7312,2.4055,0.7222,0.5584,0.5699,316.9973,316.9973,316.9973,38.0000,38.0000,38.0000
5,657,3,0.5,165,0.0020692638561704995,4,False,False,1.6430,2.5493,2.3103,0.6997,0.5711,0.5863,263.5126,263.5126,263.5126,39.0000,39.0000,39.0000
6,455,2,0.49,60,0.0024965762178914648,5,False,False,2.1906,2.8031,2.4657,0.5770,0.5228,0.5644,143.7734,143.7734,143.7734,37.0000,37.0000,37.0000
7,103,1,0.44,84,0.0030121305183748843,6,False,False,2.0928,2.7276,2.4529,0.6067,0.5508,0.5671,157.3687,157.3687,157.3687,38.0000,38.0000,38.0000
8,203,4,0.05,238,0.003634149117781824,7,False,False,1.7014,2.5985,2.4130,0.7168,0.5482,0.5973,214.5344,214.5344,214.5344,38.0000,38.0000,38.0000
9,150,4,0.02,122,0.004384617376208487,8,False,False,2.0329,2.5708,2.3736,0.6296,0.5660,0.5644,152.4977,152.4977,152.4977,32.0000,32.0000,32.0000
10,72,3,0.23,144,0.005290060730222237,8,False,False,2.2258,2.6620,2.4410,0.6052,0.5431,0.5753,114.2155,114.2155,114.2155,35.0000,35.0000,35.0000
11,467,3,0.31,79,0.006382482239223045,9,False,False,2.4590,2.7316,2.4696,0.5457,0.5178,0.5562,79.6913,79.6913,79.6913,27.0000,27.0000,27.0000
12,377,0,0.37,159,0.007700493739376462,10,False,False,2.5038,2.7802,2.5272,0.5442,0.5127,0.5452,73.5175,73.5175,73.5175,31.0000,31.0000,31.0000
13,436,2,0.25,154,0.009290680585958758,11,False,False,2.6259,2.8685,2.5751,0.5023,0.4924,0.5397,58.1215,58.1215,58.1215,30.0000,30.0000,30.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,12,False,False,2.7356,2.9885,2.6747,0.4806,0.4543,0.5342,46.5958,46.5958,46.5958,30.0000,30.0000,30.0000
15,326,3,0.09,115,0.013524008765720979,12,False,False,2.8543,3.0448,2.7181,0.4691,0.4518,0.5178,39.8127,39.8127,39.8127,22.0000,22.0000,22.0000
