run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.4368,1.5041,1.4704,0.9459,0.7107,0.7397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,False,0.5574,0.5574,0.5574,0.9104,0.9104,0.9104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,True,0.4694,0.4694,0.4694,0.9299,0.9299,0.9299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,False,False,0.4427,1.4570,1.4021,0.9177,0.7284,0.7452,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,True,False,0.0081,0.0081,0.0081,0.9962,0.9962,0.9962,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,True,True,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,2,False,False,2.3959,3.0271,2.4606,0.4463,0.4619,0.4986,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,2,True,False,2.7572,2.7572,2.7572,0.4466,0.4466,0.4466,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,2,True,True,2.7486,2.7486,2.7486,0.4440,0.4440,0.4440,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,3,False,False,0.2309,1.3840,1.4036,0.9722,0.7462,0.7589,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,3,True,False,0.0237,0.0237,0.0237,0.9958,0.9958,0.9958,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,3,True,True,0.0060,0.0060,0.0060,0.9996,0.9996,0.9996,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,4,False,False,0.0746,1.7017,1.7706,0.9966,0.7335,0.7425,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,4,True,False,0.0079,0.0079,0.0079,0.9962,0.9962,0.9962,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,4,True,True,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,4,False,False,0.3949,1.6363,1.3694,0.9295,0.7208,0.7616,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,4,True,False,0.0120,0.0120,0.0120,0.9954,0.9954,0.9954,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,4,True,True,0.0011,0.0011,0.0011,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,5,False,False,0.2552,1.4527,1.3522,0.9627,0.7411,0.7507,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,5,True,False,0.0179,0.0179,0.0179,0.9962,0.9962,0.9962,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,5,True,True,0.0035,0.0035,0.0035,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,6,False,False,0.3539,1.3966,1.3288,0.9463,0.7563,0.7507,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,6,True,False,0.8509,0.8509,0.8509,0.9184,0.9184,0.9184,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,6,True,True,0.6759,0.6759,0.6759,0.9729,0.9729,0.9729,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,768,0.003634149117781824,7,False,False,1.4334,2.0014,1.6746,0.7302,0.6548,0.6986,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,768,0.003634149117781824,7,True,False,0.0079,0.0079,0.0079,0.9962,0.9962,0.9962,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,768,0.003634149117781824,7,True,True,0.0001,0.0001,0.0001,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,768,0.004384617376208487,8,False,False,0.6593,2.0069,1.8601,0.8796,0.6701,0.7096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,768,0.004384617376208487,8,True,False,0.0083,0.0083,0.0083,0.9962,0.9962,0.9962,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,768,0.004384617376208487,8,True,True,0.0002,0.0002,0.0002,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,768,0.005290060730222237,8,False,False,0.8391,1.9721,1.5439,0.8399,0.6878,0.7096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,768,0.005290060730222237,8,True,False,1.1675,1.1675,1.1675,0.8056,0.8056,0.8056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
