run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,300,0.0,1,False,False,0.8103,1.8933,1.7159,0.8643,0.6548,0.7096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,300,0.0,1,True,False,2.0810,2.0810,2.0810,0.5332,0.5332,0.5332,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,300,0.0,1,True,True,,,,,,,,,,,,
1,433,2,0.27,300,0.0009765625,1,False,False,0.7358,1.8997,1.6976,0.8567,0.6320,0.6877,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,300,0.0009765625,1,True,False,0.7327,0.7327,0.7327,0.7893,0.7893,0.7893,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,300,0.0009765625,1,True,True,,,,,,,,,,,,
2,310,5,0.5,300,0.0011782270808598852,2,False,False,2.0118,2.7688,2.3242,0.5324,0.4848,0.5753,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,300,0.0011782270808598852,2,True,False,2.3896,2.3896,2.3896,0.5141,0.5141,0.5141,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,300,0.0011782270808598852,2,True,True,,,,,,,,,,,,
3,300,1,0.44,300,0.001421536311369323,3,False,False,0.7045,1.7927,1.6266,0.8636,0.6548,0.6959,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,300,0.001421536311369323,3,True,False,0.8248,0.8248,0.8248,0.7885,0.7885,0.7885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,300,0.001421536311369323,3,True,True,,,,,,,,,,,,
4,1009,2,0.1,300,0.0017150900003645502,4,False,False,1.1470,2.0290,1.6675,0.7763,0.6421,0.6959,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,300,0.0017150900003645502,4,True,False,0.7301,0.7301,0.7301,0.7893,0.7893,0.7893,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,300,0.0017150900003645502,4,True,True,,,,,,,,,,,,
5,657,3,0.5,300,0.0020692638561704995,4,False,False,0.8910,1.9142,1.6693,0.8335,0.6675,0.6932,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,300,0.0020692638561704995,4,True,False,0.7429,0.7429,0.7429,0.7885,0.7885,0.7885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,300,0.0020692638561704995,4,True,True,,,,,,,,,,,,
6,455,2,0.49,300,0.0024965762178914648,5,False,False,0.7393,1.7898,1.6261,0.8529,0.6472,0.6932,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,300,0.0024965762178914648,5,True,False,0.7595,0.7595,0.7595,0.7885,0.7885,0.7885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,300,0.0024965762178914648,5,True,True,,,,,,,,,,,,
7,103,1,0.44,300,0.0030121305183748843,6,False,False,0.7690,1.8356,1.6114,0.8491,0.6548,0.7096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,300,0.0030121305183748843,6,True,False,1.4337,1.4337,1.4337,0.7203,0.7203,0.7203,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,300,0.0030121305183748843,6,True,True,,,,,,,,,,,,
8,203,4,0.05,300,0.003634149117781824,7,False,False,1.9226,2.6486,2.2700,0.5789,0.5152,0.5836,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,300,0.003634149117781824,7,True,False,0.7380,0.7380,0.7380,0.7889,0.7889,0.7889,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,300,0.003634149117781824,7,True,True,,,,,,,,,,,,
