run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,1.1470,2.8499,2.7359,0.8129,0.5228,0.5315,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,212,0.0,1,True,False,1.8609,1.8609,1.8609,0.5751,0.5751,0.5751,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,212,0.0,1,True,True,,,,,,,,,,,,
1,433,2,0.27,103,0.0009765625,1,False,False,1.2123,2.5118,2.2796,0.7759,0.5609,0.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,103,0.0009765625,1,True,False,0.7326,0.7326,0.7326,0.7893,0.7893,0.7893,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,103,0.0009765625,1,True,True,,,,,,,,,,,,
2,310,5,0.5,113,0.0011782270808598852,2,False,False,1.9458,2.8668,2.5834,0.5865,0.4619,0.5452,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,113,0.0011782270808598852,2,True,False,3.3643,3.3643,3.3644,0.2584,0.2584,0.2584,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,113,0.0011782270808598852,2,True,True,,,,,,,,,,,,
3,300,1,0.44,99,0.001421536311369323,3,False,False,0.8816,2.4430,2.2767,0.8639,0.5685,0.6219,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,99,0.001421536311369323,3,True,False,0.9717,0.9717,0.9717,0.7877,0.7877,0.7877,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,99,0.001421536311369323,3,True,True,,,,,,,,,,,,
4,1009,2,0.1,148,0.0017150900003645502,4,False,False,0.3200,3.6674,3.2246,0.9314,0.5457,0.5699,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,148,0.0017150900003645502,4,True,False,0.7320,0.7320,0.7320,0.7893,0.7893,0.7893,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,148,0.0017150900003645502,4,True,True,,,,,,,,,,,,
5,657,3,0.5,165,0.0020692638561704995,4,False,False,0.8332,2.4317,2.3019,0.8548,0.5635,0.6027,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,165,0.0020692638561704995,4,True,False,0.7401,0.7401,0.7401,0.7893,0.7893,0.7893,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,165,0.0020692638561704995,4,True,True,,,,,,,,,,,,
6,455,2,0.49,60,0.0024965762178914648,5,False,False,0.7326,2.4043,2.2444,0.8792,0.5787,0.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,60,0.0024965762178914648,5,True,False,1.2447,1.2447,1.2447,0.7778,0.7778,0.7778,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,60,0.0024965762178914648,5,True,True,,,,,,,,,,,,
7,103,1,0.44,84,0.0030121305183748843,6,False,False,1.0752,2.5471,2.3081,0.8270,0.5838,0.5836,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,84,0.0030121305183748843,6,True,False,2.2371,2.2371,2.2371,0.5575,0.5575,0.5575,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,84,0.0030121305183748843,6,True,True,,,,,,,,,,,,
8,203,4,0.05,238,0.003634149117781824,7,False,False,1.3718,2.9816,2.7043,0.7374,0.5178,0.5863,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,238,0.003634149117781824,7,True,False,0.7323,0.7323,0.7323,0.7893,0.7893,0.7893,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,238,0.003634149117781824,7,True,True,,,,,,,,,,,,
9,150,4,0.02,122,0.004384617376208487,8,False,False,2.1732,2.9354,2.6315,0.5530,0.5203,0.5452,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,122,0.004384617376208487,8,True,False,0.7371,0.7371,0.7371,0.7893,0.7893,0.7893,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,122,0.004384617376208487,8,True,True,,,,,,,,,,,,
