run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,300,0.0,1,False,False,3.2181,3.3222,2.9855,0.2980,0.3401,0.3644,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
1,433,2,0.27,300,0.0009765625,1,False,False,3.2246,3.3231,2.9829,0.2980,0.3401,0.3644,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
2,310,5,0.5,300,0.0011782270808598852,2,False,False,2.3824,2.6727,2.1957,0.4809,0.4975,0.5425,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
3,300,1,0.44,300,0.001421536311369323,3,False,False,1.9886,2.5080,2.0398,0.5507,0.5254,0.5479,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
4,1009,2,0.1,300,0.0017150900003645502,4,False,False,1.7608,2.4451,2.0418,0.6395,0.5355,0.6055,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
5,657,3,0.5,300,0.0020692638561704995,4,False,False,1.7862,2.3894,1.9105,0.6399,0.5711,0.6082,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
6,455,2,0.49,300,0.0024965762178914648,5,False,False,1.5665,2.2717,1.8691,0.6879,0.5939,0.6329,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
7,103,1,0.44,300,0.0030121305183748843,6,False,False,1.3918,2.2057,1.7941,0.7214,0.6193,0.6658,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
8,203,4,0.05,300,0.003634149117781824,7,False,False,1.2764,2.1706,1.7862,0.7523,0.5939,0.6849,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
9,150,4,0.02,300,0.004384617376208487,8,False,False,1.1236,2.1975,1.8716,0.7797,0.6320,0.6740,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
10,72,3,0.23,300,0.005290060730222237,8,False,False,1.1012,2.1367,1.7846,0.7835,0.6371,0.6822,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
