run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,3.4470,3.7488,3.5493,0.2298,0.2640,0.2795,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
1,433,2,0.27,103,0.0009765625,1,False,False,3.4291,3.5256,3.2293,0.2976,0.3401,0.3644,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
2,310,5,0.5,113,0.0011782270808598852,2,False,False,2.7492,3.0548,2.7040,0.4329,0.4365,0.4740,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
3,300,1,0.44,99,0.001421536311369323,3,False,False,2.5286,2.9272,2.6005,0.4741,0.4822,0.5178,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
4,1009,2,0.1,148,0.0017150900003645502,4,False,False,2.1047,3.3403,3.0734,0.5987,0.4898,0.5205,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
5,657,3,0.5,165,0.0020692638561704995,4,False,False,2.2462,2.7947,2.5243,0.5293,0.5178,0.5096,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
6,455,2,0.49,60,0.0024965762178914648,5,False,False,2.4530,2.9661,2.5365,0.5213,0.4822,0.5507,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
7,103,1,0.44,84,0.0030121305183748843,6,False,False,2.1931,2.8941,2.5947,0.5629,0.5127,0.5425,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
8,203,4,0.05,238,0.003634149117781824,7,False,False,2.0527,3.1689,3.0103,0.6311,0.5051,0.5342,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
9,150,4,0.02,122,0.004384617376208487,8,False,False,2.1636,3.1012,2.8387,0.6090,0.5025,0.5397,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
10,72,3,0.23,144,0.005290060730222237,8,False,False,1.9236,2.9033,2.7412,0.6441,0.5406,0.5425,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
11,467,3,0.31,79,0.006382482239223045,9,False,False,1.9569,2.6595,2.4682,0.6113,0.5457,0.5616,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
12,377,0,0.37,159,0.007700493739376462,10,False,False,1.3616,2.7600,2.7225,0.7264,0.5355,0.5589,0.0000,0.0000,0.0000,10.0000,10.0000,10.0000
13,436,2,0.25,154,0.009290680585958758,11,False,False,1.8264,2.9341,2.7389,0.6734,0.5431,0.5315,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,12,False,False,1.4223,2.9062,2.5792,0.7191,0.5355,0.5589,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
15,326,3,0.09,115,0.013524008765720979,12,False,False,1.9067,3.0441,2.7820,0.6482,0.5025,0.5534,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
16,326,2,0.02,124,0.01631677785042834,13,False,False,2.1060,3.0426,2.9212,0.6170,0.5178,0.5452,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
17,247,2,0.15,240,0.01968626640460739,14,False,False,1.5271,2.9614,2.5877,0.7214,0.5279,0.5699,0.0000,0.0000,0.0000,14.0000,14.0000,14.0000
18,179,1,0.01,50,0.02375156961170491,15,False,False,2.1230,2.9295,2.7279,0.5873,0.5127,0.5288,0.0000,0.0000,0.0000,15.0000,15.0000,15.0000
19,137,5,0.3,235,0.028656376350145975,16,False,False,1.5477,2.9733,2.6892,0.7283,0.5305,0.5562,0.0000,0.0000,0.0000,16.0000,16.0000,16.0000
20,786,2,0.24,144,0.03457404790277603,16,False,False,1.6045,2.7890,2.7817,0.7012,0.5279,0.5534,0.0000,0.0000,0.0000,16.0000,16.0000,16.0000
21,410,1,0.49,188,0.04171374544281356,17,False,False,1.2865,2.6967,2.4669,0.7683,0.5406,0.5918,0.0000,0.0000,0.0000,17.0000,17.0000,17.0000
22,388,0,0.48,59,0.050327822873414196,18,False,False,1.9957,2.8127,2.5752,0.6029,0.5355,0.5425,0.0000,0.0000,0.0000,18.0000,18.0000,18.0000
23,38,2,0.4,176,0.06072074632210035,19,False,False,1.0064,2.9167,2.6285,0.8110,0.5508,0.5863,0.0000,0.0000,0.0000,19.0000,19.0000,19.0000
24,467,2,0.11,75,0.07325985555120318,20,False,False,1.9730,3.0022,2.8050,0.6265,0.5051,0.5260,0.0000,0.0000,0.0000,20.0000,20.0000,20.0000
25,176,4,0.05,210,0.08838834764831845,20,False,False,1.2790,2.8766,2.7207,0.7649,0.5558,0.5616,0.0000,0.0000,0.0000,20.0000,20.0000,20.0000
26,57,4,0.0,85,0.10664094190766783,21,False,False,2.1161,3.2010,3.1040,0.6079,0.5076,0.5288,0.0000,0.0000,0.0000,21.0000,21.0000,21.0000
27,968,3,0.22,102,0.12866277958043645,22,False,False,1.7546,3.1177,2.7667,0.6738,0.5000,0.5397,0.0000,0.0000,0.0000,22.0000,22.0000,22.0000
28,268,4,0.37,225,0.15523222650918542,23,False,False,1.3522,2.8686,2.6421,0.7691,0.5431,0.5616,0.0000,0.0000,0.0000,23.0000,23.0000,23.0000
29,270,0,0.04,187,0.18728838460958516,24,False,False,2.1179,2.9500,2.7244,0.6250,0.5051,0.5671,0.0000,0.0000,0.0000,24.0000,24.0000,24.0000
30,596,0,0.43,195,0.22596428459777515,24,False,False,1.0578,2.6281,2.4827,0.8110,0.5508,0.5890,0.0000,0.0000,0.0000,24.0000,24.0000,24.0000
31,694,3,0.18,230,0.2726269331663144,25,False,False,1.1429,2.9414,2.7129,0.7992,0.5533,0.5781,0.0000,0.0000,0.0000,25.0000,25.0000,25.0000
32,837,4,0.09,187,0.32892563008340914,26,False,False,2.1322,2.9450,2.7181,0.6197,0.5051,0.5452,0.0000,0.0000,0.0000,26.0000,26.0000,26.0000
33,487,0,0.14,112,0.39685026299204973,27,False,False,1.8321,2.9680,2.6422,0.6604,0.5127,0.5507,0.0000,0.0000,0.0000,27.0000,27.0000,27.0000
34,418,5,0.37,188,0.47880164034928685,28,False,False,0.9628,2.8396,2.6595,0.8327,0.5660,0.5836,0.0000,0.0000,0.0000,28.0000,28.0000,28.0000
35,407,5,0.35000000000000003,94,0.577676348436136,28,False,False,1.5689,2.7104,2.5685,0.6947,0.5482,0.5753,0.0000,0.0000,0.0000,28.0000,28.0000,28.0000
36,657,2,0.11,182,0.6969691317244994,29,False,False,1.9724,2.9190,2.7350,0.6498,0.5305,0.5288,0.0000,0.0000,0.0000,29.0000,29.0000,29.0000
37,442,1,0.41000000000000003,215,0.8408964152537145,30,False,False,1.2400,2.7463,2.5573,0.7828,0.5635,0.5863,0.0000,0.0000,0.0000,30.0000,30.0000,30.0000
38,398,4,0.23,292,1.0145453349375229,31,False,False,1.4902,2.8480,2.6213,0.7367,0.5533,0.5699,0.0000,0.0000,0.0000,31.0000,31.0000,31.0000
