run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,300,0.0,1,False,False,1.1012,1.4312,1.3262,0.7618,0.7038,0.7243,1149.1182,1149.1182,1149.1182,31.0000,31.0000,31.0000
1,433,2,0.27,300,0.0009765625,1,False,False,1.3709,1.5412,1.4455,0.7294,0.6909,0.7099,362.7417,362.7417,362.7417,31.0000,31.0000,31.0000
2,310,5,0.5,300,0.0011782270808598852,2,False,False,1.5135,1.6533,1.5605,0.7088,0.6781,0.6970,295.4228,295.4228,295.4228,31.0000,31.0000,31.0000
3,300,1,0.44,300,0.001421536311369323,2,False,False,1.5199,1.6583,1.5661,0.7086,0.6792,0.6977,282.9384,282.9384,282.9384,31.0000,31.0000,31.0000
4,1009,2,0.1,300,0.0017150900003645502,3,False,False,1.4474,1.6012,1.5069,0.7202,0.6869,0.7030,297.8242,297.8242,297.8242,30.0000,30.0000,30.0000
5,657,3,0.5,300,0.0020692638561704995,4,False,False,1.6464,1.7647,1.6787,0.6957,0.6652,0.6878,231.0880,231.0880,231.0880,31.0000,31.0000,31.0000
6,455,2,0.49,300,0.0024965762178914648,4,False,False,1.7013,1.8126,1.7297,0.6884,0.6597,0.6820,210.8123,210.8123,210.8123,31.0000,31.0000,31.0000
7,103,1,0.44,300,0.0030121305183748843,5,False,False,1.7490,1.8548,1.7745,0.6805,0.6539,0.6750,193.6259,193.6259,193.6259,30.0000,30.0000,30.0000
8,203,4,0.05,300,0.003634149117781824,6,False,False,1.7221,1.8313,1.7490,0.6796,0.6552,0.6754,192.6734,192.6734,192.6734,31.0000,31.0000,31.0000
9,150,4,0.02,300,0.004384617376208487,6,False,False,1.8194,1.9186,1.8406,0.6637,0.6404,0.6611,168.4602,168.4602,168.4602,31.0000,31.0000,31.0000
10,72,3,0.23,300,0.005290060730222237,7,False,False,1.9812,2.0666,1.9962,0.6395,0.6171,0.6330,137.1950,137.1950,137.1950,30.0000,30.0000,30.0000
11,467,3,0.31,300,0.006382482239223045,7,False,False,2.1338,2.2092,2.1441,0.6149,0.5959,0.6113,113.0832,113.0832,113.0832,31.0000,31.0000,31.0000
12,377,0,0.37,300,0.007700493739376462,8,False,False,2.3028,2.3687,2.3094,0.5876,0.5698,0.5859,90.9083,90.9083,90.9083,30.0000,30.0000,30.0000
13,436,2,0.25,300,0.009290680585958758,9,False,False,2.4364,2.4950,2.4393,0.5564,0.5411,0.5588,75.3247,75.3247,75.3247,31.0000,31.0000,31.0000
14,382,2,0.41000000000000003,300,0.011209248221179687,9,False,False,2.6556,2.7021,2.6557,0.5010,0.4847,0.5029,55.2033,55.2033,55.2033,31.0000,31.0000,31.0000
15,326,3,0.09,300,0.013524008765720979,10,False,False,2.7940,2.8331,2.7933,0.4618,0.4493,0.4644,43.6577,43.6577,43.6577,30.0000,30.0000,30.0000
