run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,0.4557,2.0727,2.0058,0.9368,0.6082,0.6157,358.3798,358.3798,358.3798,31.0000,31.0000,31.0000
1,433,2,0.27,103,0.0009765625,1,False,False,0.5460,2.1253,2.0793,0.9221,0.5957,0.6061,238.2188,238.2188,238.2188,29.0000,29.0000,29.0000
2,310,5,0.5,113,0.0011782270808598852,2,False,False,0.5501,2.0590,2.0267,0.9177,0.6038,0.6056,231.6445,231.6445,231.6445,29.0000,29.0000,29.0000
3,300,1,0.44,99,0.001421536311369323,2,False,False,0.5837,2.0859,2.0486,0.9150,0.6010,0.6066,213.8025,213.8025,213.8025,29.0000,29.0000,29.0000
4,1009,2,0.1,148,0.0017150900003645502,3,False,False,0.5381,2.1053,2.0644,0.9254,0.5998,0.6082,225.9979,225.9979,225.9979,27.0000,27.0000,27.0000
5,657,3,0.5,165,0.0020692638561704995,4,False,False,0.5420,2.0378,2.0177,0.9211,0.6050,0.6073,212.3629,212.3629,212.3629,30.0000,30.0000,30.0000
6,455,2,0.49,60,0.0024965762178914648,4,False,False,0.6058,2.1208,2.0735,0.9123,0.5930,0.6036,167.4573,167.4573,167.4573,27.0000,27.0000,27.0000
7,103,1,0.44,84,0.0030121305183748843,5,False,False,0.5870,2.1021,2.0722,0.9171,0.5990,0.6049,167.9689,167.9689,167.9689,27.0000,27.0000,27.0000
8,203,4,0.05,238,0.003634149117781824,6,False,False,0.5084,2.0952,2.0579,0.9349,0.6017,0.6121,181.1642,181.1642,181.1642,30.0000,30.0000,30.0000
9,150,4,0.02,122,0.004384617376208487,6,False,False,0.5725,2.1553,2.1019,0.9261,0.5922,0.6015,152.2408,152.2408,152.2408,24.0000,24.0000,24.0000
10,72,3,0.23,144,0.005290060730222237,7,False,False,0.6002,2.1450,2.1037,0.9226,0.5916,0.5989,134.1084,134.1084,134.1084,25.0000,25.0000,25.0000
11,467,3,0.31,79,0.006382482239223045,7,False,False,0.6969,2.2086,2.1679,0.9083,0.5836,0.5908,109.9010,109.9010,109.9010,22.0000,22.0000,22.0000
12,377,0,0.37,159,0.007700493739376462,8,False,False,0.7645,2.2110,2.1786,0.8941,0.5798,0.5867,100.2030,100.2030,100.2030,26.0000,26.0000,26.0000
13,436,2,0.25,154,0.009290680585958758,9,False,False,0.7427,2.2280,2.1957,0.9080,0.5834,0.5874,88.8824,88.8824,88.8824,23.0000,23.0000,23.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,9,False,False,1.0333,2.3044,2.2650,0.8620,0.5645,0.5660,73.1670,73.1670,73.1670,22.0000,22.0000,22.0000
15,326,3,0.09,115,0.013524008765720979,10,False,False,1.2562,2.4461,2.4252,0.8330,0.5484,0.5485,59.4163,59.4163,59.4163,16.0000,16.0000,16.0000
16,326,2,0.02,124,0.01631677785042834,11,False,False,1.2848,2.5066,2.4723,0.8226,0.5353,0.5411,53.9955,53.9955,53.9955,17.0000,17.0000,17.0000
17,247,2,0.15,240,0.01968626640460739,11,False,False,1.1296,2.4493,2.4168,0.8489,0.5507,0.5593,51.5506,51.5506,51.5506,26.0000,26.0000,26.0000
18,179,1,0.01,50,0.02375156961170491,12,False,False,1.9854,2.7890,2.7681,0.6247,0.4535,0.4543,30.7143,30.7143,30.7143,10.0000,10.0000,10.0000
19,137,5,0.3,235,0.028656376350145975,13,False,False,2.0248,2.7975,2.7599,0.6025,0.4110,0.4174,28.9740,28.9740,28.9740,25.0000,25.0000,25.0000
20,786,2,0.24,144,0.03457404790277603,13,False,False,2.2354,2.8729,2.8388,0.5327,0.3926,0.4045,23.6579,23.6579,23.6579,13.0000,13.0000,13.0000
21,410,1,0.49,188,0.04171374544281356,14,False,False,2.3420,2.9267,2.9003,0.5312,0.3858,0.3925,20.5832,20.5832,20.5832,20.0000,20.0000,20.0000
22,388,0,0.48,59,0.050327822873414196,14,False,False,2.4288,3.0240,2.9916,0.5290,0.4005,0.3989,17.5758,17.5758,17.5758,7.0000,7.0000,7.0000
23,38,2,0.4,176,0.06072074632210035,15,False,False,2.4884,3.1027,3.0724,0.5018,0.3811,0.3788,15.7962,15.7962,15.7962,17.0000,17.0000,17.0000
24,467,2,0.11,75,0.07325985555120318,16,False,False,2.6109,3.2062,3.1757,0.4287,0.3395,0.3395,13.5652,13.5652,13.5652,7.0000,7.0000,7.0000
25,176,4,0.05,210,0.08838834764831845,16,False,False,2.6559,3.3220,3.2964,0.5455,0.3659,0.3690,12.2565,12.2565,12.2565,21.0000,21.0000,21.0000
26,57,4,0.0,85,0.10664094190766783,17,False,False,2.9017,3.4329,3.4154,0.3601,0.3008,0.3085,9.6264,9.6264,9.6264,12.0000,12.0000,12.0000
27,968,3,0.22,102,0.12866277958043645,18,False,False,3.1750,3.5054,3.4890,0.3465,0.2961,0.3041,7.6167,7.6167,7.6167,8.0000,8.0000,8.0000
28,268,4,0.37,225,0.15523222650918542,18,False,False,3.8658,3.9709,3.9605,0.2293,0.2251,0.2228,3.6753,3.6753,3.6753,21.0000,21.0000,21.0000
29,270,0,0.04,187,0.18728838460958516,19,False,False,3.9450,4.0509,4.0412,0.2286,0.2233,0.2218,3.1439,3.1439,3.1439,18.0000,18.0000,18.0000
30,596,0,0.43,195,0.22596428459777515,19,False,False,4.0372,4.1429,4.1335,0.2278,0.2183,0.2182,2.6406,2.6406,2.6406,17.0000,17.0000,17.0000
31,694,3,0.18,230,0.2726269331663144,20,False,False,4.1364,4.2482,4.2407,0.2285,0.2191,0.2203,2.1746,2.1746,2.1746,21.0000,21.0000,21.0000
32,837,4,0.09,187,0.32892563008340914,21,False,False,4.2858,4.3815,4.3760,0.2261,0.2124,0.2125,1.6560,1.6560,1.6560,19.0000,19.0000,19.0000
33,487,0,0.14,112,0.39685026299204973,21,False,False,4.9445,4.9446,4.9445,0.1951,0.1962,0.1957,0.0809,0.0809,0.0809,23.0000,23.0000,23.0000
34,418,5,0.37,188,0.47880164034928685,22,False,False,4.9465,4.9465,4.9464,0.1951,0.1962,0.1957,0.0646,0.0646,0.0646,25.0000,25.0000,25.0000
35,407,5,0.35000000000000003,94,0.577676348436136,23,False,False,4.9512,4.9512,4.9512,0.1951,0.1962,0.1957,0.0701,0.0701,0.0701,22.0000,22.0000,22.0000
36,657,2,0.11,182,0.6969691317244994,23,False,False,4.9539,4.9539,4.9539,0.1951,0.1962,0.1957,0.0310,0.0310,0.0310,15.0000,15.0000,15.0000
37,442,1,0.41000000000000003,215,0.8408964152537145,24,False,False,4.9539,4.9539,4.9539,0.1953,0.1963,0.1958,0.0433,0.0433,0.0433,27.0000,27.0000,27.0000
38,398,4,0.23,292,1.0145453349375229,25,False,False,4.9539,4.9539,4.9539,0.1951,0.1962,0.1957,0.0457,0.0457,0.0457,31.0000,31.0000,31.0000
39,369,4,0.29,98,1.2240535433046547,25,False,False,4.9538,4.9538,4.9538,0.1868,0.1886,0.1888,0.0643,0.0643,0.0643,23.0000,23.0000,23.0000
40,75,4,0.33,67,1.4768261459394993,26,False,False,4.9539,4.9539,4.9539,0.1004,0.1018,0.1052,0.1048,0.1048,0.1048,26.0000,26.0000,26.0000
41,179,0,0.02,177,1.7817974362806772,26,False,False,4.9540,4.9540,4.9540,0.1954,0.1961,0.1957,0.0436,0.0436,0.0436,25.0000,25.0000,25.0000
42,442,4,0.19,159,2.149746679841392,27,False,False,4.9540,4.9540,4.9540,0.1860,0.1845,0.1855,0.0442,0.0442,0.0442,24.0000,24.0000,24.0000
43,111,1,0.22,237,2.5936791093020193,28,False,False,4.9541,4.9541,4.9541,0.1997,0.2009,0.2005,0.0354,0.0354,0.0354,22.0000,22.0000,22.0000
44,242,1,0.45,123,3.1292855968155457,28,False,False,4.9541,4.9541,4.9541,0.2025,0.2021,0.2055,0.0262,0.0262,0.0262,7.0000,7.0000,7.0000
45,107,3,0.21,118,3.7754972507267723,29,False,False,4.9541,4.9541,4.9541,0.1344,0.1344,0.1392,0.0525,0.0525,0.0525,23.0000,23.0000,23.0000
46,150,2,0.2,70,4.555154539026766,30,False,False,4.9541,4.9541,4.9541,0.0508,0.0519,0.0537,0.1014,0.1014,0.1014,26.0000,26.0000,26.0000
47,38,1,0.2,128,5.495814589832352,30,False,False,4.9541,4.9541,4.9541,0.1272,0.1268,0.1301,0.0266,0.0266,0.0266,8.0000,8.0000,8.0000
48,248,1,0.49,92,6.6307252030723465,31,False,False,4.9541,4.9541,4.9541,0.0334,0.0339,0.0327,0.0663,0.0663,0.0663,22.0000,22.0000,22.0000
49,670,0,0.45,89,8.0,31,False,False,4.9541,4.9542,4.9541,0.1032,0.1028,0.1065,0.0222,0.0222,0.0222,0.0000,0.0000,0.0000
