run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,2.2583,2.5954,2.5449,0.4989,0.4451,0.4474,822.3627,822.3627,822.3627,31.0000,31.0000,31.0000
1,433,2,0.27,103,0.0009765625,1,False,False,2.7184,2.8459,2.7836,0.4263,0.3999,0.4067,188.3401,188.3401,188.3401,30.0000,30.0000,30.0000
2,310,5,0.5,113,0.0011782270808598852,2,False,False,2.7958,2.8872,2.8387,0.4187,0.3952,0.3927,147.1778,147.1778,147.1778,30.0000,30.0000,30.0000
3,300,1,0.44,99,0.001421536311369323,2,False,False,2.8474,2.9443,2.8774,0.4093,0.3844,0.3904,127.8207,127.8207,127.8207,29.0000,29.0000,29.0000
4,1009,2,0.1,148,0.0017150900003645502,3,False,False,2.6620,2.7918,2.7409,0.4423,0.4102,0.4106,181.3704,181.3704,181.3704,29.0000,29.0000,29.0000
5,657,3,0.5,165,0.0020692638561704995,4,False,False,2.8177,2.9071,2.8584,0.4186,0.3951,0.3906,122.1925,122.1925,122.1925,30.0000,30.0000,30.0000
6,455,2,0.49,60,0.0024965762178914648,4,False,False,3.1043,3.1715,3.1179,0.3509,0.3341,0.3417,67.9625,67.9625,67.9625,27.0000,27.0000,27.0000
7,103,1,0.44,84,0.0030121305183748843,5,False,False,3.0173,3.0773,3.0324,0.3614,0.3459,0.3574,74.4651,74.4651,74.4651,26.0000,26.0000,26.0000
8,203,4,0.05,238,0.003634149117781824,6,False,False,2.8440,2.9082,2.8704,0.4070,0.3865,0.3962,97.5879,97.5879,97.5879,30.0000,30.0000,30.0000
9,150,4,0.02,122,0.004384617376208487,6,False,False,2.9906,3.0430,2.9979,0.3656,0.3571,0.3624,74.5569,74.5569,74.5569,24.0000,24.0000,24.0000
10,72,3,0.23,144,0.005290060730222237,7,False,False,3.0278,3.0744,3.0346,0.3533,0.3427,0.3500,62.4018,62.4018,62.4018,25.0000,25.0000,25.0000
11,467,3,0.31,79,0.006382482239223045,7,False,False,3.1535,3.1967,3.1435,0.3295,0.3202,0.3298,46.4072,46.4072,46.4072,21.0000,21.0000,21.0000
