run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.8318,1.2393,1.1349,0.8273,0.7445,0.7649,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,False,3.4613,3.4613,3.4613,0.2337,0.2337,0.2337,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,True,3.4487,3.4487,3.4487,0.2347,0.2347,0.2347,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,False,False,0.5258,1.1492,1.0472,0.8953,0.7632,0.7820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,True,False,0.4010,0.4010,0.4010,0.9896,0.9896,0.9896,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,True,True,0.3439,0.3439,0.3439,0.9943,0.9943,0.9943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,2,False,False,1.4243,1.8836,1.8873,0.7184,0.6344,0.6589,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,2,True,False,3.5724,3.5724,3.5724,0.2111,0.2111,0.2111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,2,True,True,3.5333,3.5333,3.5333,0.2348,0.2348,0.2348,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,2,False,False,0.5591,1.1435,1.0578,0.8981,0.7602,0.7805,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,2,True,False,2.3467,2.3467,2.3467,0.5727,0.5727,0.5727,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,2,True,True,2.2404,2.2404,2.2404,0.6064,0.6064,0.6064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,3,False,False,0.5475,1.1869,1.0845,0.8872,0.7563,0.7730,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
