run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,300,0.0,1,False,False,1.1236,1.4710,1.3770,0.7638,0.7030,0.7224,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,300,0.0,1,True,False,3.6989,3.6989,3.6989,0.2069,0.2069,0.2069,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,300,0.0,1,True,True,,,,,,,,,,,,
1,433,2,0.27,300,0.0009765625,1,False,False,0.7326,1.2776,1.1824,0.8452,0.7369,0.7491,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,300,0.0009765625,1,True,False,1.3217,1.3217,1.3217,0.7443,0.7443,0.7443,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,300,0.0009765625,1,True,True,,,,,,,,,,,,
2,310,5,0.5,300,0.0011782270808598852,2,False,False,1.4727,1.9245,1.7944,0.7147,0.6514,0.6675,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,300,0.0011782270808598852,2,True,False,3.6775,3.6775,3.6775,0.2038,0.2038,0.2038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,300,0.0011782270808598852,2,True,True,,,,,,,,,,,,
3,300,1,0.44,300,0.001421536311369323,2,False,False,0.7087,1.2704,1.1781,0.8545,0.7360,0.7513,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,300,0.001421536311369323,2,True,False,3.0367,3.0367,3.0367,0.3414,0.3414,0.3414,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,300,0.001421536311369323,2,True,True,,,,,,,,,,,,
4,1009,2,0.1,300,0.0017150900003645502,3,False,False,0.7328,1.3442,1.2421,0.8448,0.7267,0.7433,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,300,0.0017150900003645502,3,True,False,0.2560,0.2560,0.2560,0.9141,0.9141,0.9141,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,300,0.0017150900003645502,3,True,True,,,,,,,,,,,,
5,657,3,0.5,300,0.0020692638561704995,4,False,False,0.6352,1.2767,1.1708,0.8621,0.7393,0.7560,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,300,0.0020692638561704995,4,True,False,2.3892,2.3892,2.3892,0.5681,0.5681,0.5681,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,300,0.0020692638561704995,4,True,True,,,,,,,,,,,,
6,455,2,0.49,300,0.0024965762178914648,4,False,False,0.6641,1.2393,1.1409,0.8554,0.7407,0.7540,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,300,0.0024965762178914648,4,True,False,2.6606,2.6606,2.6606,0.4826,0.4826,0.4826,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,300,0.0024965762178914648,4,True,True,,,,,,,,,,,,
7,103,1,0.44,300,0.0030121305183748843,5,False,False,0.9828,1.3362,1.2462,0.7927,0.7194,0.7365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,300,0.0030121305183748843,5,True,False,3.5741,3.5741,3.5741,0.2177,0.2177,0.2177,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,300,0.0030121305183748843,5,True,True,,,,,,,,,,,,
8,203,4,0.05,300,0.003634149117781824,6,False,False,1.0041,1.4794,1.3748,0.7964,0.7027,0.7216,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,300,0.003634149117781824,6,True,False,0.8684,0.8684,0.8684,0.8272,0.8272,0.8272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,300,0.003634149117781824,6,True,True,,,,,,,,,,,,
9,150,4,0.02,300,0.004384617376208487,6,False,False,1.0346,1.5786,1.4461,0.7880,0.6899,0.7119,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,300,0.004384617376208487,6,True,False,1.0101,1.0101,1.0101,0.8036,0.8036,0.8036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,300,0.004384617376208487,6,True,True,,,,,,,,,,,,
10,72,3,0.23,300,0.005290060730222237,7,False,False,0.9597,1.4544,1.3459,0.8103,0.7103,0.7319,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,300,0.005290060730222237,7,True,False,3.3910,3.3910,3.3910,0.2685,0.2685,0.2685,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,300,0.005290060730222237,7,True,True,,,,,,,,,,,,
11,467,3,0.31,300,0.006382482239223045,7,False,False,0.7242,1.3026,1.2058,0.8511,0.7368,0.7472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,300,0.006382482239223045,7,True,False,1.5646,1.5646,1.5646,0.7031,0.7031,0.7031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
