run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,1.2636,2.7110,2.6532,0.7625,0.5327,0.5378,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,212,0.0,1,True,False,0.6530,0.6530,0.6530,0.8126,0.8126,0.8126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,212,0.0,1,True,True,,,,,,,,,,,,
1,433,2,0.27,103,0.0009765625,1,False,False,1.0025,2.2278,2.1888,0.8173,0.5493,0.5533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,103,0.0009765625,1,True,False,0.2708,0.2708,0.2708,0.9142,0.9142,0.9142,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,103,0.0009765625,1,True,True,,,,,,,,,,,,
2,310,5,0.5,113,0.0011782270808598852,2,False,False,2.4705,2.7847,2.7455,0.3925,0.3687,0.3685,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,113,0.0011782270808598852,2,True,False,2.7190,2.7190,2.7190,0.2941,0.2941,0.2941,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,113,0.0011782270808598852,2,True,True,,,,,,,,,,,,
3,300,1,0.44,99,0.001421536311369323,2,False,False,1.0258,2.1369,2.1006,0.8197,0.5672,0.5722,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,99,0.001421536311369323,2,True,False,0.3786,0.3786,0.3786,0.9048,0.9048,0.9048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,99,0.001421536311369323,2,True,True,,,,,,,,,,,,
4,1009,2,0.1,148,0.0017150900003645502,3,False,False,1.7999,2.4282,2.4001,0.6257,0.4834,0.4870,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,148,0.0017150900003645502,3,True,False,0.2434,0.2434,0.2434,0.9147,0.9147,0.9147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,148,0.0017150900003645502,3,True,True,,,,,,,,,,,,
5,657,3,0.5,165,0.0020692638561704995,4,False,False,1.0063,2.0458,2.0167,0.8217,0.5741,0.5664,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,165,0.0020692638561704995,4,True,False,0.3160,0.3160,0.3160,0.9103,0.9103,0.9103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,165,0.0020692638561704995,4,True,True,,,,,,,,,,,,
6,455,2,0.49,60,0.0024965762178914648,4,False,False,0.8914,2.0724,2.0092,0.8465,0.5772,0.5790,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,60,0.0024965762178914648,4,True,False,0.6868,0.6868,0.6868,0.8641,0.8641,0.8641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,60,0.0024965762178914648,4,True,True,,,,,,,,,,,,
7,103,1,0.44,84,0.0030121305183748843,5,False,False,0.9589,2.1157,2.0874,0.8278,0.5747,0.5750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,84,0.0030121305183748843,5,True,False,0.5839,0.5839,0.5839,0.8693,0.8693,0.8693,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,84,0.0030121305183748843,5,True,True,,,,,,,,,,,,
8,203,4,0.05,238,0.003634149117781824,6,False,False,1.5392,2.5584,2.5423,0.6788,0.4869,0.4802,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,238,0.003634149117781824,6,True,False,0.2533,0.2533,0.2533,0.9141,0.9141,0.9141,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,238,0.003634149117781824,6,True,True,,,,,,,,,,,,
9,150,4,0.02,122,0.004384617376208487,6,False,False,2.1429,2.6761,2.6285,0.5309,0.4320,0.4332,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,122,0.004384617376208487,6,True,False,0.2720,0.2720,0.2720,0.9136,0.9136,0.9136,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,122,0.004384617376208487,6,True,True,,,,,,,,,,,,
