run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,2.2523,2.6012,2.5549,0.5001,0.4460,0.4469,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,212,0.0,1,True,False,3.7335,3.7335,3.7335,0.2010,0.2010,0.2010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,212,0.0,1,True,True,,,,,,,,,,,,
1,433,2,0.27,103,0.0009765625,1,False,False,1.1939,2.1848,2.1534,0.8136,0.5354,0.5408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,103,0.0009765625,1,True,False,2.1060,2.1060,2.1060,0.6628,0.6628,0.6628,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,103,0.0009765625,1,True,True,,,,,,,,,,,,
2,310,5,0.5,113,0.0011782270808598852,2,False,False,2.5831,2.6838,2.6698,0.3976,0.3870,0.3862,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,113,0.0011782270808598852,2,True,False,3.8826,3.8826,3.8826,0.1942,0.1942,0.1942,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,113,0.0011782270808598852,2,True,True,,,,,,,,,,,,
3,300,1,0.44,99,0.001421536311369323,2,False,False,1.8737,2.2721,2.2546,0.6559,0.5212,0.5222,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,99,0.001421536311369323,2,True,False,3.4631,3.4631,3.4631,0.2075,0.2075,0.2075,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,99,0.001421536311369323,2,True,True,,,,,,,,,,,,
4,1009,2,0.1,148,0.0017150900003645502,3,False,False,0.8422,2.3590,2.3495,0.8596,0.5268,0.5274,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,148,0.0017150900003645502,3,True,False,0.2514,0.2514,0.2514,0.9142,0.9142,0.9142,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,148,0.0017150900003645502,3,True,True,,,,,,,,,,,,
5,657,3,0.5,165,0.0020692638561704995,4,False,False,1.1926,2.0328,1.9973,0.8102,0.5587,0.5595,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,165,0.0020692638561704995,4,True,False,2.8551,2.8551,2.8551,0.4472,0.4472,0.4472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,165,0.0020692638561704995,4,True,True,,,,,,,,,,,,
6,455,2,0.49,60,0.0024965762178914648,4,False,False,2.0661,2.2907,2.2642,0.5519,0.4971,0.4968,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,60,0.0024965762178914648,4,True,False,3.6542,3.6542,3.6542,0.1955,0.1955,0.1955,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,60,0.0024965762178914648,4,True,True,,,,,,,,,,,,
7,103,1,0.44,84,0.0030121305183748843,5,False,False,2.3524,2.4900,2.4646,0.4962,0.4606,0.4612,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,84,0.0030121305183748843,5,True,False,3.7828,3.7828,3.7828,0.1943,0.1943,0.1943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,84,0.0030121305183748843,5,True,True,,,,,,,,,,,,
8,203,4,0.05,238,0.003634149117781824,6,False,False,1.9511,2.5194,2.4954,0.5810,0.4585,0.4584,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,238,0.003634149117781824,6,True,False,0.5299,0.5299,0.5299,0.9002,0.9002,0.9002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,238,0.003634149117781824,6,True,True,,,,,,,,,,,,
9,150,4,0.02,122,0.004384617376208487,6,False,False,2.0964,2.6528,2.6044,0.5257,0.4323,0.4328,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,122,0.004384617376208487,6,True,False,1.1708,1.1708,1.1708,0.7906,0.7906,0.7906,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,122,0.004384617376208487,6,True,True,,,,,,,,,,,,
10,72,3,0.23,144,0.005290060730222237,7,False,False,2.0348,2.2930,2.2888,0.5385,0.4836,0.4766,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,144,0.005290060730222237,7,True,False,3.6812,3.6812,3.6812,0.2141,0.2141,0.2141,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,144,0.005290060730222237,7,True,True,,,,,,,,,,,,
11,467,3,0.31,79,0.006382482239223045,7,False,False,1.2303,2.0980,2.0759,0.7859,0.5411,0.5463,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,79,0.006382482239223045,7,True,False,2.5045,2.5045,2.5045,0.5637,0.5637,0.5637,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,79,0.006382482239223045,7,True,True,,,,,,,,,,,,
12,377,0,0.37,159,0.007700493739376462,8,False,False,2.4588,2.6799,2.6303,0.4661,0.4240,0.4232,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,159,0.007700493739376462,8,True,False,3.8165,3.8165,3.8165,0.1954,0.1954,0.1954,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,159,0.007700493739376462,8,True,True,,,,,,,,,,,,
13,436,2,0.25,154,0.009290680585958758,9,False,False,1.0559,2.1738,2.1418,0.8323,0.5414,0.5375,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,154,0.009290680585958758,9,True,False,1.4929,1.4929,1.4929,0.8134,0.8134,0.8134,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,154,0.009290680585958758,9,True,True,,,,,,,,,,,,
14,382,2,0.41000000000000003,148,0.011209248221179687,9,False,False,1.2380,2.0733,2.0531,0.7997,0.5508,0.5505,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,9,True,False,3.0398,3.0398,3.0398,0.3345,0.3345,0.3345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,9,True,True,,,,,,,,,,,,
15,326,3,0.09,115,0.013524008765720979,10,False,False,1.6601,2.3994,2.3442,0.6458,0.4871,0.4937,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,115,0.013524008765720979,10,True,False,0.5869,0.5869,0.5869,0.9024,0.9024,0.9024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,115,0.013524008765720979,10,True,True,,,,,,,,,,,,
16,326,2,0.02,124,0.01631677785042834,11,False,False,1.7808,2.4434,2.4084,0.6365,0.4840,0.4816,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,326,2,0.02,124,0.01631677785042834,11,True,False,0.2869,0.2869,0.2869,0.9137,0.9137,0.9137,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,326,2,0.02,124,0.01631677785042834,11,True,True,,,,,,,,,,,,
17,247,2,0.15,240,0.01968626640460739,11,False,False,1.0400,2.3191,2.2850,0.8200,0.5280,0.5262,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,247,2,0.15,240,0.01968626640460739,11,True,False,0.9567,0.9567,0.9567,0.8578,0.8578,0.8578,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,247,2,0.15,240,0.01968626640460739,11,True,True,,,,,,,,,,,,
18,179,1,0.01,50,0.02375156961170491,12,False,False,2.0171,2.5372,2.5067,0.5670,0.4582,0.4619,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,179,1,0.01,50,0.02375156961170491,12,True,False,2.8714,2.8714,2.8714,0.3639,0.3639,0.3639,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,179,1,0.01,50,0.02375156961170491,12,True,True,,,,,,,,,,,,
19,137,5,0.3,235,0.028656376350145975,13,False,False,2.4226,2.7865,2.7343,0.4212,0.4023,0.4050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,137,5,0.3,235,0.028656376350145975,13,True,False,3.9003,3.9003,3.9003,0.1942,0.1942,0.1942,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,137,5,0.3,235,0.028656376350145975,13,True,True,,,,,,,,,,,,
20,786,2,0.24,144,0.03457404790277603,13,False,False,0.9566,2.2189,2.2048,0.8561,0.5395,0.5382,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,786,2,0.24,144,0.03457404790277603,13,True,False,0.4241,0.4241,0.4241,0.9129,0.9129,0.9129,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,786,2,0.24,144,0.03457404790277603,13,True,True,,,,,,,,,,,,
21,410,1,0.49,188,0.04171374544281356,14,False,False,1.5835,2.1924,2.1757,0.7766,0.5502,0.5471,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,410,1,0.49,188,0.04171374544281356,14,True,False,3.1401,3.1401,3.1401,0.2782,0.2782,0.2782,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,410,1,0.49,188,0.04171374544281356,14,True,True,,,,,,,,,,,,
22,388,0,0.48,59,0.050327822873414196,14,False,False,2.8905,3.0038,2.9293,0.3827,0.3629,0.3702,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,388,0,0.48,59,0.050327822873414196,14,True,False,3.9104,3.9104,3.9104,0.1942,0.1942,0.1942,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
