run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,3.4095,3.4852,3.4270,0.2573,0.2621,0.2590,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
1,433,2,0.27,768,0.0009765625,1,False,False,3.4646,3.5269,3.4691,0.2561,0.2608,0.2582,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
2,310,5,0.5,768,0.0011782270808598852,2,False,False,2.5370,2.6248,2.5708,0.4301,0.4191,0.4223,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
3,300,1,0.44,768,0.001421536311369323,2,False,False,2.5002,2.5939,2.5364,0.4351,0.4249,0.4262,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
4,1009,2,0.1,768,0.0017150900003645502,3,False,False,1.8798,2.0917,1.9815,0.5838,0.5540,0.5653,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
5,657,3,0.5,768,0.0020692638561704995,4,False,False,1.8840,2.0130,1.9298,0.6025,0.5795,0.5929,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
6,455,2,0.49,768,0.0024965762178914648,4,False,False,1.8789,2.0102,1.9279,0.6033,0.5792,0.5891,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
7,103,1,0.44,768,0.0030121305183748843,5,False,False,1.6215,1.7776,1.6754,0.6610,0.6297,0.6482,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
8,203,4,0.05,768,0.003634149117781824,6,False,False,1.1273,1.5159,1.3887,0.7668,0.6953,0.7240,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
9,150,4,0.02,768,0.004384617376208487,6,False,False,1.1323,1.5517,1.4277,0.7630,0.6910,0.7150,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
10,72,3,0.23,768,0.005290060730222237,7,False,False,1.2048,1.4666,1.3483,0.7539,0.7037,0.7229,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
11,467,3,0.31,768,0.006382482239223045,7,False,False,1.2688,1.4969,1.3809,0.7404,0.6962,0.7162,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
12,377,0,0.37,768,0.007700493739376462,8,False,False,1.2324,1.4577,1.3505,0.7498,0.7063,0.7261,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
13,436,2,0.25,768,0.009290680585958758,9,False,False,1.0700,1.3585,1.2586,0.7797,0.7246,0.7450,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,9,False,False,1.1989,1.4193,1.3226,0.7536,0.7098,0.7350,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
15,326,3,0.09,768,0.013524008765720979,10,False,False,0.8791,1.3276,1.2228,0.8153,0.7285,0.7506,0.0000,0.0000,0.0000,10.0000,10.0000,10.0000
16,326,2,0.02,768,0.01631677785042834,11,False,False,0.9060,1.3446,1.2394,0.8140,0.7286,0.7468,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
17,247,2,0.15,768,0.01968626640460739,11,False,False,0.8968,1.2982,1.2053,0.8138,0.7375,0.7513,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
18,179,1,0.01,768,0.02375156961170491,12,False,False,0.9078,1.3402,1.2279,0.8138,0.7281,0.7502,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
19,137,5,0.3,768,0.028656376350145975,13,False,False,0.9472,1.2712,1.1817,0.8037,0.7413,0.7519,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
20,786,2,0.24,768,0.03457404790277603,13,False,False,0.8924,1.2641,1.1731,0.8149,0.7440,0.7543,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
21,410,1,0.49,768,0.04171374544281356,14,False,False,1.0727,1.3304,1.2286,0.7786,0.7290,0.7455,0.0000,0.0000,0.0000,14.0000,14.0000,14.0000
22,388,0,0.48,768,0.050327822873414196,14,False,False,1.0618,1.3229,1.2221,0.7804,0.7311,0.7464,0.0000,0.0000,0.0000,14.0000,14.0000,14.0000
23,38,2,0.4,768,0.06072074632210035,15,False,False,0.9656,1.2770,1.1725,0.7980,0.7393,0.7558,0.0000,0.0000,0.0000,15.0000,15.0000,15.0000
24,467,2,0.11,768,0.07325985555120318,16,False,False,0.8565,1.2644,1.1569,0.8221,0.7424,0.7589,0.0000,0.0000,0.0000,16.0000,16.0000,16.0000
25,176,4,0.05,768,0.08838834764831845,16,False,False,0.8260,1.2743,1.1643,0.8277,0.7409,0.7572,0.0000,0.0000,0.0000,16.0000,16.0000,16.0000
26,57,4,0.0,768,0.10664094190766783,17,False,False,0.8404,1.2715,1.1636,0.8268,0.7393,0.7579,0.0000,0.0000,0.0000,17.0000,17.0000,17.0000
27,968,3,0.22,768,0.12866277958043645,18,False,False,0.8399,1.2475,1.1391,0.8242,0.7454,0.7619,0.0000,0.0000,0.0000,18.0000,18.0000,18.0000
28,268,4,0.37,768,0.15523222650918542,18,False,False,0.8914,1.2657,1.1572,0.8125,0.7427,0.7591,0.0000,0.0000,0.0000,18.0000,18.0000,18.0000
29,270,0,0.04,768,0.18728838460958516,19,False,False,0.8003,1.2539,1.1436,0.8332,0.7419,0.7641,0.0000,0.0000,0.0000,19.0000,19.0000,19.0000
30,596,0,0.43,768,0.22596428459777515,19,False,False,0.9658,1.2791,1.1717,0.8005,0.7355,0.7544,0.0000,0.0000,0.0000,19.0000,19.0000,19.0000
31,694,3,0.18,768,0.2726269331663144,20,False,False,0.8079,1.2416,1.1349,0.8307,0.7475,0.7616,0.0000,0.0000,0.0000,20.0000,20.0000,20.0000
32,837,4,0.09,768,0.32892563008340914,21,False,False,0.7961,1.2375,1.1387,0.8331,0.7451,0.7635,0.0000,0.0000,0.0000,21.0000,21.0000,21.0000
33,487,0,0.14,768,0.39685026299204973,21,False,False,0.7990,1.2327,1.1341,0.8318,0.7476,0.7681,0.0000,0.0000,0.0000,21.0000,21.0000,21.0000
34,418,5,0.37,768,0.47880164034928685,22,False,False,0.8915,1.2584,1.1491,0.8130,0.7446,0.7597,0.0000,0.0000,0.0000,22.0000,22.0000,22.0000
35,407,5,0.35000000000000003,768,0.577676348436136,23,False,False,0.9160,1.2529,1.1462,0.8093,0.7441,0.7641,0.0000,0.0000,0.0000,23.0000,23.0000,23.0000
36,657,2,0.11,768,0.6969691317244994,23,False,False,0.8236,1.2384,1.1305,0.8284,0.7478,0.7652,0.0000,0.0000,0.0000,23.0000,23.0000,23.0000
37,442,1,0.41000000000000003,768,0.8408964152537145,24,False,False,0.9366,1.2648,1.1613,0.8045,0.7405,0.7588,0.0000,0.0000,0.0000,24.0000,24.0000,24.0000
38,398,4,0.23,768,1.0145453349375229,25,False,False,0.8698,1.2338,1.1339,0.8180,0.7487,0.7635,0.0000,0.0000,0.0000,25.0000,25.0000,25.0000
39,369,4,0.29,768,1.2240535433046547,25,False,False,0.8391,1.2386,1.1300,0.8227,0.7472,0.7664,0.0000,0.0000,0.0000,25.0000,25.0000,25.0000
40,75,4,0.33,768,1.4768261459394993,26,False,False,0.8795,1.2467,1.1383,0.8155,0.7434,0.7633,0.0000,0.0000,0.0000,26.0000,26.0000,26.0000
