run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,300,0.0,1,False,False,3.0756,3.1254,3.0786,0.2809,0.2759,0.2790,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
1,433,2,0.27,300,0.0009765625,1,False,False,3.1006,3.1438,3.1010,0.2809,0.2760,0.2792,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
2,310,5,0.5,300,0.0011782270808598852,2,False,False,2.6706,2.7228,2.6898,0.3971,0.3916,0.3965,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
3,300,1,0.44,300,0.001421536311369323,2,False,False,2.6373,2.6968,2.6593,0.4136,0.4069,0.4091,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
4,1009,2,0.1,300,0.0017150900003645502,3,False,False,2.1209,2.2828,2.1954,0.5523,0.5282,0.5416,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
5,657,3,0.5,300,0.0020692638561704995,4,False,False,2.1451,2.2379,2.1762,0.5534,0.5351,0.5472,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
6,455,2,0.49,300,0.0024965762178914648,4,False,False,2.1362,2.2306,2.1681,0.5554,0.5365,0.5488,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
7,103,1,0.44,300,0.0030121305183748843,5,False,False,1.8962,2.0139,1.9380,0.6175,0.5956,0.6110,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
8,203,4,0.05,300,0.003634149117781824,6,False,False,1.4903,1.7289,1.6313,0.6881,0.6446,0.6698,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
9,150,4,0.02,300,0.004384617376208487,6,False,False,1.4732,1.7330,1.6301,0.6910,0.6452,0.6732,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
10,72,3,0.23,300,0.005290060730222237,7,False,False,1.5243,1.7118,1.6214,0.6843,0.6537,0.6760,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
11,467,3,0.31,300,0.006382482239223045,7,False,False,1.5812,1.7474,1.6595,0.6766,0.6483,0.6694,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
12,377,0,0.37,300,0.007700493739376462,8,False,False,1.5504,1.7122,1.6387,0.6843,0.6541,0.6744,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
13,436,2,0.25,300,0.009290680585958758,9,False,False,1.4046,1.6070,1.5335,0.7129,0.6749,0.6936,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
14,382,2,0.41000000000000003,300,0.011209248221179687,9,False,False,1.5244,1.6795,1.6092,0.6917,0.6610,0.6825,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
15,326,3,0.09,300,0.013524008765720979,10,False,False,1.2521,1.5648,1.4668,0.7386,0.6851,0.7048,0.0000,0.0000,0.0000,10.0000,10.0000,10.0000
16,326,2,0.02,300,0.01631677785042834,11,False,False,1.2119,1.5633,1.4670,0.7466,0.6877,0.7075,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
17,247,2,0.15,300,0.01968626640460739,11,False,False,1.2611,1.5459,1.4541,0.7394,0.6897,0.7066,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
18,179,1,0.01,300,0.02375156961170491,12,False,False,1.1805,1.5483,1.4510,0.7517,0.6900,0.7085,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
19,137,5,0.3,300,0.028656376350145975,13,False,False,1.2915,1.5347,1.4498,0.7341,0.6960,0.7110,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
20,786,2,0.24,300,0.03457404790277603,13,False,False,1.2508,1.5195,1.4313,0.7410,0.6979,0.7135,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
21,410,1,0.49,300,0.04171374544281356,14,False,False,1.4139,1.5993,1.5206,0.7154,0.6836,0.6995,0.0000,0.0000,0.0000,14.0000,14.0000,14.0000
22,388,0,0.48,300,0.050327822873414196,14,False,False,1.4084,1.5960,1.5186,0.7163,0.6847,0.6985,0.0000,0.0000,0.0000,14.0000,14.0000,14.0000
23,38,2,0.4,300,0.06072074632210035,15,False,False,1.3359,1.5524,1.4728,0.7273,0.6887,0.7083,0.0000,0.0000,0.0000,15.0000,15.0000,15.0000
24,467,2,0.11,300,0.07325985555120318,16,False,False,1.1329,1.4910,1.3923,0.7619,0.7021,0.7198,0.0000,0.0000,0.0000,16.0000,16.0000,16.0000
25,176,4,0.05,300,0.08838834764831845,16,False,False,1.1334,1.5031,1.4062,0.7618,0.7016,0.7185,0.0000,0.0000,0.0000,16.0000,16.0000,16.0000
26,57,4,0.0,300,0.10664094190766783,17,False,False,1.1386,1.5177,1.4105,0.7601,0.6963,0.7202,0.0000,0.0000,0.0000,17.0000,17.0000,17.0000
27,968,3,0.22,300,0.12866277958043645,18,False,False,1.1756,1.4867,1.3918,0.7555,0.7021,0.7210,0.0000,0.0000,0.0000,18.0000,18.0000,18.0000
28,268,4,0.37,300,0.15523222650918542,18,False,False,1.2611,1.5180,1.4286,0.7420,0.6962,0.7155,0.0000,0.0000,0.0000,18.0000,18.0000,18.0000
29,270,0,0.04,300,0.18728838460958516,19,False,False,1.1183,1.5018,1.3953,0.7632,0.7005,0.7195,0.0000,0.0000,0.0000,19.0000,19.0000,19.0000
30,596,0,0.43,300,0.22596428459777515,19,False,False,1.3087,1.5362,1.4491,0.7339,0.6934,0.7127,0.0000,0.0000,0.0000,19.0000,19.0000,19.0000
31,694,3,0.18,300,0.2726269331663144,20,False,False,1.1485,1.4770,1.3820,0.7598,0.7014,0.7224,0.0000,0.0000,0.0000,20.0000,20.0000,20.0000
32,837,4,0.09,300,0.32892563008340914,21,False,False,1.1187,1.4804,1.3847,0.7655,0.7030,0.7218,0.0000,0.0000,0.0000,21.0000,21.0000,21.0000
33,487,0,0.14,300,0.39685026299204973,21,False,False,1.1279,1.4757,1.3801,0.7631,0.7035,0.7220,0.0000,0.0000,0.0000,21.0000,21.0000,21.0000
34,418,5,0.37,300,0.47880164034928685,22,False,False,1.2434,1.5071,1.4181,0.7447,0.6987,0.7189,0.0000,0.0000,0.0000,22.0000,22.0000,22.0000
35,407,5,0.35000000000000003,300,0.577676348436136,23,False,False,1.2311,1.5014,1.4143,0.7457,0.6983,0.7178,0.0000,0.0000,0.0000,23.0000,23.0000,23.0000
36,657,2,0.11,300,0.6969691317244994,23,False,False,1.0877,1.4791,1.3794,0.7686,0.7026,0.7231,0.0000,0.0000,0.0000,23.0000,23.0000,23.0000
37,442,1,0.41000000000000003,300,0.8408964152537145,24,False,False,1.2748,1.5190,1.4339,0.7408,0.6961,0.7143,0.0000,0.0000,0.0000,24.0000,24.0000,24.0000
38,398,4,0.23,300,1.0145453349375229,25,False,False,1.1682,1.4758,1.3829,0.7563,0.7019,0.7216,0.0000,0.0000,0.0000,25.0000,25.0000,25.0000
39,369,4,0.29,300,1.2240535433046547,25,False,False,1.2012,1.4860,1.3953,0.7504,0.7015,0.7200,0.0000,0.0000,0.0000,25.0000,25.0000,25.0000
40,75,4,0.33,300,1.4768261459394993,26,False,False,1.2209,1.4953,1.4044,0.7475,0.6991,0.7174,0.0000,0.0000,0.0000,26.0000,26.0000,26.0000
41,179,0,0.02,300,1.7817974362806772,26,False,False,1.1244,1.4950,1.3959,0.7632,0.7003,0.7189,0.0000,0.0000,0.0000,26.0000,26.0000,26.0000
42,442,4,0.19,300,2.149746679841392,27,False,False,1.1493,1.4720,1.3773,0.7593,0.7021,0.7220,0.0000,0.0000,0.0000,27.0000,27.0000,27.0000
43,111,1,0.22,300,2.5936791093020193,28,False,False,1.1578,1.4742,1.3814,0.7575,0.7019,0.7223,0.0000,0.0000,0.0000,28.0000,28.0000,28.0000
44,242,1,0.45,300,3.1292855968155457,28,False,False,1.3030,1.5343,1.4514,0.7353,0.6925,0.7122,0.0000,0.0000,0.0000,28.0000,28.0000,28.0000
45,107,3,0.21,300,3.7754972507267723,29,False,False,1.1456,1.4712,1.3800,0.7595,0.7015,0.7226,0.0000,0.0000,0.0000,29.0000,29.0000,29.0000
46,150,2,0.2,300,4.555154539026766,30,False,False,1.1420,1.4734,1.3785,0.7606,0.7029,0.7235,0.0000,0.0000,0.0000,30.0000,30.0000,30.0000
47,38,1,0.2,300,5.495814589832352,30,False,False,1.1420,1.4734,1.3785,0.7606,0.7029,0.7235,0.0000,0.0000,0.0000,30.0000,30.0000,30.0000
48,248,1,0.49,300,6.6307252030723465,31,False,False,1.3352,1.5528,1.4725,0.7313,0.6903,0.7092,0.0000,0.0000,0.0000,31.0000,31.0000,31.0000
49,670,0,0.45,300,8.0,31,False,False,1.3021,1.5338,1.4513,0.7369,0.6942,0.7126,0.0000,0.0000,0.0000,31.0000,31.0000,31.0000
