run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,3.2229,3.7765,3.7759,0.2601,0.2491,0.2487,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
1,433,2,0.27,103,0.0009765625,1,False,False,3.1696,3.7110,3.7045,0.2800,0.2595,0.2621,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
2,310,5,0.5,113,0.0011782270808598852,2,False,False,2.0354,2.9188,2.8949,0.5284,0.4154,0.4210,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
3,300,1,0.44,99,0.001421536311369323,2,False,False,2.1024,3.2139,3.1591,0.5081,0.4057,0.4097,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
4,1009,2,0.1,148,0.0017150900003645502,3,False,False,2.3841,3.4698,3.4626,0.5444,0.4318,0.4232,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
5,657,3,0.5,165,0.0020692638561704995,4,False,False,1.2703,2.4833,2.4588,0.7767,0.5383,0.5369,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
6,455,2,0.49,60,0.0024965762178914648,4,False,False,1.4208,2.4035,2.3667,0.7388,0.5294,0.5361,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
7,103,1,0.44,84,0.0030121305183748843,5,False,False,1.3662,2.3951,2.3711,0.7407,0.5349,0.5389,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
8,203,4,0.05,238,0.003634149117781824,6,False,False,1.8337,3.0172,2.9853,0.6454,0.4790,0.4787,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
9,150,4,0.02,122,0.004384617376208487,6,False,False,1.8790,3.1210,3.0163,0.6328,0.4731,0.4704,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
10,72,3,0.23,144,0.005290060730222237,7,False,False,1.3875,2.7872,2.7666,0.7348,0.5205,0.5159,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
11,467,3,0.31,79,0.006382482239223045,7,False,False,1.4590,2.5207,2.4538,0.7181,0.5221,0.5286,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
12,377,0,0.37,159,0.007700493739376462,8,False,False,1.1336,2.4194,2.4130,0.7843,0.5408,0.5455,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
13,436,2,0.25,154,0.009290680585958758,9,False,False,1.2747,2.5901,2.5506,0.7488,0.5286,0.5304,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,9,False,False,1.1068,2.3609,2.3392,0.7956,0.5542,0.5543,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
15,326,3,0.09,115,0.013524008765720979,10,False,False,1.5266,2.7687,2.7627,0.6930,0.4969,0.4987,0.0000,0.0000,0.0000,10.0000,10.0000,10.0000
16,326,2,0.02,124,0.01631677785042834,11,False,False,1.6461,2.8500,2.8293,0.6702,0.4961,0.4934,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
17,247,2,0.15,240,0.01968626640460739,11,False,False,1.2622,2.8166,2.7884,0.7547,0.5173,0.5252,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
18,179,1,0.01,50,0.02375156961170491,12,False,False,1.7663,2.6884,2.6702,0.6395,0.4916,0.4897,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
19,137,5,0.3,235,0.028656376350145975,13,False,False,1.1354,2.4720,2.4586,0.7817,0.5449,0.5471,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
20,786,2,0.24,144,0.03457404790277603,13,False,False,1.1792,2.5099,2.4730,0.7697,0.5330,0.5422,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
21,410,1,0.49,188,0.04171374544281356,14,False,False,0.9170,2.1922,2.1411,0.8372,0.5669,0.5768,0.0000,0.0000,0.0000,14.0000,14.0000,14.0000
22,388,0,0.48,59,0.050327822873414196,14,False,False,1.0501,2.2124,2.1603,0.8104,0.5635,0.5621,0.0000,0.0000,0.0000,14.0000,14.0000,14.0000
23,38,2,0.4,176,0.06072074632210035,15,False,False,1.0635,2.2836,2.2453,0.8007,0.5543,0.5601,0.0000,0.0000,0.0000,15.0000,15.0000,15.0000
24,467,2,0.11,75,0.07325985555120318,16,False,False,1.4566,2.5611,2.5120,0.7047,0.5269,0.5219,0.0000,0.0000,0.0000,16.0000,16.0000,16.0000
25,176,4,0.05,210,0.08838834764831845,16,False,False,1.5835,2.7916,2.7455,0.6870,0.4993,0.5066,0.0000,0.0000,0.0000,16.0000,16.0000,16.0000
26,57,4,0.0,85,0.10664094190766783,17,False,False,1.5046,2.6877,2.6602,0.6930,0.5112,0.5088,0.0000,0.0000,0.0000,17.0000,17.0000,17.0000
27,968,3,0.22,102,0.12866277958043645,18,False,False,1.3341,2.4232,2.3989,0.7355,0.5355,0.5374,0.0000,0.0000,0.0000,18.0000,18.0000,18.0000
28,268,4,0.37,225,0.15523222650918542,18,False,False,0.9832,2.3131,2.2630,0.8158,0.5604,0.5670,0.0000,0.0000,0.0000,18.0000,18.0000,18.0000
29,270,0,0.04,187,0.18728838460958516,19,False,False,1.6240,2.8059,2.7401,0.6783,0.5035,0.5038,0.0000,0.0000,0.0000,19.0000,19.0000,19.0000
30,596,0,0.43,195,0.22596428459777515,19,False,False,1.0098,2.2276,2.2000,0.8120,0.5643,0.5615,0.0000,0.0000,0.0000,19.0000,19.0000,19.0000
