run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,3.2614,3.3077,3.2757,0.2805,0.2748,0.2787,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
1,433,2,0.27,103,0.0009765625,1,False,False,3.6362,3.6768,3.6424,0.2214,0.2233,0.2223,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
2,310,5,0.5,113,0.0011782270808598852,2,False,False,3.1866,3.2284,3.1866,0.2916,0.2848,0.2890,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
3,300,1,0.44,99,0.001421536311369323,2,False,False,3.1860,3.2436,3.1787,0.2938,0.2889,0.2937,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
4,1009,2,0.1,148,0.0017150900003645502,3,False,False,2.8365,2.9234,2.8630,0.3654,0.3541,0.3598,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
5,657,3,0.5,165,0.0020692638561704995,4,False,False,2.8678,2.9465,2.8779,0.3631,0.3532,0.3579,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
6,455,2,0.49,60,0.0024965762178914648,4,False,False,3.1404,3.2080,3.1449,0.3201,0.3085,0.3172,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
7,103,1,0.44,84,0.0030121305183748843,5,False,False,2.9597,3.0228,2.9662,0.3486,0.3429,0.3484,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
8,203,4,0.05,238,0.003634149117781824,6,False,False,2.5351,2.6988,2.6475,0.4271,0.4057,0.4077,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
9,150,4,0.02,122,0.004384617376208487,6,False,False,2.7206,2.8492,2.7798,0.3870,0.3818,0.3845,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
10,72,3,0.23,144,0.005290060730222237,7,False,False,2.6747,2.7675,2.7172,0.3986,0.3885,0.3881,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
11,467,3,0.31,79,0.006382482239223045,7,False,False,2.8903,2.9811,2.9029,0.3659,0.3578,0.3630,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
12,377,0,0.37,159,0.007700493739376462,8,False,False,2.6675,2.7656,2.7186,0.4051,0.3917,0.3942,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
13,436,2,0.25,154,0.009290680585958758,9,False,False,2.5993,2.7185,2.6755,0.4230,0.4037,0.4060,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,9,False,False,2.6618,2.7862,2.7158,0.4127,0.3958,0.3966,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
15,326,3,0.09,115,0.013524008765720979,10,False,False,2.6381,2.7712,2.7226,0.4138,0.3992,0.3977,0.0000,0.0000,0.0000,10.0000,10.0000,10.0000
16,326,2,0.02,124,0.01631677785042834,11,False,False,2.5749,2.7389,2.7129,0.4274,0.4110,0.4018,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
17,247,2,0.15,240,0.01968626640460739,11,False,False,2.3724,2.6106,2.5729,0.4681,0.4311,0.4383,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
18,179,1,0.01,50,0.02375156961170491,12,False,False,2.8620,2.9526,2.9079,0.3803,0.3676,0.3704,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
19,137,5,0.3,235,0.028656376350145975,13,False,False,2.3886,2.5886,2.5506,0.4739,0.4353,0.4392,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
20,786,2,0.24,144,0.03457404790277603,13,False,False,2.5453,2.7021,2.6467,0.4414,0.4163,0.4176,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
21,410,1,0.49,188,0.04171374544281356,14,False,False,2.5385,2.6856,2.6291,0.4473,0.4237,0.4194,0.0000,0.0000,0.0000,14.0000,14.0000,14.0000
22,388,0,0.48,59,0.050327822873414196,14,False,False,2.9269,3.0202,2.9437,0.3698,0.3544,0.3708,0.0000,0.0000,0.0000,14.0000,14.0000,14.0000
23,38,2,0.4,176,0.06072074632210035,15,False,False,2.4913,2.6557,2.5972,0.4537,0.4150,0.4202,0.0000,0.0000,0.0000,15.0000,15.0000,15.0000
24,467,2,0.11,75,0.07325985555120318,16,False,False,2.7056,2.8222,2.7760,0.4139,0.3994,0.4013,0.0000,0.0000,0.0000,16.0000,16.0000,16.0000
25,176,4,0.05,210,0.08838834764831845,16,False,False,2.3233,2.6402,2.6074,0.4911,0.4433,0.4384,0.0000,0.0000,0.0000,16.0000,16.0000,16.0000
26,57,4,0.0,85,0.10664094190766783,17,False,False,2.6285,2.7978,2.7500,0.4307,0.4094,0.4095,0.0000,0.0000,0.0000,17.0000,17.0000,17.0000
27,968,3,0.22,102,0.12866277958043645,18,False,False,2.6314,2.7963,2.7339,0.4345,0.4030,0.4070,0.0000,0.0000,0.0000,18.0000,18.0000,18.0000
28,268,4,0.37,225,0.15523222650918542,18,False,False,2.3650,2.5803,2.5328,0.4885,0.4408,0.4416,0.0000,0.0000,0.0000,18.0000,18.0000,18.0000
29,270,0,0.04,187,0.18728838460958516,19,False,False,2.3553,2.6659,2.5990,0.4815,0.4392,0.4379,0.0000,0.0000,0.0000,19.0000,19.0000,19.0000
30,596,0,0.43,195,0.22596428459777515,19,False,False,2.4296,2.6241,2.5767,0.4815,0.4389,0.4440,0.0000,0.0000,0.0000,19.0000,19.0000,19.0000
31,694,3,0.18,230,0.2726269331663144,20,False,False,2.3163,2.5964,2.5460,0.4984,0.4510,0.4463,0.0000,0.0000,0.0000,20.0000,20.0000,20.0000
32,837,4,0.09,187,0.32892563008340914,21,False,False,2.3532,2.6497,2.5811,0.4809,0.4344,0.4370,0.0000,0.0000,0.0000,21.0000,21.0000,21.0000
33,487,0,0.14,112,0.39685026299204973,21,False,False,2.5693,2.7739,2.7047,0.4489,0.4140,0.4211,0.0000,0.0000,0.0000,21.0000,21.0000,21.0000
