run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.7795,1.5236,1.5115,0.8750,0.6924,0.6860,17927.8711,17927.8711,17927.8711,768.0000,768.0000,768.0000
1,433,2,0.27,768,0.0009765625,0,False,False,2.3011,2.2717,2.2794,0.5392,0.5445,0.5325,343.6515,343.6515,343.6515,680.0000,680.0000,680.0000
2,310,5,0.5,768,0.0011782270808598852,0,False,False,2.5057,2.4612,2.4738,0.5005,0.5121,0.5003,234.0908,234.0908,234.0908,702.0000,702.0000,702.0000
3,300,1,0.44,768,0.001421536311369323,0,False,False,2.5403,2.4914,2.5054,0.4885,0.5005,0.4872,195.7363,195.7363,195.7363,692.0000,692.0000,692.0000
4,1009,2,0.1,768,0.0017150900003645502,0,False,False,2.4717,2.4261,2.4386,0.4916,0.5013,0.4876,195.3778,195.3778,195.3778,659.0000,659.0000,659.0000
5,657,3,0.5,768,0.0020692638561704995,0,False,False,2.7187,2.6596,2.6755,0.4525,0.4711,0.4545,121.0810,121.0810,121.0810,688.0000,688.0000,688.0000
6,455,2,0.49,768,0.0024965762178914648,0,False,False,2.7883,2.7284,2.7440,0.4337,0.4519,0.4376,96.4933,96.4933,96.4933,679.0000,679.0000,679.0000
7,103,1,0.44,768,0.0030121305183748843,0,False,False,2.8426,2.7823,2.7963,0.4125,0.4302,0.4152,81.0965,81.0965,81.0965,672.0000,672.0000,672.0000
8,203,4,0.05,768,0.003634149117781824,0,False,False,2.7802,2.7213,2.7364,0.4143,0.4283,0.4134,83.6732,83.6732,83.6732,649.0000,649.0000,649.0000
9,150,4,0.02,768,0.004384617376208487,0,False,False,2.8389,2.7804,2.7935,0.3919,0.4038,0.3916,71.9573,71.9573,71.9573,649.0000,649.0000,649.0000
10,72,3,0.23,768,0.005290060730222237,0,False,False,2.9467,2.8846,2.8975,0.3712,0.3835,0.3740,53.7113,53.7113,53.7113,648.0000,648.0000,648.0000
11,467,3,0.31,768,0.006382482239223045,0,False,False,3.0219,2.9600,2.9721,0.3658,0.3794,0.3684,41.9173,41.9173,41.9173,650.0000,650.0000,650.0000
12,377,0,0.37,768,0.007700493739376462,0,False,False,3.0986,3.0355,3.0469,0.3612,0.3758,0.3660,31.8981,31.8981,31.8981,649.0000,649.0000,649.0000
13,436,2,0.25,768,0.009290680585958758,0,False,False,3.1327,3.0705,3.0808,0.3611,0.3756,0.3654,27.6385,27.6385,27.6385,652.0000,652.0000,652.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,0,False,False,3.2098,3.1510,3.1601,0.3589,0.3745,0.3626,21.2805,21.2805,21.2805,648.0000,648.0000,648.0000
15,326,3,0.09,768,0.013524008765720979,0,False,False,3.2112,3.1510,3.1596,0.3593,0.3739,0.3629,20.5822,20.5822,20.5822,655.0000,655.0000,655.0000
16,326,2,0.02,768,0.01631677785042834,0,False,False,3.2313,3.1709,3.1798,0.3587,0.3734,0.3633,19.3877,19.3877,19.3877,662.0000,662.0000,662.0000
17,247,2,0.15,768,0.01968626640460739,0,False,False,3.2727,3.2134,3.2223,0.3566,0.3712,0.3618,17.4367,17.4367,17.4367,662.0000,662.0000,662.0000
18,179,1,0.01,768,0.02375156961170491,0,False,False,3.2953,3.2361,3.2453,0.3553,0.3698,0.3601,16.5325,16.5325,16.5325,673.0000,673.0000,673.0000
19,137,5,0.3,768,0.028656376350145975,0,False,False,3.3443,3.2864,3.2970,0.3527,0.3677,0.3576,14.4023,14.4023,14.4023,669.0000,669.0000,669.0000
20,786,2,0.24,768,0.03457404790277603,0,False,False,3.3805,3.3218,3.3331,0.3514,0.3672,0.3562,13.2984,13.2984,13.2984,675.0000,675.0000,675.0000
21,410,1,0.49,768,0.04171374544281356,0,False,False,3.4741,3.4171,3.4269,0.3490,0.3630,0.3524,11.2614,11.2614,11.2614,671.0000,671.0000,671.0000
22,388,0,0.48,768,0.050327822873414196,0,False,False,3.5545,3.5008,3.5084,0.3468,0.3617,0.3516,10.0465,10.0465,10.0465,680.0000,680.0000,680.0000
23,38,2,0.4,768,0.06072074632210035,0,False,False,3.6284,3.5758,3.5837,0.3443,0.3601,0.3484,8.7144,8.7144,8.7144,690.0000,690.0000,690.0000
24,467,2,0.11,768,0.07325985555120318,0,False,False,3.7560,3.7045,3.7059,0.3411,0.3546,0.3463,7.4699,7.4699,7.4699,689.0000,689.0000,689.0000
25,176,4,0.05,768,0.08838834764831845,0,False,False,3.9108,3.8623,3.8507,0.3316,0.3487,0.3370,7.3847,7.3847,7.3847,692.0000,692.0000,692.0000
26,57,4,0.0,768,0.10664094190766783,0,False,False,4.0524,4.0062,3.9841,0.3239,0.3395,0.3286,7.1465,7.1465,7.1465,695.0000,695.0000,695.0000
27,968,3,0.22,768,0.12866277958043645,0,False,False,4.1911,4.1476,4.1167,0.3145,0.3292,0.3208,5.7945,5.7945,5.7945,698.0000,698.0000,698.0000
28,268,4,0.37,768,0.15523222650918542,0,False,False,4.0531,4.0115,4.0119,0.3247,0.3350,0.3259,3.3942,3.3942,3.3942,714.0000,714.0000,714.0000
