run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,300,0.0,1,False,False,2.0970,2.5173,2.5627,0.6113,0.5037,0.4850,3622.9033,3622.9033,3622.9033,300.0000,300.0000,300.0000
1,433,2,0.27,300,0.0009765625,0,False,False,2.8269,2.7807,2.8204,0.4470,0.4504,0.4335,159.9100,159.9100,159.9100,273.0000,273.0000,273.0000
2,310,5,0.5,300,0.0011782270808598852,0,False,False,3.0180,2.9645,2.9997,0.4121,0.4195,0.4043,101.5349,101.5349,101.5349,279.0000,279.0000,279.0000
3,300,1,0.44,300,0.001421536311369323,0,False,False,3.0012,2.9439,2.9797,0.4110,0.4176,0.4016,91.3909,91.3909,91.3909,272.0000,272.0000,272.0000
4,1009,2,0.1,300,0.0017150900003645502,0,False,False,2.8456,2.7875,2.8267,0.4344,0.4409,0.4248,110.6861,110.6861,110.6861,250.0000,250.0000,250.0000
5,657,3,0.5,300,0.0020692638561704995,0,False,False,3.0962,3.0367,3.0700,0.3840,0.3926,0.3771,60.5748,60.5748,60.5748,267.0000,267.0000,267.0000
6,455,2,0.49,300,0.0024965762178914648,0,False,False,3.1149,3.0543,3.0872,0.3746,0.3834,0.3681,52.5031,52.5031,52.5031,262.0000,262.0000,262.0000
7,103,1,0.44,300,0.0030121305183748843,0,False,False,3.1130,3.0495,3.0824,0.3708,0.3811,0.3658,47.4408,47.4408,47.4408,255.0000,255.0000,255.0000
8,203,4,0.05,300,0.003634149117781824,0,False,False,2.9688,2.9023,2.9361,0.3987,0.4069,0.3859,59.8308,59.8308,59.8308,239.0000,239.0000,239.0000
9,150,4,0.02,300,0.004384617376208487,0,False,False,2.9924,2.9235,2.9563,0.3886,0.3981,0.3783,53.2951,53.2951,53.2951,233.0000,233.0000,233.0000
10,72,3,0.23,300,0.005290060730222237,0,False,False,3.1071,3.0404,3.0717,0.3569,0.3670,0.3521,37.8631,37.8631,37.8631,236.0000,236.0000,236.0000
11,467,3,0.31,300,0.006382482239223045,0,False,False,3.1742,3.1083,3.1382,0.3481,0.3582,0.3444,30.1904,30.1904,30.1904,235.0000,235.0000,235.0000
12,377,0,0.37,300,0.007700493739376462,0,False,False,3.2321,3.1670,3.1957,0.3433,0.3554,0.3404,24.5420,24.5420,24.5420,233.0000,233.0000,233.0000
13,436,2,0.25,300,0.009290680585958758,0,False,False,3.2841,3.2195,3.2405,0.3420,0.3531,0.3389,21.5563,21.5563,21.5563,229.0000,229.0000,229.0000
14,382,2,0.41000000000000003,300,0.011209248221179687,0,False,False,3.3702,3.3080,3.3277,0.3382,0.3492,0.3382,16.8077,16.8077,16.8077,229.0000,229.0000,229.0000
15,326,3,0.09,300,0.013524008765720979,0,False,False,3.2974,3.2327,3.2543,0.3393,0.3524,0.3398,17.1421,17.1421,17.1421,228.0000,228.0000,228.0000
16,326,2,0.02,300,0.01631677785042834,0,False,False,3.3294,3.2631,3.2827,0.3372,0.3516,0.3388,15.7977,15.7977,15.7977,225.0000,225.0000,225.0000
17,247,2,0.15,300,0.01968626640460739,0,False,False,3.4000,3.3351,3.3530,0.3339,0.3488,0.3359,12.8515,12.8515,12.8515,225.0000,225.0000,225.0000
18,179,1,0.01,300,0.02375156961170491,0,False,False,3.3964,3.3302,3.3491,0.3335,0.3488,0.3340,12.6228,12.6228,12.6228,230.0000,230.0000,230.0000
19,137,5,0.3,300,0.028656376350145975,0,False,False,3.5159,3.4553,3.4712,0.3306,0.3455,0.3314,9.2054,9.2054,9.2054,229.0000,229.0000,229.0000
20,786,2,0.24,300,0.03457404790277603,0,False,False,3.5351,3.4751,3.4918,0.3291,0.3449,0.3299,8.3581,8.3581,8.3581,229.0000,229.0000,229.0000
21,410,1,0.49,300,0.04171374544281356,0,False,False,3.6840,3.6297,3.6410,0.3245,0.3425,0.3256,5.6939,5.6939,5.6939,227.0000,227.0000,227.0000
22,388,0,0.48,300,0.050327822873414196,0,False,False,3.7386,3.6851,3.6951,0.3212,0.3402,0.3251,4.6994,4.6994,4.6994,229.0000,229.0000,229.0000
23,38,2,0.4,300,0.06072074632210035,0,False,False,3.7832,3.7318,3.7402,0.3184,0.3386,0.3224,4.0223,4.0223,4.0223,231.0000,231.0000,231.0000
24,467,2,0.11,300,0.07325985555120318,0,False,False,3.8249,3.7738,3.7794,0.3146,0.3349,0.3191,3.6670,3.6670,3.6670,234.0000,234.0000,234.0000
25,176,4,0.05,300,0.08838834764831845,0,False,False,3.9131,3.8658,3.8704,0.3103,0.3319,0.3145,2.2952,2.2952,2.2952,235.0000,235.0000,235.0000
26,57,4,0.0,300,0.10664094190766783,0,False,False,4.0139,3.9712,3.9725,0.3024,0.3200,0.3074,1.2025,1.2025,1.2025,242.0000,242.0000,242.0000
27,968,3,0.22,300,0.12866277958043645,0,False,False,4.0571,4.0152,4.0150,0.2754,0.2843,0.2778,0.7502,0.7502,0.7502,234.0000,234.0000,234.0000
28,268,4,0.37,300,0.15523222650918542,0,False,False,4.0580,4.0161,4.0158,0.2333,0.2372,0.2306,0.8299,0.8299,0.8299,244.0000,244.0000,244.0000
29,270,0,0.04,300,0.18728838460958516,0,False,False,4.0532,4.0125,4.0127,0.2007,0.2049,0.1979,0.8532,0.8532,0.8532,253.0000,253.0000,253.0000
30,596,0,0.43,300,0.22596428459777515,0,False,False,4.0584,4.0164,4.0161,0.1911,0.1986,0.1888,0.8440,0.8440,0.8440,247.0000,247.0000,247.0000
31,694,3,0.18,300,0.2726269331663144,0,False,False,4.0533,4.0126,4.0129,0.1396,0.1415,0.1328,0.8476,0.8476,0.8476,250.0000,250.0000,250.0000
32,837,4,0.09,300,0.32892563008340914,0,False,False,4.0534,4.0127,4.0129,0.1226,0.1189,0.1181,0.8443,0.8443,0.8443,254.0000,254.0000,254.0000
33,487,0,0.14,300,0.39685026299204973,0,False,False,4.0586,4.0166,4.0163,0.1419,0.1415,0.1402,0.8105,0.8105,0.8105,251.0000,251.0000,251.0000
34,418,5,0.37,300,0.47880164034928685,0,False,False,4.0534,4.0127,4.0130,0.0965,0.0989,0.0956,0.7722,0.7722,0.7722,241.0000,241.0000,241.0000
35,407,5,0.35000000000000003,300,0.577676348436136,0,False,False,4.0534,4.0127,4.0129,0.1409,0.1369,0.1402,0.8145,0.8145,0.8145,250.0000,250.0000,250.0000
36,657,2,0.11,300,0.6969691317244994,0,False,False,4.0534,4.0127,4.0130,0.1062,0.1068,0.0983,0.8292,0.8292,0.8292,259.0000,259.0000,259.0000
37,442,1,0.41000000000000003,300,0.8408964152537145,0,False,False,4.0534,4.0127,4.0130,0.1119,0.1105,0.1115,0.7800,0.7800,0.7800,251.0000,251.0000,251.0000
38,398,4,0.23,300,1.0145453349375229,0,False,False,4.0587,4.0167,4.0164,0.1176,0.1168,0.1143,0.7999,0.7999,0.7999,252.0000,252.0000,252.0000
39,369,4,0.29,300,1.2240535433046547,0,False,False,4.0587,4.0167,4.0164,0.1078,0.1117,0.1028,0.7369,0.7369,0.7369,251.0000,251.0000,251.0000
40,75,4,0.33,300,1.4768261459394993,0,False,False,4.0535,4.0128,4.0130,0.0921,0.0979,0.0943,0.7703,0.7703,0.7703,246.0000,246.0000,246.0000
41,179,0,0.02,300,1.7817974362806772,0,False,False,4.0535,4.0128,4.0130,0.0977,0.1018,0.0989,0.7588,0.7588,0.7588,250.0000,250.0000,250.0000
42,442,4,0.19,300,2.149746679841392,0,False,False,4.0535,4.0128,4.0130,0.1130,0.1211,0.1128,0.7702,0.7702,0.7702,250.0000,250.0000,250.0000
43,111,1,0.22,300,2.5936791093020193,0,False,False,4.0535,4.0128,4.0130,0.1044,0.1085,0.1057,0.7451,0.7451,0.7451,254.0000,254.0000,254.0000
44,242,1,0.45,300,3.1292855968155457,0,False,False,4.0587,4.0167,4.0164,0.1046,0.1046,0.1070,0.7210,0.7210,0.7210,250.0000,250.0000,250.0000
45,107,3,0.21,300,3.7754972507267723,0,False,False,4.0587,4.0167,4.0164,0.1035,0.1075,0.0994,0.7332,0.7332,0.7332,245.0000,245.0000,245.0000
