run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,3.3714,3.7650,3.7815,0.3373,0.2135,0.2093,1460.5120,1460.5120,1460.5120,211.0000,211.0000,211.0000
1,433,2,0.27,103,0.0009765625,0,False,False,3.8580,3.8418,3.8486,0.1695,0.1523,0.1468,51.2767,51.2767,51.2767,97.0000,97.0000,97.0000
2,310,5,0.5,113,0.0011782270808598852,0,False,False,3.8719,3.8398,3.8475,0.1738,0.1700,0.1641,35.8983,35.8983,35.8983,108.0000,108.0000,108.0000
3,300,1,0.44,99,0.001421536311369323,0,False,False,3.8927,3.8561,3.8710,0.1668,0.1617,0.1521,27.7335,27.7335,27.7335,93.0000,93.0000,93.0000
4,1009,2,0.1,148,0.0017150900003645502,0,False,False,3.8473,3.8155,3.8245,0.1821,0.1803,0.1747,30.6296,30.6296,30.6296,130.0000,130.0000,130.0000
5,657,3,0.5,165,0.0020692638561704995,0,False,False,3.8932,3.8507,3.8638,0.1639,0.1621,0.1563,19.0348,19.0348,19.0348,152.0000,152.0000,152.0000
6,455,2,0.49,60,0.0024965762178914648,0,False,False,3.9383,3.9002,3.9086,0.1445,0.1454,0.1332,11.5027,11.5027,11.5027,57.0000,57.0000,57.0000
7,103,1,0.44,84,0.0030121305183748843,0,False,False,3.9460,3.8985,3.9098,0.1404,0.1419,0.1363,9.0099,9.0099,9.0099,75.0000,75.0000,75.0000
8,203,4,0.05,238,0.003634149117781824,0,False,False,3.8694,3.8254,3.8443,0.1831,0.1786,0.1655,18.8381,18.8381,18.8381,193.0000,193.0000,193.0000
9,150,4,0.02,122,0.004384617376208487,0,False,False,3.9344,3.8896,3.9002,0.1563,0.1620,0.1413,9.9836,9.9836,9.9836,93.0000,93.0000,93.0000
10,72,3,0.23,144,0.005290060730222237,0,False,False,3.9200,3.8731,3.8840,0.1647,0.1715,0.1684,9.3469,9.3469,9.3469,112.0000,112.0000,112.0000
11,467,3,0.31,79,0.006382482239223045,0,False,False,3.9597,3.9150,3.9274,0.1386,0.1430,0.1260,4.5087,4.5087,4.5087,61.0000,61.0000,61.0000
12,377,0,0.37,159,0.007700493739376462,0,False,False,3.9589,3.9163,3.9262,0.1633,0.1634,0.1605,4.6684,4.6684,4.6684,119.0000,119.0000,119.0000
13,436,2,0.25,154,0.009290680585958758,0,False,False,3.9572,3.9135,3.9220,0.1576,0.1618,0.1500,4.2849,4.2849,4.2849,111.0000,111.0000,111.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,0,False,False,3.9591,3.9170,3.9248,0.1717,0.1760,0.1712,3.3048,3.3048,3.3048,107.0000,107.0000,107.0000
15,326,3,0.09,115,0.013524008765720979,0,False,False,4.0334,3.9907,3.9924,0.0989,0.1013,0.0973,1.0976,1.0976,1.0976,75.0000,75.0000,75.0000
16,326,2,0.02,124,0.01631677785042834,0,False,False,4.0596,4.0170,4.0167,0.1204,0.1203,0.1132,0.2121,0.2121,0.2121,79.0000,79.0000,79.0000
17,247,2,0.15,240,0.01968626640460739,0,False,False,4.0544,4.0119,4.0122,0.1202,0.1185,0.1134,0.5636,0.5636,0.5636,173.0000,173.0000,173.0000
18,179,1,0.01,50,0.02375156961170491,0,False,False,4.0575,4.0174,4.0171,0.0951,0.0945,0.0942,0.0503,0.0503,0.0503,21.0000,21.0000,21.0000
19,137,5,0.3,235,0.028656376350145975,0,False,False,4.0614,4.0174,4.0171,0.1120,0.1083,0.1063,0.4671,0.4671,0.4671,168.0000,168.0000,168.0000
20,786,2,0.24,144,0.03457404790277603,0,False,False,4.0595,4.0176,4.0172,0.1031,0.1036,0.1055,0.2299,0.2299,0.2299,92.0000,92.0000,92.0000
21,410,1,0.49,188,0.04171374544281356,0,False,False,4.0588,4.0176,4.0173,0.1172,0.1168,0.1145,0.3368,0.3368,0.3368,129.0000,129.0000,129.0000
22,388,0,0.48,59,0.050327822873414196,0,False,False,4.0541,4.0135,4.0137,0.0984,0.1035,0.1022,0.0637,0.0637,0.0637,29.0000,29.0000,29.0000
23,38,2,0.4,176,0.06072074632210035,0,False,False,4.0594,4.0174,4.0171,0.1024,0.1045,0.0980,0.3288,0.3288,0.3288,122.0000,122.0000,122.0000
24,467,2,0.11,75,0.07325985555120318,0,False,False,4.0616,4.0174,4.0171,0.0899,0.0833,0.0869,0.0871,0.0871,0.0871,39.0000,39.0000,39.0000
25,176,4,0.05,210,0.08838834764831845,0,False,False,4.0544,4.0134,4.0137,0.1003,0.1037,0.0952,0.4540,0.4540,0.4540,155.0000,155.0000,155.0000
26,57,4,0.0,85,0.10664094190766783,0,False,False,4.0584,4.0176,4.0173,0.1020,0.0984,0.0991,0.1069,0.1069,0.1069,47.0000,47.0000,47.0000
27,968,3,0.22,102,0.12866277958043645,0,False,False,4.0555,4.0135,4.0138,0.0937,0.0967,0.0951,0.1389,0.1389,0.1389,59.0000,59.0000,59.0000
28,268,4,0.37,225,0.15523222650918542,0,False,False,4.0578,4.0137,4.0139,0.0940,0.0958,0.0920,0.5120,0.5120,0.5120,167.0000,167.0000,167.0000
29,270,0,0.04,187,0.18728838460958516,0,False,False,4.0564,4.0136,4.0138,0.0956,0.1038,0.0989,0.4026,0.4026,0.4026,140.0000,140.0000,140.0000
30,596,0,0.43,195,0.22596428459777515,0,False,False,4.0554,4.0136,4.0139,0.0915,0.0907,0.0913,0.4188,0.4188,0.4188,143.0000,143.0000,143.0000
31,694,3,0.18,230,0.2726269331663144,0,False,False,4.0555,4.0135,4.0137,0.0881,0.0871,0.0882,0.5524,0.5524,0.5524,181.0000,181.0000,181.0000
32,837,4,0.09,187,0.32892563008340914,0,False,False,4.0565,4.0136,4.0138,0.0888,0.0875,0.0869,0.3903,0.3903,0.3903,140.0000,140.0000,140.0000
33,487,0,0.14,112,0.39685026299204973,0,False,False,4.0597,4.0175,4.0172,0.0921,0.0988,0.0922,0.1792,0.1792,0.1792,73.0000,73.0000,73.0000
34,418,5,0.37,188,0.47880164034928685,0,False,False,4.0589,4.0177,4.0173,0.0830,0.0818,0.0828,0.3735,0.3735,0.3735,141.0000,141.0000,141.0000
35,407,5,0.35000000000000003,94,0.577676348436136,0,False,False,4.0600,4.0175,4.0172,0.0861,0.0881,0.0831,0.1302,0.1302,0.1302,53.0000,53.0000,53.0000
36,657,2,0.11,182,0.6969691317244994,0,False,False,4.0603,4.0175,4.0172,0.0902,0.0905,0.0876,0.3365,0.3365,0.3365,130.0000,130.0000,130.0000
37,442,1,0.41000000000000003,215,0.8408964152537145,0,False,False,4.0538,4.0135,4.0137,0.0904,0.0952,0.0926,0.4375,0.4375,0.4375,158.0000,158.0000,158.0000
