run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,300,0.0,1,False,False,2.2686,2.6027,2.6508,0.5726,0.4858,0.4674,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,300,0.0,1,True,False,2.7130,2.7131,2.7138,0.4542,0.4542,0.4544,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,300,0.0,1,True,True,,,,,,,,,,,,
1,433,2,0.27,300,0.0009765625,0,False,False,1.6772,2.2193,2.2396,0.6618,0.5661,0.5458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,300,0.0009765625,0,True,False,1.8041,1.8041,1.8049,0.6462,0.6463,0.6463,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,300,0.0009765625,0,True,True,,,,,,,,,,,,
2,310,5,0.5,300,0.0011782270808598852,0,False,False,2.7617,2.7983,2.8161,0.3781,0.3835,0.3667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,300,0.0011782270808598852,0,True,False,2.9366,2.9371,2.9362,0.3750,0.3750,0.3750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,300,0.0011782270808598852,0,True,True,,,,,,,,,,,,
3,300,1,0.44,300,0.001421536311369323,0,False,False,2.0536,2.2718,2.3080,0.6035,0.5507,0.5286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,300,0.001421536311369323,0,True,False,2.7418,2.7411,2.7397,0.4397,0.4396,0.4397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,300,0.001421536311369323,0,True,True,,,,,,,,,,,,
4,1009,2,0.1,300,0.0017150900003645502,0,False,False,1.9755,2.3312,2.3589,0.5953,0.5331,0.5123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,300,0.0017150900003645502,0,True,False,0.6414,0.6411,0.6412,0.8500,0.8501,0.8501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,300,0.0017150900003645502,0,True,True,,,,,,,,,,,,
5,657,3,0.5,300,0.0020692638561704995,0,False,False,2.0944,2.2655,2.2928,0.5662,0.5393,0.5218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,300,0.0020692638561704995,0,True,False,2.8864,2.8870,2.8872,0.3803,0.3804,0.3803,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,300,0.0020692638561704995,0,True,True,,,,,,,,,,,,
6,455,2,0.49,300,0.0024965762178914648,0,False,False,2.0918,2.2441,2.2684,0.5738,0.5488,0.5276,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,300,0.0024965762178914648,0,True,False,2.9249,2.9257,2.9257,0.3798,0.3798,0.3798,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,300,0.0024965762178914648,0,True,True,,,,,,,,,,,,
7,103,1,0.44,300,0.0030121305183748843,0,False,False,2.5034,2.5077,2.5460,0.4991,0.5012,0.4781,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,300,0.0030121305183748843,0,True,False,3.0830,3.0826,3.0835,0.3567,0.3567,0.3566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,300,0.0030121305183748843,0,True,True,,,,,,,,,,,,
8,203,4,0.05,300,0.003634149117781824,0,False,False,2.2413,2.5180,2.5461,0.5170,0.4893,0.4667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,300,0.003634149117781824,0,True,False,2.2489,2.2475,2.2494,0.4912,0.4912,0.4912,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,300,0.003634149117781824,0,True,True,,,,,,,,,,,,
9,150,4,0.02,300,0.004384617376208487,0,False,False,2.2809,2.5839,2.6209,0.5073,0.4767,0.4550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,300,0.004384617376208487,0,True,False,2.1115,2.1109,2.1114,0.5338,0.5338,0.5338,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,300,0.004384617376208487,0,True,True,,,,,,,,,,,,
10,72,3,0.23,300,0.005290060730222237,0,False,False,2.3651,2.4702,2.4991,0.4973,0.4868,0.4652,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,300,0.005290060730222237,0,True,False,2.9548,2.9545,2.9560,0.3750,0.3750,0.3750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,300,0.005290060730222237,0,True,True,,,,,,,,,,,,
11,467,3,0.31,300,0.006382482239223045,0,False,False,1.9242,2.2975,2.3190,0.5994,0.5392,0.5211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,300,0.006382482239223045,0,True,False,2.6119,2.6123,2.6124,0.4202,0.4202,0.4202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,300,0.006382482239223045,0,True,True,,,,,,,,,,,,
12,377,0,0.37,300,0.007700493739376462,0,False,False,2.7675,2.8262,2.8687,0.4641,0.4425,0.4204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,300,0.007700493739376462,0,True,False,3.1451,3.1467,3.1455,0.3665,0.3664,0.3665,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,300,0.007700493739376462,0,True,True,,,,,,,,,,,,
13,436,2,0.25,300,0.009290680585958758,0,False,False,1.7174,2.2355,2.2543,0.6520,0.5599,0.5414,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,300,0.009290680585958758,0,True,False,1.9676,1.9679,1.9671,0.6007,0.6007,0.6007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,300,0.009290680585958758,0,True,True,,,,,,,,,,,,
14,382,2,0.41000000000000003,300,0.011209248221179687,0,False,False,1.9810,2.2125,2.2353,0.5965,0.5582,0.5353,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
