run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,2.1794,3.6863,3.7185,0.5771,0.3323,0.3176,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,212,0.0,1,True,False,0.5485,0.5485,0.5486,0.8576,0.8577,0.8576,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,212,0.0,1,True,True,,,,,,,,,,,,
1,433,2,0.27,103,0.0009765625,0,False,False,2.0825,2.7677,2.8115,0.5912,0.4470,0.4246,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,103,0.0009765625,0,True,False,0.7918,0.7921,0.7914,0.8215,0.8217,0.8216,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,103,0.0009765625,0,True,True,,,,,,,,,,,,
2,310,5,0.5,113,0.0011782270808598852,0,False,False,4.0124,3.9707,3.9770,0.0047,0.0061,0.0039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,113,0.0011782270808598852,0,True,False,2.6848,2.6847,2.6846,0.3928,0.3928,0.3928,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,113,0.0011782270808598852,0,True,True,,,,,,,,,,,,
3,300,1,0.44,99,0.001421536311369323,0,False,False,2.0015,2.7731,2.8036,0.6586,0.4546,0.4345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,99,0.001421536311369323,0,True,False,0.9363,0.9362,0.9361,0.8005,0.8004,0.8004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,99,0.001421536311369323,0,True,True,,,,,,,,,,,,
4,1009,2,0.1,148,0.0017150900003645502,0,False,False,2.0201,2.8852,2.8975,0.6147,0.4192,0.4042,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,148,0.0017150900003645502,0,True,False,0.5678,0.5676,0.5675,0.8561,0.8560,0.8561,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,148,0.0017150900003645502,0,True,True,,,,,,,,,,,,
5,657,3,0.5,165,0.0020692638561704995,0,False,False,2.2646,2.8236,2.8578,0.5279,0.4232,0.4062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,165,0.0020692638561704995,0,True,False,2.5972,2.5982,2.5980,0.4188,0.4188,0.4188,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,165,0.0020692638561704995,0,True,True,,,,,,,,,,,,
6,455,2,0.49,60,0.0024965762178914648,0,False,False,2.3754,2.8418,2.8858,0.4887,0.4266,0.4123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,60,0.0024965762178914648,0,True,False,2.7966,2.7970,2.7973,0.3910,0.3910,0.3910,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,60,0.0024965762178914648,0,True,True,,,,,,,,,,,,
7,103,1,0.44,84,0.0030121305183748843,0,False,False,2.2899,2.8016,2.8298,0.5367,0.4360,0.4255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,84,0.0030121305183748843,0,True,False,1.2567,1.2572,1.2566,0.7260,0.7261,0.7261,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,84,0.0030121305183748843,0,True,True,,,,,,,,,,,,
8,203,4,0.05,238,0.003634149117781824,0,False,False,2.6545,2.9461,2.9689,0.4350,0.3938,0.3831,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,238,0.003634149117781824,0,True,False,1.1158,1.1162,1.1167,0.7441,0.7442,0.7442,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,238,0.003634149117781824,0,True,True,,,,,,,,,,,,
