run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.6382,1.1039,1.0904,0.9032,0.8060,0.8003,22208.5391,22208.5391,22208.5391,768.0000,768.0000,768.0000
1,433,2,0.27,768,0.0009765625,0,False,False,2.2409,2.0656,2.0599,0.6077,0.6267,0.6379,497.9458,497.9458,497.9458,685.0000,685.0000,685.0000
2,310,5,0.5,768,0.0011782270808598852,0,False,False,2.5131,2.3040,2.2941,0.5682,0.5912,0.6047,356.1399,356.1399,356.1399,707.0000,707.0000,707.0000
3,300,1,0.44,768,0.001421536311369323,0,False,False,2.5599,2.3416,2.3317,0.5514,0.5793,0.5919,302.6430,302.6430,302.6430,693.0000,693.0000,693.0000
4,1009,2,0.1,768,0.0017150900003645502,0,False,False,2.4767,2.2615,2.2542,0.5437,0.5713,0.5861,294.4182,294.4182,294.4182,664.0000,664.0000,664.0000
5,657,3,0.5,768,0.0020692638561704995,0,False,False,2.8129,2.5636,2.5511,0.4979,0.5367,0.5504,179.9391,179.9391,179.9391,689.0000,689.0000,689.0000
6,455,2,0.49,768,0.0024965762178914648,0,False,False,2.9044,2.6430,2.6311,0.4727,0.5113,0.5254,142.7847,142.7847,142.7847,684.0000,684.0000,684.0000
7,103,1,0.44,768,0.0030121305183748843,0,False,False,2.9593,2.6900,2.6803,0.4498,0.4890,0.5042,120.6649,120.6649,120.6649,675.0000,675.0000,675.0000
8,203,4,0.05,768,0.003634149117781824,0,False,False,2.8831,2.6146,2.6100,0.4376,0.4759,0.4901,124.7761,124.7761,124.7761,650.0000,650.0000,650.0000
9,150,4,0.02,768,0.004384617376208487,0,False,False,2.9756,2.6967,2.6927,0.4089,0.4478,0.4660,101.8573,101.8573,101.8573,651.0000,651.0000,651.0000
10,72,3,0.23,768,0.005290060730222237,0,False,False,3.1470,2.8575,2.8516,0.3768,0.4117,0.4321,69.9987,69.9987,69.9987,650.0000,650.0000,650.0000
11,467,3,0.31,768,0.006382482239223045,0,False,False,3.2520,2.9555,2.9500,0.3545,0.3894,0.4048,54.5085,54.5085,54.5085,650.0000,650.0000,650.0000
12,377,0,0.37,768,0.007700493739376462,0,False,False,3.3414,3.0334,3.0286,0.3416,0.3867,0.3944,44.3655,44.3655,44.3655,650.0000,650.0000,650.0000
13,436,2,0.25,768,0.009290680585958758,0,False,False,3.3851,3.0735,3.0720,0.3247,0.3732,0.3775,38.3565,38.3565,38.3565,648.0000,648.0000,648.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,0,False,False,3.5480,3.2210,3.2228,0.2927,0.3442,0.3446,27.3135,27.3135,27.3135,651.0000,651.0000,651.0000
15,326,3,0.09,768,0.013524008765720979,0,False,False,3.5474,3.2220,3.2279,0.2802,0.3290,0.3333,27.5783,27.5783,27.5783,647.0000,647.0000,647.0000
16,326,2,0.02,768,0.01631677785042834,0,False,False,3.5754,3.2484,3.2537,0.2773,0.3276,0.3299,25.8717,25.8717,25.8717,649.0000,649.0000,649.0000
17,247,2,0.15,768,0.01968626640460739,0,False,False,3.6377,3.3061,3.3099,0.2755,0.3241,0.3275,22.6290,22.6290,22.6290,657.0000,657.0000,657.0000
18,179,1,0.01,768,0.02375156961170491,0,False,False,3.6736,3.3400,3.3436,0.2725,0.3209,0.3228,21.1654,21.1654,21.1654,656.0000,656.0000,656.0000
19,137,5,0.3,768,0.028656376350145975,0,False,False,3.7645,3.4231,3.4252,0.2739,0.3265,0.3267,17.4623,17.4623,17.4623,658.0000,658.0000,658.0000
20,786,2,0.24,768,0.03457404790277603,0,False,False,3.8460,3.4972,3.5001,0.2668,0.3145,0.3157,15.7179,15.7179,15.7179,665.0000,665.0000,665.0000
21,410,1,0.49,768,0.04171374544281356,0,False,False,3.9822,3.6250,3.6288,0.2637,0.3114,0.3136,12.3989,12.3989,12.3989,666.0000,666.0000,666.0000
22,388,0,0.48,768,0.050327822873414196,0,False,False,4.1020,3.7358,3.7410,0.2585,0.3007,0.3009,10.2529,10.2529,10.2529,666.0000,666.0000,666.0000
23,38,2,0.4,768,0.06072074632210035,0,False,False,4.2557,3.8782,3.8860,0.2524,0.2953,0.2934,8.2289,8.2289,8.2289,680.0000,680.0000,680.0000
