run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,2.3108,3.0609,3.0796,0.6218,0.4639,0.4682,908.5368,908.5368,908.5368,212.0000,212.0000,212.0000
1,433,2,0.27,103,0.0009765625,0,False,False,2.5382,3.0975,3.1102,0.5592,0.4369,0.4435,78.3357,78.3357,78.3357,93.0000,93.0000,93.0000
2,310,5,0.5,113,0.0011782270808598852,0,False,False,2.6210,3.0824,3.0955,0.5411,0.4368,0.4482,47.9503,47.9503,47.9503,103.0000,103.0000,103.0000
3,300,1,0.44,99,0.001421536311369323,0,False,False,2.6511,3.1106,3.1020,0.5320,0.4280,0.4476,40.3477,40.3477,40.3477,89.0000,89.0000,89.0000
4,1009,2,0.1,148,0.0017150900003645502,0,False,False,2.6748,3.1610,3.1728,0.5162,0.4121,0.4248,65.7906,65.7906,65.7906,123.0000,123.0000,123.0000
5,657,3,0.5,165,0.0020692638561704995,0,False,False,2.7141,3.0822,3.1044,0.5143,0.4276,0.4314,38.0514,38.0514,38.0514,147.0000,147.0000,147.0000
6,455,2,0.49,60,0.0024965762178914648,0,False,False,2.7415,3.1705,3.1702,0.5106,0.4121,0.4283,24.2138,24.2138,24.2138,52.0000,52.0000,52.0000
7,103,1,0.44,84,0.0030121305183748843,0,False,False,2.7393,3.1442,3.1554,0.5099,0.4188,0.4285,25.7563,25.7563,25.7563,69.0000,69.0000,69.0000
8,203,4,0.05,238,0.003634149117781824,0,False,False,2.8142,3.1909,3.1848,0.4826,0.3987,0.4052,49.5669,49.5669,49.5669,184.0000,184.0000,184.0000
9,150,4,0.02,122,0.004384617376208487,0,False,False,2.8124,3.2225,3.2220,0.4833,0.3975,0.4107,40.5871,40.5871,40.5871,87.0000,87.0000,87.0000
10,72,3,0.23,144,0.005290060730222237,0,False,False,2.8624,3.1899,3.1891,0.4758,0.3986,0.4076,30.5364,30.5364,30.5364,104.0000,104.0000,104.0000
11,467,3,0.31,79,0.006382482239223045,0,False,False,2.8653,3.2137,3.2262,0.4821,0.4011,0.4108,20.8804,20.8804,20.8804,53.0000,53.0000,53.0000
12,377,0,0.37,159,0.007700493739376462,0,False,False,2.8793,3.1661,3.1752,0.4798,0.4116,0.4172,23.4876,23.4876,23.4876,114.0000,114.0000,114.0000
13,436,2,0.25,154,0.009290680585958758,0,False,False,2.8841,3.1698,3.1682,0.4757,0.4026,0.4155,23.7228,23.7228,23.7228,105.0000,105.0000,105.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,0,False,False,2.9109,3.1805,3.1921,0.4752,0.3947,0.4162,19.1597,19.1597,19.1597,100.0000,100.0000,100.0000
15,326,3,0.09,115,0.013524008765720979,0,False,False,2.8989,3.1912,3.2045,0.4735,0.4065,0.4132,20.5704,20.5704,20.5704,70.0000,70.0000,70.0000
16,326,2,0.02,124,0.01631677785042834,0,False,False,2.9011,3.2030,3.2140,0.4723,0.4104,0.4185,19.2526,19.2526,19.2526,77.0000,77.0000,77.0000
17,247,2,0.15,240,0.01968626640460739,0,False,False,2.9242,3.1886,3.1962,0.4723,0.4090,0.4200,17.2424,17.2424,17.2424,180.0000,180.0000,180.0000
18,179,1,0.01,50,0.02375156961170491,0,False,False,2.9057,3.2671,3.2793,0.4760,0.4130,0.4131,14.2687,14.2687,14.2687,22.0000,22.0000,22.0000
19,137,5,0.3,235,0.028656376350145975,0,False,False,2.9805,3.2398,3.2555,0.4689,0.4031,0.4168,12.9179,12.9179,12.9179,178.0000,178.0000,178.0000
20,786,2,0.24,144,0.03457404790277603,0,False,False,2.9659,3.2718,3.2918,0.4734,0.4012,0.4076,11.0039,11.0039,11.0039,98.0000,98.0000,98.0000
21,410,1,0.49,188,0.04171374544281356,0,False,False,2.9419,3.2898,3.3157,0.4834,0.4035,0.4103,9.6464,9.6464,9.6464,134.0000,134.0000,134.0000
22,388,0,0.48,59,0.050327822873414196,0,False,False,2.9437,3.3141,3.3405,0.4879,0.3972,0.4072,7.9655,7.9655,7.9655,27.0000,27.0000,27.0000
23,38,2,0.4,176,0.06072074632210035,0,False,False,3.3537,3.4286,3.4485,0.3331,0.3099,0.3091,6.8555,6.8555,6.8555,128.0000,128.0000,128.0000
24,467,2,0.11,75,0.07325985555120318,0,False,False,3.3622,3.4545,3.4739,0.3322,0.3053,0.3093,6.1580,6.1580,6.1580,42.0000,42.0000,42.0000
25,176,4,0.05,210,0.08838834764831845,0,False,False,3.3911,3.4581,3.4789,0.3321,0.3053,0.3026,6.2240,6.2240,6.2240,162.0000,162.0000,162.0000
26,57,4,0.0,85,0.10664094190766783,0,False,False,3.3986,3.4844,3.5054,0.3291,0.3124,0.3122,5.1815,5.1815,5.1815,50.0000,50.0000,50.0000
27,968,3,0.22,102,0.12866277958043645,0,False,False,3.4128,3.5153,3.5365,0.3295,0.2980,0.3071,4.5352,4.5352,4.5352,62.0000,62.0000,62.0000
28,268,4,0.37,225,0.15523222650918542,0,False,False,6.0384,5.6118,5.6273,0.1043,0.1206,0.1320,15.8420,15.8420,15.8420,199.0000,199.0000,199.0000
29,270,0,0.04,187,0.18728838460958516,0,False,False,6.0483,5.6085,5.6242,0.1004,0.1256,0.1329,19.6366,19.6366,19.6366,166.0000,166.0000,166.0000
30,596,0,0.43,195,0.22596428459777515,0,False,False,6.0588,5.6149,5.6300,0.1121,0.1312,0.1402,18.9344,18.9344,18.9344,172.0000,172.0000,172.0000
31,694,3,0.18,230,0.2726269331663144,0,False,False,6.0758,5.6187,5.6341,0.1121,0.1200,0.1438,15.2164,15.2164,15.2164,204.0000,204.0000,204.0000
32,837,4,0.09,187,0.32892563008340914,0,False,False,6.0561,5.6159,5.6314,0.1028,0.1259,0.1331,19.5685,19.5685,19.5685,165.0000,165.0000,165.0000
33,487,0,0.14,112,0.39685026299204973,0,False,False,6.0538,5.6139,5.6301,0.1045,0.1247,0.1271,23.8570,23.8570,23.8570,99.0000,99.0000,99.0000
34,418,5,0.37,188,0.47880164034928685,0,False,False,6.0384,5.6166,5.6320,0.1134,0.1285,0.1436,19.6993,19.6993,19.6993,165.0000,165.0000,165.0000
35,407,5,0.35000000000000003,94,0.577676348436136,0,False,False,6.0706,5.6103,5.6263,0.1028,0.1264,0.1309,23.5380,23.5380,23.5380,84.0000,84.0000,84.0000
36,657,2,0.11,182,0.6969691317244994,0,False,False,6.0478,5.6179,5.6332,0.1058,0.1167,0.1345,20.3772,20.3772,20.3772,160.0000,160.0000,160.0000
37,442,1,0.41000000000000003,215,0.8408964152537145,0,False,False,6.0520,5.6235,5.6386,0.1018,0.1267,0.1372,17.2810,17.2810,17.2810,190.0000,190.0000,190.0000
38,398,4,0.23,292,1.0145453349375229,0,False,False,6.0585,5.6273,5.6427,0.1071,0.1269,0.1281,9.3563,9.3563,9.3563,257.0000,257.0000,257.0000
39,369,4,0.29,98,1.2240535433046547,0,False,False,6.0725,5.6195,5.6349,0.1140,0.1360,0.1546,23.5452,23.5452,23.5452,88.0000,88.0000,88.0000
40,75,4,0.33,67,1.4768261459394993,0,False,False,6.0333,5.6201,5.6337,0.1053,0.1236,0.1278,21.5148,21.5148,21.5148,60.0000,60.0000,60.0000
41,179,0,0.02,177,1.7817974362806772,0,False,False,6.0626,5.6216,5.6367,0.1170,0.1356,0.1370,20.6991,20.6991,20.6991,157.0000,157.0000,157.0000
42,442,4,0.19,159,2.149746679841392,0,False,False,6.0530,5.6240,5.6389,0.1044,0.1224,0.1441,22.0308,22.0308,22.0308,140.0000,140.0000,140.0000
43,111,1,0.22,237,2.5936791093020193,0,False,False,6.0739,5.6244,5.6395,0.0989,0.1170,0.1194,14.6038,14.6038,14.6038,208.0000,208.0000,208.0000
44,242,1,0.45,123,3.1292855968155457,0,False,False,6.0450,5.6192,5.6355,0.1020,0.1267,0.1385,23.4497,23.4497,23.4497,109.0000,109.0000,109.0000
45,107,3,0.21,118,3.7754972507267723,0,False,False,6.0602,5.6193,5.6351,0.1104,0.1260,0.1319,23.6677,23.6677,23.6677,103.0000,103.0000,103.0000
46,150,2,0.2,70,4.555154539026766,0,False,False,6.0388,5.6174,5.6336,0.0992,0.1196,0.1145,21.7894,21.7894,21.7894,62.0000,62.0000,62.0000
47,38,1,0.2,128,5.495814589832352,0,False,False,6.0414,5.6149,5.6306,0.1040,0.1181,0.1295,23.3787,23.3787,23.3787,114.0000,114.0000,114.0000
48,248,1,0.49,92,6.6307252030723465,0,False,False,6.0623,5.6161,5.6316,0.0952,0.1129,0.1139,23.4093,23.4093,23.4093,80.0000,80.0000,80.0000
49,670,0,0.45,89,8.0,0,False,False,6.0264,5.6196,5.6338,0.1037,0.1189,0.1319,23.2343,23.2343,23.2343,79.0000,79.0000,79.0000
