run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.7034,1.0989,1.0916,0.8944,0.8033,0.8104,97332.2500,97332.2500,97332.2500,768.0000,768.0000,768.0000
1,433,2,0.27,768,0.0009765625,0,False,False,2.9959,2.7225,2.7200,0.4379,0.4789,0.4935,284.5866,284.5866,284.5866,652.0000,652.0000,652.0000
2,310,5,0.5,768,0.0011782270808598852,0,False,False,3.2769,2.9827,2.9810,0.3803,0.4206,0.4336,198.0856,198.0856,198.0856,657.0000,657.0000,657.0000
3,300,1,0.44,768,0.001421536311369323,0,False,False,3.3016,3.0081,3.0075,0.3621,0.3956,0.4124,162.2802,162.2802,162.2802,652.0000,652.0000,652.0000
4,1009,2,0.1,768,0.0017150900003645502,0,False,False,3.0671,2.7779,2.7758,0.4108,0.4624,0.4729,156.3888,156.3888,156.3888,652.0000,652.0000,652.0000
5,657,3,0.5,768,0.0020692638561704995,0,False,False,3.4638,3.1541,3.1539,0.3308,0.3716,0.3849,97.0984,97.0984,97.0984,651.0000,651.0000,651.0000
6,455,2,0.49,768,0.0024965762178914648,0,False,False,3.5211,3.2083,3.2096,0.3102,0.3507,0.3623,76.8052,76.8052,76.8052,651.0000,651.0000,651.0000
7,103,1,0.44,768,0.0030121305183748843,0,False,False,3.5452,3.2312,3.2337,0.2970,0.3365,0.3515,59.3875,59.3875,59.3875,653.0000,653.0000,653.0000
8,203,4,0.05,768,0.003634149117781824,0,False,False,3.3088,2.9973,2.9973,0.3346,0.3816,0.3939,59.2478,59.2478,59.2478,652.0000,652.0000,652.0000
9,150,4,0.02,768,0.004384617376208487,0,False,False,3.3249,3.0122,3.0122,0.3277,0.3730,0.3834,53.6745,53.6745,53.6745,657.0000,657.0000,657.0000
10,72,3,0.23,768,0.005290060730222237,0,False,False,3.4997,3.1893,3.1921,0.2942,0.3364,0.3444,38.3280,38.3280,38.3280,662.0000,662.0000,662.0000
11,467,3,0.31,768,0.006382482239223045,0,False,False,3.5787,3.2639,3.2670,0.2850,0.3265,0.3401,32.7328,32.7328,32.7328,663.0000,663.0000,663.0000
12,377,0,0.37,768,0.007700493739376462,0,False,False,3.6300,3.3110,3.3138,0.2860,0.3257,0.3398,28.0157,28.0157,28.0157,659.0000,659.0000,659.0000
13,436,2,0.25,768,0.009290680585958758,0,False,False,3.6042,3.2885,3.2919,0.2809,0.3223,0.3345,26.3909,26.3909,26.3909,665.0000,665.0000,665.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,0,False,False,3.7297,3.4049,3.4087,0.2750,0.3206,0.3307,21.6275,21.6275,21.6275,671.0000,671.0000,671.0000
15,326,3,0.09,768,0.013524008765720979,0,False,False,3.5822,3.2666,3.2695,0.2773,0.3230,0.3283,24.0393,24.0393,24.0393,676.0000,676.0000,676.0000
16,326,2,0.02,768,0.01631677785042834,0,False,False,3.5849,3.2699,3.2726,0.2771,0.3201,0.3296,22.1599,22.1599,22.1599,686.0000,686.0000,686.0000
17,247,2,0.15,768,0.01968626640460739,0,False,False,3.6927,3.3704,3.3741,0.2679,0.3150,0.3170,18.7719,18.7719,18.7719,683.0000,683.0000,683.0000
18,179,1,0.01,768,0.02375156961170491,0,False,False,3.6621,3.3405,3.3434,0.2723,0.3145,0.3211,17.8712,17.8712,17.8712,691.0000,691.0000,691.0000
19,137,5,0.3,768,0.028656376350145975,0,False,False,3.8868,3.5497,3.5550,0.2585,0.3039,0.3083,13.4076,13.4076,13.4076,687.0000,687.0000,687.0000
20,786,2,0.24,768,0.03457404790277603,0,False,False,3.9044,3.5661,3.5713,0.2560,0.3025,0.3051,12.4444,12.4444,12.4444,699.0000,699.0000,699.0000
21,410,1,0.49,768,0.04171374544281356,0,False,False,4.1367,3.7775,3.7847,0.2500,0.2931,0.2989,8.4210,8.4210,8.4210,685.0000,685.0000,685.0000
22,388,0,0.48,768,0.050327822873414196,0,False,False,4.2029,3.8375,3.8453,0.2470,0.2893,0.2860,7.3681,7.3681,7.3681,692.0000,692.0000,692.0000
23,38,2,0.4,768,0.06072074632210035,0,False,False,4.2430,3.8739,3.8819,0.2416,0.2829,0.2742,6.6751,6.6751,6.6751,707.0000,707.0000,707.0000
24,467,2,0.11,768,0.07325985555120318,0,False,False,4.2283,3.8657,3.8747,0.2245,0.2646,0.2569,6.3908,6.3908,6.3908,709.0000,709.0000,709.0000
25,176,4,0.05,768,0.08838834764831845,0,False,False,4.2996,3.9374,3.9479,0.2130,0.2523,0.2451,5.7536,5.7536,5.7536,714.0000,714.0000,714.0000
26,57,4,0.0,768,0.10664094190766783,0,False,False,4.3776,4.0131,4.0254,0.2063,0.2454,0.2363,5.3914,5.3914,5.3914,718.0000,718.0000,718.0000
27,968,3,0.22,768,0.12866277958043645,0,False,False,4.5403,4.1421,4.1522,0.2029,0.2391,0.2346,3.0685,3.0685,3.0685,714.0000,714.0000,714.0000
28,268,4,0.37,768,0.15523222650918542,0,False,False,4.5371,4.1388,4.1485,0.2164,0.2521,0.2525,3.1188,3.1188,3.1188,719.0000,719.0000,719.0000
29,270,0,0.04,768,0.18728838460958516,0,False,False,4.5341,4.1348,4.1443,0.1991,0.2378,0.2274,3.2712,3.2712,3.2712,736.0000,736.0000,736.0000
30,596,0,0.43,768,0.22596428459777515,0,False,False,4.5471,4.1496,4.1598,0.1844,0.2141,0.2371,3.2704,3.2704,3.2704,732.0000,732.0000,732.0000
