run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,1.6311,6.8720,6.5758,0.9184,0.8156,0.8249,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,False,6.8688,6.8696,6.8675,0.4402,0.4402,0.4402,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,True,,,,,,,,,,,,
1,433,2,0.27,768,0.0009765625,0,False,False,0.3320,0.6684,0.6823,0.9500,0.8939,0.8911,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,0,True,False,2.5217,2.5211,2.5204,0.4836,0.4836,0.4836,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,0,True,True,,,,,,,,,,,,
2,310,5,0.5,768,0.0011782270808598852,0,False,False,2.4630,2.2783,2.2856,0.4288,0.4731,0.4956,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,0,True,False,2.9648,2.9641,2.9655,0.3723,0.3723,0.3723,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,0,True,True,,,,,,,,,,,,
3,300,1,0.44,768,0.001421536311369323,0,False,False,1.0112,1.0414,1.0314,0.8521,0.8379,0.8418,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,0,True,False,2.9538,2.9554,2.9559,0.3817,0.3817,0.3817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,0,True,True,,,,,,,,,,,,
4,1009,2,0.1,768,0.0017150900003645502,0,False,False,0.3070,0.7054,0.7158,0.9480,0.8834,0.8813,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,0,True,False,0.1975,0.1975,0.1969,0.9506,0.9506,0.9506,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,0,True,True,,,,,,,,,,,,
5,657,3,0.5,768,0.0020692638561704995,0,False,False,1.0519,1.0966,1.0815,0.8439,0.8274,0.8313,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,0,True,False,2.9013,2.9022,2.8996,0.3845,0.3845,0.3845,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,0,True,True,,,,,,,,,,,,
6,455,2,0.49,768,0.0024965762178914648,0,False,False,0.8414,0.9322,0.9298,0.8792,0.8569,0.8577,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,0,True,False,2.9777,2.9788,2.9764,0.3750,0.3750,0.3750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,0,True,True,,,,,,,,,,,,
7,103,1,0.44,768,0.0030121305183748843,0,False,False,1.5267,1.4212,1.4067,0.7705,0.7761,0.7885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,0,True,False,3.0119,3.0148,3.0124,0.3711,0.3711,0.3711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,0,True,True,,,,,,,,,,,,
8,203,4,0.05,768,0.003634149117781824,0,False,False,0.4620,0.9462,0.9572,0.9297,0.8552,0.8526,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,768,0.003634149117781824,0,True,False,2.0691,2.0699,2.0702,0.5695,0.5695,0.5695,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,768,0.003634149117781824,0,True,True,,,,,,,,,,,,
9,150,4,0.02,768,0.004384617376208487,0,False,False,0.7124,1.0273,1.0275,0.8806,0.8283,0.8343,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,768,0.004384617376208487,0,True,False,1.9144,1.9138,1.9122,0.6037,0.6037,0.6037,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,768,0.004384617376208487,0,True,True,,,,,,,,,,,,
10,72,3,0.23,768,0.005290060730222237,0,False,False,1.2749,1.2756,1.2780,0.8001,0.7924,0.8011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,768,0.005290060730222237,0,True,False,2.8961,2.8942,2.8960,0.3796,0.3796,0.3796,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,768,0.005290060730222237,0,True,True,,,,,,,,,,,,
11,467,3,0.31,768,0.006382482239223045,0,False,False,0.4317,0.7266,0.7347,0.9371,0.8872,0.8811,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,768,0.006382482239223045,0,True,False,2.6670,2.6675,2.6669,0.4376,0.4376,0.4376,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,768,0.006382482239223045,0,True,True,,,,,,,,,,,,
12,377,0,0.37,768,0.007700493739376462,0,False,False,3.1568,6.7179,6.4626,0.8644,0.7885,0.8018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,768,0.007700493739376462,0,True,False,8.8509,8.8545,8.8537,0.3587,0.3587,0.3587,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,768,0.007700493739376462,0,True,True,,,,,,,,,,,,
13,436,2,0.25,768,0.009290680585958758,0,False,False,0.3814,0.6804,0.6875,0.9399,0.8872,0.8871,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,768,0.009290680585958758,0,True,False,2.4653,2.4655,2.4643,0.5003,0.5003,0.5003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,768,0.009290680585958758,0,True,True,,,,,,,,,,,,
14,382,2,0.41000000000000003,768,0.011209248221179687,0,False,False,0.6081,0.7735,0.7773,0.9111,0.8773,0.8776,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,0,True,False,2.8555,2.8558,2.8559,0.3964,0.3964,0.3964,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,0,True,True,,,,,,,,,,,,
15,326,3,0.09,768,0.013524008765720979,0,False,False,0.3366,0.7473,0.7515,0.9438,0.8801,0.8779,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,768,0.013524008765720979,0,True,False,1.7424,1.7445,1.7431,0.6812,0.6812,0.6812,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,768,0.013524008765720979,0,True,True,,,,,,,,,,,,
