run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,3.9619,3.8189,3.8148,0.3083,0.3147,0.3364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,212,0.0,1,True,False,4.1640,4.1611,4.1622,0.2207,0.2207,0.2207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,212,0.0,1,True,True,,,,,,,,,,,,
1,433,2,0.27,103,0.0009765625,0,False,False,2.7855,2.7733,2.7609,0.4993,0.4543,0.4719,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,103,0.0009765625,0,True,False,3.2558,3.2588,3.2567,0.3286,0.3286,0.3286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,103,0.0009765625,0,True,True,,,,,,,,,,,,
2,310,5,0.5,113,0.0011782270808598852,0,False,False,4.4967,4.1043,4.1121,0.0275,0.0446,0.0487,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,113,0.0011782270808598852,0,True,False,3.5621,3.5646,3.5637,0.2403,0.2403,0.2403,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,113,0.0011782270808598852,0,True,True,,,,,,,,,,,,
3,300,1,0.44,99,0.001421536311369323,0,False,False,3.3080,3.0195,3.0182,0.4133,0.4307,0.4464,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,99,0.001421536311369323,0,True,False,3.5906,3.5905,3.5897,0.2638,0.2638,0.2638,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,99,0.001421536311369323,0,True,True,,,,,,,,,,,,
4,1009,2,0.1,148,0.0017150900003645502,0,False,False,2.3960,2.7603,2.7577,0.5966,0.4712,0.4823,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,148,0.0017150900003645502,0,True,False,1.9756,1.9751,1.9750,0.6221,0.6221,0.6221,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,148,0.0017150900003645502,0,True,True,,,,,,,,,,,,
5,657,3,0.5,165,0.0020692638561704995,0,False,False,3.1432,2.9098,2.8947,0.4127,0.4325,0.4489,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,165,0.0020692638561704995,0,True,False,3.4152,3.4143,3.4141,0.2778,0.2779,0.2778,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,165,0.0020692638561704995,0,True,True,,,,,,,,,,,,
6,455,2,0.49,60,0.0024965762178914648,0,False,False,3.3624,3.0579,3.0483,0.3494,0.3693,0.3915,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,60,0.0024965762178914648,0,True,False,3.5374,3.5365,3.5387,0.2492,0.2492,0.2492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
