run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.6466,1.1523,1.1468,0.8968,0.7949,0.8012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,False,2.0655,2.0660,2.0647,0.6236,0.6236,0.6236,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,True,,,,,,,,,,,,
1,433,2,0.27,768,0.0009765625,0,False,False,0.4383,0.8239,0.8244,0.9347,0.8591,0.8613,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,0,True,False,2.3323,2.3321,2.3324,0.5656,0.5656,0.5656,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,0,True,True,,,,,,,,,,,,
2,310,5,0.5,768,0.0011782270808598852,0,False,False,2.3948,2.2546,2.2544,0.4850,0.5150,0.5303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,0,True,False,2.9959,2.9939,2.9953,0.3653,0.3653,0.3653,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,0,True,True,,,,,,,,,,,,
3,300,1,0.44,768,0.001421536311369323,0,False,False,0.8633,1.0092,1.0167,0.8814,0.8377,0.8372,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,0,True,False,2.9013,2.9013,2.9018,0.4251,0.4251,0.4251,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,0,True,True,,,,,,,,,,,,
4,1009,2,0.1,768,0.0017150900003645502,0,False,False,0.3744,0.8388,0.8532,0.9412,0.8506,0.8515,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,0,True,False,0.0860,0.0861,0.0862,0.9682,0.9682,0.9682,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,0,True,True,,,,,,,,,,,,
5,657,3,0.5,768,0.0020692638561704995,0,False,False,0.9628,1.0934,1.1082,0.8584,0.8255,0.8278,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,0,True,False,2.8942,2.8925,2.8925,0.3897,0.3897,0.3897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,0,True,True,,,,,,,,,,,,
6,455,2,0.49,768,0.0024965762178914648,0,False,False,0.9353,1.0344,1.0361,0.8572,0.8280,0.8325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,0,True,False,2.9468,2.9469,2.9460,0.3841,0.3841,0.3841,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,0,True,True,,,,,,,,,,,,
