run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.7946,1.3998,1.3638,0.8657,0.7211,0.7219,25365.7422,25365.7422,25365.7422,768.0000,768.0000,768.0000
1,433,2,0.27,768,0.0009765625,0,False,False,2.4863,2.4958,2.4253,0.5341,0.5267,0.5266,371.1216,371.1216,371.1216,684.0000,684.0000,684.0000
2,310,5,0.5,768,0.0011782270808598852,0,False,False,2.7995,2.7948,2.7134,0.4805,0.4767,0.4727,231.8909,231.8909,231.8909,706.0000,706.0000,706.0000
3,300,1,0.44,768,0.001421536311369323,0,False,False,2.8244,2.8190,2.7380,0.4629,0.4581,0.4542,197.0005,197.0005,197.0005,692.0000,692.0000,692.0000
4,1009,2,0.1,768,0.0017150900003645502,0,False,False,2.6979,2.6963,2.6205,0.4730,0.4693,0.4639,206.7992,206.7992,206.7992,662.0000,662.0000,662.0000
5,657,3,0.5,768,0.0020692638561704995,0,False,False,3.0191,3.0030,2.9233,0.4060,0.3936,0.3971,118.7851,118.7851,118.7851,689.0000,689.0000,689.0000
6,455,2,0.49,768,0.0024965762178914648,0,False,False,3.0629,3.0432,2.9682,0.4051,0.3955,0.3946,95.9021,95.9021,95.9021,683.0000,683.0000,683.0000
7,103,1,0.44,768,0.0030121305183748843,0,False,False,3.1152,3.0938,3.0172,0.3648,0.3572,0.3551,79.6755,79.6755,79.6755,672.0000,672.0000,672.0000
8,203,4,0.05,768,0.003634149117781824,0,False,False,3.0067,2.9868,2.9150,0.3832,0.3738,0.3722,88.3227,88.3227,88.3227,647.0000,647.0000,647.0000
9,150,4,0.02,768,0.004384617376208487,0,False,False,3.0584,3.0398,2.9697,0.3682,0.3590,0.3613,74.1391,74.1391,74.1391,649.0000,649.0000,649.0000
10,72,3,0.23,768,0.005290060730222237,0,False,False,3.2123,3.1861,3.1145,0.3346,0.3276,0.3300,49.2841,49.2841,49.2841,652.0000,652.0000,652.0000
11,467,3,0.31,768,0.006382482239223045,0,False,False,3.3024,3.2763,3.2061,0.3216,0.3127,0.3196,35.6579,35.6579,35.6579,650.0000,650.0000,650.0000
12,377,0,0.37,768,0.007700493739376462,0,False,False,3.3971,3.3681,3.2949,0.3148,0.3054,0.3130,26.9508,26.9508,26.9508,649.0000,649.0000,649.0000
13,436,2,0.25,768,0.009290680585958758,0,False,False,3.3893,3.3630,3.2937,0.3145,0.3029,0.3125,24.7813,24.7813,24.7813,650.0000,650.0000,650.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,0,False,False,3.4610,3.4346,3.3626,0.3097,0.2985,0.3081,20.8975,20.8975,20.8975,651.0000,651.0000,651.0000
15,326,3,0.09,768,0.013524008765720979,0,False,False,3.4358,3.4074,3.3349,0.3122,0.3018,0.3106,22.7985,22.7985,22.7985,658.0000,658.0000,658.0000
16,326,2,0.02,768,0.01631677785042834,0,False,False,3.4407,3.4133,3.3452,0.3111,0.3014,0.3088,21.1382,21.1382,21.1382,661.0000,661.0000,661.0000
17,247,2,0.15,768,0.01968626640460739,0,False,False,3.5129,3.4867,3.4156,0.3052,0.2963,0.3056,18.1677,18.1677,18.1677,661.0000,661.0000,661.0000
18,179,1,0.01,768,0.02375156961170491,0,False,False,3.5449,3.5164,3.4467,0.3025,0.2935,0.3012,16.7592,16.7592,16.7592,664.0000,664.0000,664.0000
19,137,5,0.3,768,0.028656376350145975,0,False,False,3.6211,3.5939,3.5290,0.2944,0.2859,0.2935,13.6011,13.6011,13.6011,668.0000,668.0000,668.0000
20,786,2,0.24,768,0.03457404790277603,0,False,False,3.6802,3.6542,3.5906,0.2898,0.2821,0.2860,11.9315,11.9315,11.9315,673.0000,673.0000,673.0000
21,410,1,0.49,768,0.04171374544281356,0,False,False,3.8076,3.7804,3.7153,0.2811,0.2735,0.2770,9.3988,9.3988,9.3988,677.0000,677.0000,677.0000
22,388,0,0.48,768,0.050327822873414196,0,False,False,3.9011,3.8693,3.8064,0.2731,0.2649,0.2688,7.7589,7.7589,7.7589,684.0000,684.0000,684.0000
23,38,2,0.4,768,0.06072074632210035,0,False,False,4.0121,3.9811,3.9079,0.2617,0.2571,0.2589,6.9277,6.9277,6.9277,697.0000,697.0000,697.0000
24,467,2,0.11,768,0.07325985555120318,0,False,False,4.1281,4.0815,3.9867,0.2462,0.2402,0.2507,7.2348,7.2348,7.2348,689.0000,689.0000,689.0000
