run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,3.8350,4.0092,3.9600,0.2535,0.1770,0.1742,996.2457,996.2457,996.2457,212.0000,212.0000,212.0000
1,433,2,0.27,103,0.0009765625,0,False,False,4.0831,4.0665,4.0160,0.1469,0.1386,0.1395,31.2538,31.2538,31.2538,98.0000,98.0000,98.0000
2,310,5,0.5,113,0.0011782270808598852,0,False,False,4.1044,4.0797,4.0325,0.1430,0.1377,0.1320,26.0429,26.0429,26.0429,108.0000,108.0000,108.0000
3,300,1,0.44,99,0.001421536311369323,0,False,False,4.1017,4.0805,4.0330,0.1406,0.1388,0.1327,17.9330,17.9330,17.9330,94.0000,94.0000,94.0000
4,1009,2,0.1,148,0.0017150900003645502,0,False,False,4.0976,4.0732,4.0225,0.1397,0.1415,0.1288,12.5817,12.5817,12.5817,131.0000,131.0000,131.0000
5,657,3,0.5,165,0.0020692638561704995,0,False,False,4.0937,4.0711,4.0227,0.1449,0.1418,0.1392,10.3926,10.3926,10.3926,153.0000,153.0000,153.0000
6,455,2,0.49,60,0.0024965762178914648,0,False,False,4.1152,4.0908,4.0446,0.1306,0.1343,0.1206,7.9809,7.9809,7.9809,57.0000,57.0000,57.0000
7,103,1,0.44,84,0.0030121305183748843,0,False,False,4.1267,4.1027,4.0558,0.1076,0.1062,0.1019,4.7445,4.7445,4.7445,77.0000,77.0000,77.0000
8,203,4,0.05,238,0.003634149117781824,0,False,False,4.0975,4.0783,4.0245,0.1177,0.1078,0.1245,7.5370,7.5370,7.5370,193.0000,193.0000,193.0000
9,150,4,0.02,122,0.004384617376208487,0,False,False,4.1116,4.0893,4.0364,0.1487,0.1479,0.1535,5.2135,5.2135,5.2135,93.0000,93.0000,93.0000
10,72,3,0.23,144,0.005290060730222237,0,False,False,4.1144,4.0894,4.0430,0.1221,0.1121,0.1179,4.3872,4.3872,4.3872,113.0000,113.0000,113.0000
11,467,3,0.31,79,0.006382482239223045,0,False,False,4.1258,4.1037,4.0548,0.1096,0.1085,0.1040,2.4384,2.4384,2.4384,61.0000,61.0000,61.0000
12,377,0,0.37,159,0.007700493739376462,0,False,False,4.1299,4.1037,4.0552,0.1467,0.1415,0.1416,3.1176,3.1176,3.1176,122.0000,122.0000,122.0000
13,436,2,0.25,154,0.009290680585958758,0,False,False,4.1358,4.1102,4.0619,0.1239,0.1173,0.1193,2.3233,2.3233,2.3233,110.0000,110.0000,110.0000
