run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.9840,2.2462,2.1778,0.8081,0.6661,0.6799,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,False,2.7293,2.7288,2.7295,0.4571,0.4571,0.4571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,True,,,,,,,,,,,,
1,433,2,0.27,768,0.0009765625,0,False,False,0.6356,1.0919,1.0199,0.8914,0.7954,0.8012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,0,True,False,2.3890,2.3883,2.3897,0.4956,0.4956,0.4956,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,0,True,True,,,,,,,,,,,,
2,310,5,0.5,768,0.0011782270808598852,0,False,False,2.7573,2.8182,2.7559,0.3932,0.3733,0.3764,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,0,True,False,3.0275,3.0274,3.0271,0.3466,0.3466,0.3466,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,0,True,True,,,,,,,,,,,,
3,300,1,0.44,768,0.001421536311369323,0,False,False,1.4918,1.6493,1.5743,0.7511,0.7162,0.7169,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,0,True,False,3.0243,3.0247,3.0249,0.3676,0.3676,0.3676,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,0,True,True,,,,,,,,,,,,
4,1009,2,0.1,768,0.0017150900003645502,0,False,False,0.6076,1.1285,1.0742,0.8864,0.7847,0.7873,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,0,True,False,0.1733,0.1730,0.1728,0.9824,0.9824,0.9824,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,0,True,True,,,,,,,,,,,,
5,657,3,0.5,768,0.0020692638561704995,0,False,False,1.5355,1.7443,1.6641,0.7348,0.6905,0.6856,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,0,True,False,2.9183,2.9196,2.9180,0.3739,0.3739,0.3739,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,0,True,True,,,,,,,,,,,,
6,455,2,0.49,768,0.0024965762178914648,0,False,False,1.3885,1.5990,1.5046,0.7769,0.7263,0.7331,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,0,True,False,2.9417,2.9432,2.9429,0.3759,0.3759,0.3759,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,0,True,True,,,,,,,,,,,,
7,103,1,0.44,768,0.0030121305183748843,0,False,False,1.8856,1.9679,1.8788,0.6790,0.6561,0.6605,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,0,True,False,3.1318,3.1327,3.1327,0.3498,0.3498,0.3498,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,0,True,True,,,,,,,,,,,,
8,203,4,0.05,768,0.003634149117781824,0,False,False,0.9269,1.5104,1.4347,0.8247,0.7186,0.7255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,768,0.003634149117781824,0,True,False,2.0746,2.0751,2.0745,0.5209,0.5209,0.5209,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,768,0.003634149117781824,0,True,True,,,,,,,,,,,,
9,150,4,0.02,768,0.004384617376208487,0,False,False,0.8976,1.4483,1.3712,0.8289,0.7248,0.7267,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,768,0.004384617376208487,0,True,False,2.0501,2.0496,2.0514,0.5247,0.5247,0.5247,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,768,0.004384617376208487,0,True,True,,,,,,,,,,,,
10,72,3,0.23,768,0.005290060730222237,0,False,False,1.7269,1.8638,1.7911,0.6783,0.6415,0.6438,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,768,0.005290060730222237,0,True,False,2.8997,2.8995,2.8984,0.3751,0.3751,0.3751,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,768,0.005290060730222237,0,True,True,,,,,,,,,,,,
11,467,3,0.31,768,0.006382482239223045,0,False,False,0.8092,1.2366,1.1525,0.8642,0.7762,0.7803,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,768,0.006382482239223045,0,True,False,2.5270,2.5289,2.5286,0.4434,0.4434,0.4434,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,768,0.006382482239223045,0,True,True,,,,,,,,,,,,
