run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,300,0.0,1,False,False,2.7102,2.8561,2.7759,0.5014,0.4681,0.4724,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,300,0.0,1,True,False,3.2976,3.2970,3.2985,0.3407,0.3407,0.3407,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,300,0.0,1,True,True,,,,,,,,,,,,
1,433,2,0.27,300,0.0009765625,0,False,False,1.8512,2.2267,2.2023,0.6546,0.5750,0.5773,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,300,0.0009765625,0,True,False,2.9045,2.9028,2.9017,0.3865,0.3865,0.3865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,300,0.0009765625,0,True,True,,,,,,,,,,,,
2,310,5,0.5,300,0.0011782270808598852,0,False,False,3.0260,3.0373,2.9848,0.3430,0.3338,0.3347,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,300,0.0011782270808598852,0,True,False,3.1722,3.1719,3.1706,0.3399,0.3399,0.3399,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,300,0.0011782270808598852,0,True,True,,,,,,,,,,,,
3,300,1,0.44,300,0.001421536311369323,0,False,False,2.3848,2.4830,2.4288,0.5632,0.5325,0.5371,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,300,0.001421536311369323,0,True,False,3.1735,3.1740,3.1754,0.3484,0.3484,0.3484,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,300,0.001421536311369323,0,True,True,,,,,,,,,,,,
4,1009,2,0.1,300,0.0017150900003645502,0,False,False,1.6633,2.3225,2.3191,0.6993,0.5694,0.5645,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,300,0.0017150900003645502,0,True,False,0.7302,0.7295,0.7296,0.8712,0.8712,0.8712,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,300,0.0017150900003645502,0,True,True,,,,,,,,,,,,
5,657,3,0.5,300,0.0020692638561704995,0,False,False,2.2227,2.3737,2.3230,0.5724,0.5417,0.5395,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,300,0.0020692638561704995,0,True,False,3.0924,3.0908,3.0925,0.3556,0.3556,0.3556,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
