run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,2.6259,3.8556,3.8149,0.5162,0.2935,0.2838,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,212,0.0,1,True,False,0.4516,0.4528,0.4527,0.8994,0.8994,0.8994,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,212,0.0,1,True,True,,,,,,,,,,,,
1,433,2,0.27,103,0.0009765625,0,False,False,2.4398,3.1078,3.0767,0.5344,0.3691,0.3674,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,103,0.0009765625,0,True,False,1.4071,1.4057,1.4046,0.7405,0.7405,0.7405,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,103,0.0009765625,0,True,True,,,,,,,,,,,,
2,310,5,0.5,113,0.0011782270808598852,0,False,False,2.8664,3.3210,3.2646,0.4030,0.3190,0.3111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,113,0.0011782270808598852,0,True,False,2.9769,2.9746,2.9744,0.3659,0.3659,0.3659,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,113,0.0011782270808598852,0,True,True,,,,,,,,,,,,
3,300,1,0.44,99,0.001421536311369323,0,False,False,2.6804,3.1606,3.1070,0.4827,0.3542,0.3467,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,99,0.001421536311369323,0,True,False,2.8939,2.8940,2.8952,0.4033,0.4033,0.4033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,99,0.001421536311369323,0,True,True,,,,,,,,,,,,
4,1009,2,0.1,148,0.0017150900003645502,0,False,False,2.3208,3.1871,3.1376,0.5802,0.3466,0.3505,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,148,0.0017150900003645502,0,True,False,0.6213,0.6212,0.6220,0.8799,0.8799,0.8799,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,148,0.0017150900003645502,0,True,True,,,,,,,,,,,,
5,657,3,0.5,165,0.0020692638561704995,0,False,False,2.7881,3.1913,3.1477,0.4524,0.3412,0.3376,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,165,0.0020692638561704995,0,True,False,2.9620,2.9634,2.9641,0.3803,0.3803,0.3803,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,165,0.0020692638561704995,0,True,True,,,,,,,,,,,,
6,455,2,0.49,60,0.0024965762178914648,0,False,False,2.7603,3.1897,3.1546,0.4483,0.3505,0.3370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,60,0.0024965762178914648,0,True,False,2.9155,2.9154,2.9165,0.3787,0.3787,0.3788,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,60,0.0024965762178914648,0,True,True,,,,,,,,,,,,
7,103,1,0.44,84,0.0030121305183748843,0,False,False,2.7745,3.1607,3.1200,0.4665,0.3561,0.3513,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,84,0.0030121305183748843,0,True,False,2.8636,2.8635,2.8625,0.3969,0.3969,0.3969,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,84,0.0030121305183748843,0,True,True,,,,,,,,,,,,
8,203,4,0.05,238,0.003634149117781824,0,False,False,2.8493,3.2845,3.2351,0.4219,0.3346,0.3267,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,238,0.003634149117781824,0,True,False,1.5075,1.5062,1.5057,0.6995,0.6995,0.6995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,238,0.003634149117781824,0,True,True,,,,,,,,,,,,
9,150,4,0.02,122,0.004384617376208487,0,False,False,2.7362,3.3368,3.2609,0.4378,0.3213,0.3202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,122,0.004384617376208487,0,True,False,1.5692,1.5704,1.5679,0.6888,0.6888,0.6888,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,122,0.004384617376208487,0,True,True,,,,,,,,,,,,
10,72,3,0.23,144,0.005290060730222237,0,False,False,2.8096,3.2667,3.2353,0.4324,0.3293,0.3197,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,144,0.005290060730222237,0,True,False,2.6027,2.6013,2.6031,0.4247,0.4247,0.4247,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,144,0.005290060730222237,0,True,True,,,,,,,,,,,,
11,467,3,0.31,79,0.006382482239223045,0,False,False,2.6697,3.1913,3.1569,0.4683,0.3532,0.3450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,79,0.006382482239223045,0,True,False,2.4950,2.4952,2.4958,0.4546,0.4546,0.4546,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,79,0.006382482239223045,0,True,True,,,,,,,,,,,,
12,377,0,0.37,159,0.007700493739376462,0,False,False,2.6281,3.3665,3.3115,0.5157,0.3483,0.3417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,159,0.007700493739376462,0,True,False,0.6531,0.6538,0.6527,0.8747,0.8747,0.8747,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,159,0.007700493739376462,0,True,True,,,,,,,,,,,,
13,436,2,0.25,154,0.009290680585958758,0,False,False,2.5610,3.1138,3.0899,0.5092,0.3636,0.3566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,154,0.009290680585958758,0,True,False,1.2750,1.2741,1.2734,0.7686,0.7686,0.7686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,154,0.009290680585958758,0,True,True,,,,,,,,,,,,
14,382,2,0.41000000000000003,148,0.011209248221179687,0,False,False,2.8099,3.1962,3.1542,0.4502,0.3503,0.3421,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,0,True,False,2.8940,2.8922,2.8931,0.3814,0.3814,0.3814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,0,True,True,,,,,,,,,,,,
15,326,3,0.09,115,0.013524008765720979,0,False,False,2.7635,3.2165,3.1621,0.4559,0.3437,0.3412,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,115,0.013524008765720979,0,True,False,1.0077,1.0068,1.0054,0.8150,0.8150,0.8150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,115,0.013524008765720979,0,True,True,,,,,,,,,,,,
16,326,2,0.02,124,0.01631677785042834,0,False,False,2.7818,3.2679,3.2164,0.4535,0.3326,0.3326,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,326,2,0.02,124,0.01631677785042834,0,True,False,0.5463,0.5456,0.5458,0.8891,0.8891,0.8891,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,326,2,0.02,124,0.01631677785042834,0,True,True,,,,,,,,,,,,
17,247,2,0.15,240,0.01968626640460739,0,False,False,2.5304,3.1296,3.0857,0.5269,0.3542,0.3557,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,247,2,0.15,240,0.01968626640460739,0,True,False,0.8488,0.8499,0.8492,0.8444,0.8444,0.8444,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,247,2,0.15,240,0.01968626640460739,0,True,True,,,,,,,,,,,,
18,179,1,0.01,50,0.02375156961170491,0,False,False,2.9950,3.4432,3.4112,0.4050,0.2948,0.2851,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,179,1,0.01,50,0.02375156961170491,0,True,False,0.5464,0.5465,0.5468,0.8881,0.8881,0.8881,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,179,1,0.01,50,0.02375156961170491,0,True,True,,,,,,,,,,,,
19,137,5,0.3,235,0.028656376350145975,0,False,False,2.9045,3.4134,3.3954,0.4179,0.3129,0.3125,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,137,5,0.3,235,0.028656376350145975,0,True,False,2.6634,2.6641,2.6613,0.3940,0.3940,0.3940,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,137,5,0.3,235,0.028656376350145975,0,True,True,,,,,,,,,,,,
20,786,2,0.24,144,0.03457404790277603,0,False,False,2.6147,3.1153,3.0749,0.5000,0.3596,0.3499,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,786,2,0.24,144,0.03457404790277603,0,True,False,1.4592,1.4605,1.4587,0.7218,0.7218,0.7218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,786,2,0.24,144,0.03457404790277603,0,True,True,,,,,,,,,,,,
21,410,1,0.49,188,0.04171374544281356,0,False,False,2.7700,3.1747,3.1284,0.4621,0.3487,0.3454,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,410,1,0.49,188,0.04171374544281356,0,True,False,2.9474,2.9476,2.9479,0.3937,0.3937,0.3937,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,410,1,0.49,188,0.04171374544281356,0,True,True,,,,,,,,,,,,
